,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.0,0.0,1.0,1.0,/tmpdir/job/128273.1,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
1,0.0,0.0,1.0,2.0,/tmpdir/job/128273.2,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
2,0.0,0.0,1.0,3.0,/tmpdir/job/128273.3,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
3,0.0,0.0,1.0,4.0,/tmpdir/job/128273.4,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
4,0.00043222902700000007,5.090441e-06,0.9995615569999999,5.0,/tmpdir/job/128273.5,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
5,0.00043513916699999995,3.0683089999999995e-06,0.999561151,6.0,/tmpdir/job/128273.6,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
6,0.000441659992,6.629057999999999e-06,0.999550899,7.0,/tmpdir/job/128273.7,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
7,0.00039241700899999996,5.708399999999999e-06,0.999600968,8.0,/tmpdir/job/128273.8,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
8,0.380511980652,0.06064766713449999,0.558826689255,9.0,/tmpdir/job/128273.9,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
9,0.18392595814200002,0.11220459446599998,0.7038579895779999,10.0,/tmpdir/job/128273.10,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
10,0.11022176098099999,0.076498923477,0.813267158419,11.0,/tmpdir/job/128273.11,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
11,0.40944140589500005,0.05670332143700001,0.5338378772269999,12.0,/tmpdir/job/128273.12,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
12,0.913781312,0.06913902617400002,0.017056032026999998,13.0,/tmpdir/job/128273.13,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
13,0.217753280099,0.238867892527,0.5433673631649999,14.0,/tmpdir/job/128273.14,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
14,0.11075701691500002,0.132937168878,0.7562939120759999,15.0,/tmpdir/job/128273.15,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
15,0.8981446549139999,0.042065677850000004,0.0597639528159,16.0,/tmpdir/job/128273.16,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
16,0.778634637548,0.12017168071400001,0.10116900138500001,17.0,/tmpdir/job/128273.17,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
17,0.201760105955,0.32465851754899994,0.473569679083,18.0,/tmpdir/job/128273.18,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
18,0.148770880089,0.20971426077850003,0.641500976377,19.0,/tmpdir/job/128273.19,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
19,0.9694574160000001,0.030264725230000004,0.00025095307100000004,20.0,/tmpdir/job/128273.20,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
