T,C,D,L
100000,0.9204,0.05078,0.02856
100001,0.6113,0.1945,0.1945
100002,0.1222,0.878,
100003,0.567,0.0926,0.3408
100004,0.865,0.06744,0.06744
100005,0.9585,0.02083,0.02083
100006,0.933,0.03333,0.03333
100007,0.988,0.006172,0.006172
100008,0.907,0.0463,0.0463
100009,0.9395,0.0303,0.0303
100010,0.9165,0.04166,0.04166
100011,0.914,0.05417,0.03195
100012,0.6665,0.1666,0.1666
100013,0.82,0.0856,0.0944
100014,0.9165,0.04166,0.04166
100015,0.92,0.05112,0.02888
100016,0.9785,0.010475,0.01111
100017,1.0,,
100018,0.938,0.05484,0.00709
100019,0.7,0.1611,0.1389
100020,0.9106,0.0438,0.04575
100021,0.9727,0.013336,0.013885
100022,0.778,0.1111,0.1111
100023,0.966,0.01709,0.01709
100024,0.8887,0.05554,0.05554
100025,0.778,0.2222,
100026,0.77,0.2134,0.01666
100027,0.4333,0.3074,0.2593
100028,0.747,0.1389,0.1139
100029,0.6406,0.1815,0.1777
100030,0.9707,0.01462,0.01462
100031,0.8887,0.05554,0.05554
100032,0.778,0.2222,
100033,0.3445,0.6113,0.04443
100034,0.4963,0.2037,0.3
100035,0.7944,0.126,0.07965
100036,0.904,0.06018,0.0361
100037,0.846,0.0833,0.0704
100038,0.6665,0.3333,
100039,0.25,0.4055,0.3445
100040,0.6704,0.1611,0.1686
100041,0.778,0.1111,0.1111
100042,0.9907,0.004555,0.004555
100043,1.0,,
100044,0.6665,0.1666,0.1666
100045,0.3926,0.3037,0.3037
100046,0.852,0.0741,0.0741
100047,0.9824,0.00889,0.00889
100048,0.8887,0.05554,0.05554
100049,0.778,0.2222,
100050,0.6167,0.2583,0.125
100051,0.8037,0.0944,0.10187
100052,0.977,0.01157,0.01157
100053,0.8223,0.1666,0.01111
100054,0.7983,0.157,0.04443
100055,0.8574,0.1051,0.0376
100056,0.838,0.0933,0.0689
100057,0.948,0.02592,0.02592
100058,0.9443,0.02777,0.02777
100059,0.991,0.004444,0.004444
100060,0.8833,0.06665,0.05
100061,0.8335,0.1666,
100062,0.751,0.1711,0.07776
100063,0.963,0.01666,0.02037
100064,0.8335,0.0833,0.0833
100065,0.2333,0.3777,0.389
100066,0.4705,0.252,0.2778
100067,0.9204,0.05078,0.02856
100068,0.911,0.04443,0.04443
100069,0.778,0.1111,0.1111
100070,0.9863,0.006943,0.006943
100071,0.972,0.013885,0.013885
100072,0.9443,0.02777,0.02777
100073,0.8887,0.05554,0.05554
100074,0.9204,0.03967,0.03967
100075,0.965,0.01755,0.01755
100076,0.966,0.01709,0.01709
100077,0.984,0.007935,0.007935
100078,0.852,0.0741,0.0741
