T,C,D,L
150000,,,1.0
150001,,,1.0
150002,,,1.0
150003,,,1.0
150004,,,1.0
150005,,,1.0
150006,,,1.0
150007,,,1.0
150008,,,1.0
150009,,,1.0
150010,,,1.0
150011,,,1.0
150012,,,1.0
150013,,,1.0
150014,,,1.0
150015,,,1.0
150016,,,1.0
150017,,,1.0
150018,,,1.0
150019,,,1.0
150020,,,1.0
150021,,,1.0
150022,,,1.0
150023,,,1.0
150024,,,1.0
150025,,,1.0
150026,,,1.0
150027,,,1.0
150028,,,1.0
150029,,,1.0
150030,,,1.0
150031,,,1.0
150032,,,1.0
150033,,,1.0
150034,,,1.0
150035,,,1.0
150036,,,1.0
150037,,,1.0
150038,,,1.0
150039,,,1.0
150040,,,1.0
150041,,,1.0
150042,,,1.0
150043,,,1.0
150044,,,1.0
150045,,,1.0
150046,,,1.0
150047,,,1.0
150048,,,1.0
150049,,,1.0
150050,,,1.0
150051,,,1.0
150052,,,1.0
150053,,,1.0
150054,,,1.0
150055,,0.0006943,0.9995
150056,,,1.0
150057,,,1.0
150058,,,1.0
150059,,,1.0
150060,,,1.0
150061,,,1.0
150062,,,1.0
150063,,,1.0
150064,,,1.0
150065,,,1.0
150066,,,1.0
150067,,,1.0
150068,,,1.0
150069,,,1.0
150070,,,1.0
150071,,,1.0
150072,,,1.0
150073,,,1.0
150074,,,1.0
150075,,,1.0
150076,,,1.0
150077,,,1.0
150078,,,1.0
150079,,,1.0
150080,,,1.0
150081,,,1.0
150082,,,1.0
150083,,,1.0
150084,,,1.0
150085,,,1.0
150086,,,1.0
150087,,,1.0
150088,,,1.0
150089,,,1.0
150090,,,1.0
150091,,,1.0
150092,,,1.0
150093,,,1.0
150094,,,1.0
150095,,,1.0
150096,,0.005554,0.9946
150097,,,1.0
150098,,,1.0
150099,,,1.0
150100,,,1.0
150101,,,1.0
150102,,,1.0
150103,,,1.0
150104,,,1.0
150105,,,1.0
150106,,,1.0
150107,,,1.0
150108,,,1.0
150109,,,1.0
150110,,,1.0
150111,,,1.0
150112,,,1.0
150113,,,1.0
150114,,,1.0
150115,,,1.0
150116,,,1.0
150117,,,1.0
150118,,,1.0
150119,,,1.0
150120,,,1.0
150121,,,1.0
150122,,,1.0
150123,,,1.0
150124,,,1.0
150125,,,1.0
150126,,0.01111,0.989
150127,,,1.0
150128,,,1.0
150129,,,1.0
150130,,,1.0
150131,,,1.0
150132,,,1.0
150133,,,1.0
150134,,,1.0
150135,,,1.0
150136,,,1.0
150137,,,1.0
150138,,,1.0
150139,,,1.0
150140,,,1.0
150141,,,1.0
150142,,,1.0
150143,,,1.0
150144,,,1.0
150145,,,1.0
150146,,,1.0
150147,,,1.0
150148,,,1.0
150149,,,1.0
150150,,,1.0
150151,,,1.0
150152,,,1.0
150153,,,1.0
150154,,,1.0
150155,,,1.0
150156,,,1.0
150157,,,1.0
150158,,,1.0
150159,,,1.0
150160,,,1.0
150161,,,1.0
150162,,,1.0
150163,,,1.0
150164,,,1.0
150165,,,1.0
150166,,,1.0
150167,,,1.0
150168,,,1.0
150169,,,1.0
150170,,,1.0
150171,,,1.0
150172,,,1.0
150173,,,1.0
150174,,,1.0
150175,,,1.0
150176,,,1.0
150177,,,1.0
150178,,,1.0
150179,,,1.0
150180,,,1.0
150181,,,1.0
150182,,,1.0
150183,,,1.0
150184,,,1.0
150185,,,1.0
150186,,0.001235,0.9985
150187,,,1.0
150188,,,1.0
150189,,0.001235,0.9985
150190,,,1.0
150191,,,1.0
150192,,,1.0
150193,,,1.0
150194,,,1.0
150195,,,1.0
150196,,,1.0
150197,,,1.0
150198,,,1.0
150199,,,1.0
150200,,,1.0
150201,,,1.0
150202,,,1.0
150203,,,1.0
150204,,,1.0
150205,,,1.0
150206,,,1.0
150207,,,1.0
150208,0.02222,,0.9775
150209,,,1.0
150210,,,1.0
150211,,,1.0
150212,,,1.0
150213,,,1.0
150214,,,1.0
150215,,,1.0
150216,,,1.0
150217,,,1.0
150218,,,1.0
150219,,,1.0
150220,,,1.0
150221,,,1.0
150222,,,1.0
150223,,,1.0
150224,,,1.0
150225,,,1.0
150226,,,1.0
150227,,,1.0
150228,,,1.0
150229,0.02222,,0.9775
150230,,,1.0
150231,,,1.0
150232,,,1.0
150233,,,1.0
150234,,,1.0
150235,,,1.0
150236,,,1.0
150237,,,1.0
150238,,,1.0
150239,,,1.0
150240,,,1.0
150241,0.02222,,0.9775
150242,,,1.0
150243,,,1.0
150244,,,1.0
150245,,,1.0
150246,,,1.0
150247,,,1.0
150248,,,1.0
150249,0.02222,,0.9775
150250,0.0603,0.001587,0.938
150251,0.1472,,0.8525
150252,0.2222,,0.778
150253,0.2556,,0.7446
150254,0.3223,,0.6777
150255,0.3767,0.00101,0.622
150256,0.4666,,0.533
150257,0.563,,0.437
150258,0.6655,,0.3347
150259,0.778,,0.2222
150260,0.8887,,0.1111
150261,1.0,,
150262,0.989,0.01111,
150263,0.989,0.01111,
150264,0.9556,0.04443,
150265,0.9556,0.04443,
150266,0.8667,0.1333,
150267,0.8335,0.1666,
150268,0.722,0.2676,0.01015
150269,0.6675,0.299,0.03333
150270,0.575,0.3083,0.11664
150271,0.4983,0.3872,0.1145
150272,0.3518,0.4265,0.2216
150273,0.2925,0.4038,0.3037
150274,0.1514,0.4263,0.422
150275,0.1569,0.447,0.396
150276,0.1222,0.3555,0.5225
150277,0.0815,0.4,0.5186
150278,0.03714,0.469,0.4937
150279,0.02986,0.4639,0.5063
150280,,0.457,0.543
150281,0.00952,0.4873,0.5034
150282,,0.4253,0.5747
150283,0.03815,0.3894,0.5723
150284,0.1333,0.05554,0.811
150285,0.04443,0.4153,0.54
150286,0.0611,0.4,0.539
150287,0.0531,0.3506,0.596
150288,0.10156,0.2969,0.6016
150289,0.10834,0.328,0.564
150290,0.08026,0.3162,0.6035
150291,0.1619,0.2317,0.6064
150292,0.1476,0.2126,0.6396
150293,0.1859,0.1484,0.6655
150294,0.08887,0.1444,0.7666
150295,0.0841,0.06824,0.8477
150296,0.06885,0.01232,0.919
150297,0.011765,0.01111,0.977
150298,0.0944,0.05,0.8555
150299,0.07776,0.03705,0.8853
150300,0.0722,0.03333,0.8945
150301,0.1555,0.03333,0.811
150302,0.006943,0.0236,0.969
150303,0.05185,0.04074,0.907
150304,0.02618,0.01349,0.9604
150305,0.00202,0.00303,0.995
150306,0.00952,,0.99
150307,0.02037,,0.9795
150308,0.007935,,0.992
150309,0.006943,,0.993
150310,0.00889,,0.991
150311,,,1.0
150312,0.06665,,0.933
150313,0.002264,0.01111,0.987
150314,0.003418,,0.9966
150315,0.05185,,0.948
150316,0.010254,,0.9897
150317,0.03705,0.003704,0.9595
150318,0.01944,,0.9805
150319,0.001235,,0.9985
150320,0.03333,,0.967
150321,0.00463,,0.9956
150322,0.00392,0.0006537,0.9956
150323,0.1111,0.01111,0.878
150324,0.02777,,0.972
150325,0.0611,0.005554,0.933
150326,0.00833,0.0006943,0.991
150327,0.02963,0.003704,0.967
150328,0.04443,,0.9556
150329,0.06665,,0.933
150330,0.02063,,0.9795
150331,0.002563,,0.9976
150332,0.02888,0.002222,0.9688
150333,0.05,,0.95
150334,0.006348,,0.9937
150335,0.02888,,0.971
150336,,,1.0
150337,0.025,0.002777,0.972
150338,0.006836,,0.993
150339,0.00819,,0.9917
150340,0.03888,0.002777,0.9585
150341,,,1.0
150342,0.01556,,0.9844
150343,0.01111,,0.989
150344,0.013336,,0.987
150345,0.02,,0.98
150346,0.03333,,0.967
150347,0.01296,0.000926,0.9863
150348,0.00238,,0.9976
150349,0.00741,,0.9927
150350,0.002083,,0.998
150351,0.015274,,0.985
150352,0.00247,,0.9976
150353,0.03333,,0.967
150354,0.001389,,0.9985
150355,0.01666,0.001852,0.9814
150356,0.00238,,0.9976
150357,0.003174,,0.9966
150358,0.005554,,0.9946
150359,0.007538,,0.9927
150360,0.08887,0.01111,0.9
150361,0.03888,,0.961
150362,0.002563,,0.9976
150363,0.03333,,0.967
150364,0.001533,,0.9985
150365,0.001755,,0.998
150366,0.01556,,0.9844
150367,0.006172,,0.9937
150368,0.02777,,0.972
150369,0.01482,,0.9854
150370,0.013336,,0.987
150371,0.02222,,0.9775
150372,0.04443,,0.9556
150373,,,1.0
150374,0.01556,0.001111,0.9834
150375,0.02222,,0.9775
150376,0.02222,,0.9775
150377,0.006172,,0.9937
150378,0.02432,0.0003004,0.9756
150379,0.04126,,0.9585
150380,0.07776,0.001852,0.9204
150381,0.1,0.00101,0.899
150382,0.1407,0.005554,0.8535
150383,0.1333,0.011566,0.855
150384,0.1736,0.004166,0.8223
150385,0.1777,0.01111,0.811
150386,0.22,0.002222,0.778
150387,0.2296,0.01111,0.7593
150388,0.2346,0.01156,0.754
150389,0.2854,0.00575,0.709
150390,0.4277,0.001852,0.5703
150391,0.463,0.01482,0.5225
150392,0.507,0.001389,0.4917
150393,0.6,0.02222,0.3777
150394,0.656,0.00741,0.3372
150395,0.7554,,0.2444
150396,0.878,,0.1222
150397,0.989,,0.01111
150398,1.0,,
150399,1.0,,
150400,1.0,,
150401,1.0,,
150402,1.0,,
150403,1.0,,
150404,1.0,,
150405,1.0,,
150406,1.0,,
150407,1.0,,
150408,1.0,,
150409,1.0,,
150410,1.0,,
150411,1.0,,
150412,1.0,,
150413,0.9995,0.0005846,
150414,1.0,,
150415,1.0,,
150416,1.0,,
150417,1.0,,
150418,1.0,,
150419,1.0,,
150420,1.0,,
150421,1.0,,
150422,1.0,,
150423,1.0,,
150424,1.0,,
150425,1.0,,
150426,1.0,,
150427,1.0,,
150428,1.0,,
150429,1.0,,
150430,1.0,,
150431,1.0,,
150432,1.0,,
150433,1.0,,
150434,1.0,,
150435,1.0,,
150436,1.0,,
150437,1.0,,
150438,1.0,,
150439,1.0,,
150440,1.0,,
150441,1.0,,
150442,1.0,,
150443,0.989,0.01111,
150444,0.989,0.01111,
150445,0.989,0.01111,
150446,0.9883,0.01162,
150447,0.9224,0.07776,
150448,0.911,0.08887,
150449,0.8667,0.1333,
150450,0.7666,0.2003,0.03302
150451,0.711,0.2888,
150452,0.6396,0.3071,0.05316
150453,0.4666,0.3806,0.1528
150454,0.4856,0.2903,0.224
150455,0.523,0.3066,0.1705
150456,0.4885,0.2986,0.213
150457,0.4814,0.3037,0.2148
150458,0.4038,0.3518,0.2444
150459,0.28,0.389,0.331
150460,0.1687,0.3896,0.4417
150461,0.1222,0.4436,0.434
150462,0.06223,0.4155,0.5225
150463,0.047,0.4563,0.4966
150464,0.01666,0.482,0.5015
150465,0.00773,0.4644,0.528
150466,0.00833,0.453,0.539
150467,0.000926,0.449,0.55
150468,0.01482,0.263,0.722
150469,,0.3777,0.622
150470,,0.35,0.65
150471,,0.211,0.789
150472,,0.2793,0.7207
150473,,0.2347,0.765
150474,,0.1531,0.8467
150475,,0.1164,0.884
150476,,0.0761,0.924
150477,,0.03333,0.967
150478,,,1.0
150479,,,1.0
150480,,,1.0
150481,,,1.0
150482,,,1.0
150483,,,1.0
150484,,,1.0
150485,,,1.0
150486,,,1.0
150487,,,1.0
150488,,,1.0
150489,,,1.0
150490,,,1.0
150491,,,1.0
150492,,,1.0
150493,,,1.0
150494,,,1.0
150495,,,1.0
150496,,,1.0
150497,,,1.0
150498,,,1.0
150499,,,1.0
150500,,,1.0
150501,,,1.0
150502,,,1.0
150503,,,1.0
150504,,0.005554,0.9946
150505,,,1.0
150506,,,1.0
150507,,,1.0
150508,,,1.0
150509,,,1.0
150510,,,1.0
150511,,,1.0
150512,,,1.0
150513,,,1.0
150514,,,1.0
150515,,,1.0
150516,,,1.0
150517,,,1.0
150518,,,1.0
150519,,,1.0
150520,,,1.0
150521,,,1.0
150522,,,1.0
150523,,,1.0
150524,,,1.0
150525,,,1.0
150526,,,1.0
150527,,,1.0
150528,,0.01111,0.989
150529,,0.01111,0.989
150530,,,1.0
150531,,,1.0
150532,,,1.0
150533,,,1.0
150534,,,1.0
150535,,,1.0
150536,,,1.0
150537,,,1.0
150538,,,1.0
150539,,0.01111,0.989
150540,,,1.0
150541,,,1.0
150542,,,1.0
150543,,,1.0
150544,,,1.0
150545,,,1.0
150546,,,1.0
150547,,,1.0
150548,,,1.0
150549,,,1.0
150550,,,1.0
150551,,,1.0
150552,,,1.0
150553,,,1.0
150554,,,1.0
150555,,,1.0
150556,,0.01111,0.989
150557,,,1.0
150558,,,1.0
150559,,,1.0
150560,,,1.0
150561,,,1.0
150562,,,1.0
150563,,,1.0
150564,,,1.0
150565,,,1.0
150566,,,1.0
150567,,,1.0
150568,,,1.0
150569,,0.01111,0.989
150570,,0.01111,0.989
150571,,,1.0
150572,,,1.0
150573,,,1.0
150574,,,1.0
150575,,,1.0
150576,,,1.0
150577,,,1.0
150578,,,1.0
150579,,,1.0
150580,,,1.0
150581,,,1.0
150582,,,1.0
150583,,,1.0
150584,,,1.0
150585,,,1.0
150586,,,1.0
150587,,,1.0
150588,,,1.0
150589,,,1.0
150590,,,1.0
150591,,,1.0
150592,,,1.0
150593,,,1.0
150594,,,1.0
150595,,,1.0
150596,,,1.0
150597,,,1.0
150598,,,1.0
150599,,,1.0
150600,,,1.0
150601,,,1.0
150602,,,1.0
150603,,,1.0
150604,,,1.0
150605,,,1.0
150606,,,1.0
150607,,,1.0
150608,,,1.0
150609,,,1.0
150610,,,1.0
150611,,,1.0
150612,,,1.0
150613,,,1.0
150614,,,1.0
150615,,,1.0
150616,,,1.0
150617,,,1.0
150618,,,1.0
150619,,,1.0
150620,,,1.0
150621,,,1.0
150622,,,1.0
150623,,,1.0
150624,,,1.0
150625,,,1.0
150626,,,1.0
150627,,,1.0
150628,,,1.0
150629,,,1.0
150630,,,1.0
150631,,,1.0
150632,,,1.0
150633,,,1.0
150634,,,1.0
150635,,,1.0
150636,,,1.0
150637,,,1.0
150638,,,1.0
150639,,,1.0
150640,,,1.0
150641,,,1.0
150642,,,1.0
150643,,,1.0
150644,,,1.0
150645,,,1.0
150646,,,1.0
150647,,,1.0
150648,,,1.0
150649,,,1.0
150650,,,1.0
150651,,,1.0
150652,,,1.0
150653,,,1.0
150654,,,1.0
150655,,,1.0
150656,,,1.0
150657,,,1.0
150658,,,1.0
150659,,,1.0
150660,,,1.0
150661,,,1.0
150662,,,1.0
150663,,,1.0
150664,,,1.0
150665,,,1.0
150666,,,1.0
150667,,,1.0
150668,,,1.0
150669,,,1.0
150670,,,1.0
150671,,,1.0
150672,,0.01111,0.989
150673,,,1.0
150674,,,1.0
150675,,,1.0
150676,,,1.0
150677,,,1.0
150678,,,1.0
