T,C,D,L
150000,0.6665,0.311,0.02222
150001,0.562,0.1311,0.3066
150002,0.887,0.0984,0.01428
150003,1.0,,
150004,0.9307,0.05,0.01944
150005,0.983,0.01482,0.002117
150006,0.9863,0.010254,0.003418
150007,0.9966,0.003471,
150008,0.9873,0.0116,0.000966
150009,0.8887,0.1,0.01111
150010,0.915,0.02017,0.065
150011,0.9043,0.08887,0.006668
150012,0.778,0.2222,
150013,0.892,0.06067,0.047
150014,0.98,0.01984,
150015,0.992,0.007935,
150016,0.948,0.04443,0.00741
150017,0.9844,0.01556,
150018,0.911,0.0741,0.01482
150019,0.9463,0.05185,0.001852
150020,0.989,0.01111,
150021,0.8887,0.1037,0.00741
150022,0.99,0.00889,0.001111
150023,0.778,0.1444,0.07776
150024,0.3333,0.2444,0.422
150025,0.4673,0.01852,0.514
150026,0.5527,0.1417,0.3057
150027,0.8286,0.0952,0.0762
150028,0.983,0.01709,
150029,0.9775,0.0202,0.00202
150030,0.9775,0.02222,
150031,0.9985,0.001235,
150032,0.987,0.01212,0.00101
150033,0.9897,0.00952,0.0007935
150034,0.9443,0.04816,0.00741
150035,0.9907,0.00833,0.000926
150036,0.8335,0.1333,0.03333
150037,0.908,0.06805,0.0236
150038,0.9927,0.006172,0.001235
150039,0.9307,0.05554,0.013885
150040,0.778,0.2,0.02222
150041,0.8857,0.03625,0.07776
150042,0.7944,0.1722,0.03333
150043,0.984,0.01068,0.005554
150044,0.9585,0.03015,0.01111
150045,0.972,0.01666,0.01111
150046,0.9424,0.05334,0.004444
150047,0.9937,0.006172,
150048,0.9863,0.013885,
150049,0.9893,0.01068,
150050,0.9585,0.0381,0.003174
150051,0.9897,0.006763,0.003382
150052,0.9224,0.06665,0.01111
150053,0.992,0.00389,0.00389
150054,0.778,0.1888,0.03333
150055,0.8975,0.06757,0.0352
150056,0.9473,0.0472,0.005554
150057,0.973,0.01904,0.007935
150058,0.8613,0.1333,0.005554
150059,0.964,0.02425,0.01212
150060,0.9604,0.02856,0.01111
150061,0.8223,0.1666,0.01111
150062,0.954,0.04443,0.001587
150063,0.6665,0.311,0.02222
150064,0.5376,0.1355,0.3267
150065,0.711,0.1704,0.1185
150066,0.2778,0.4778,0.2444
150067,0.743,0.014694,0.2423
150068,0.737,0.2333,0.02963
150069,0.984,0.01453,0.001709
150070,0.8887,0.08887,0.02222
150071,0.962,0.02808,0.00994
150072,0.8887,0.0944,0.01666
150073,0.9443,0.05554,
150074,0.9775,0.02222,
150075,0.993,0.0058,0.000966
150076,0.972,0.02777,
150077,0.906,0.05554,0.03888
150078,0.722,0.2333,0.04443
150079,0.91,0.05408,0.03555
150080,0.9424,0.05334,0.004444
150081,0.9775,0.01778,0.004444
150082,0.989,0.01111,
150083,0.9585,0.0381,0.003174
