T,C,D,L
100000,0.03333,,0.967
100001,0.00952,,0.99
100002,0.02333,0.01111,0.9653
100003,0.02963,0.001852,0.9688
100004,0.005554,,0.9946
100005,0.0118,0.001389,0.987
100006,0.00238,,0.9976
100007,0.00714,,0.9927
100008,0.01944,,0.9805
100009,0.01852,0.001852,0.9795
100010,0.02698,,0.973
100011,0.1444,0.01111,0.844
100012,0.02222,0.02222,0.9556
100013,0.02222,0.001481,0.976
100014,0.07776,,0.9224
100015,0.00643,,0.9937
100016,0.01111,,0.989
100017,0.025,0.000926,0.974
100018,0.02222,0.01111,0.967
100019,0.04443,0.002777,0.9526
100020,0.013885,,0.9863
100021,0.00833,0.01111,0.9805
100022,0.01212,0.00101,0.987
100023,0.00404,,0.996
100024,0.02667,,0.973
100025,0.005554,,0.9946
100026,0.004074,0.0003703,0.9956
100027,0.001587,,0.9985
100028,0.00833,,0.9917
100029,0.04443,,0.9556
100030,,,1.0
100031,,,1.0
100032,0.01944,,0.9805
100033,0.004166,,0.9956
100034,0.04443,,0.9556
100035,,,1.0
100036,0.00324,,0.9966
100037,0.01111,,0.989
100038,0.0722,0.01111,0.9165
100039,0.013885,0.001389,0.985
100040,0.001212,,0.999
100041,0.02592,0.003704,0.97
100042,0.03888,,0.961
100043,0.08887,,0.911
100044,0.002338,0.01111,0.9863
100045,0.1222,0.03333,0.844
100046,0.005184,0.02296,0.9717
100047,0.00877,0.01404,0.977
100048,0.02444,0.04666,0.9287
100049,0.06946,0.02222,0.908
100050,0.02,0.002222,0.9775
100051,0.0101,,0.9897
100052,0.001235,,0.9985
100053,0.001282,,0.9985
100054,0.02777,,0.972
100055,0.003704,0.0007405,0.9956
100056,0.005554,,0.9946
100057,0.02,0.01111,0.9688
100058,0.004272,0.0008545,0.9946
100059,0.07776,0.01111,0.911
100060,0.07776,0.02222,0.9
100061,0.006668,0.003704,0.9897
100062,0.00833,,0.9917
100063,0.01587,0.003174,0.981
100064,0.03888,0.005554,0.9556
100065,0.002068,,0.998
100066,0.01482,,0.9854
100067,0.00476,,0.995
100068,0.003124,0.001389,0.9956
100069,0.00952,0.0007935,0.9897
100070,0.01222,0.001111,0.987
100071,0.005184,0.001111,0.9937
100072,0.03333,,0.967
100073,0.00714,0.001587,0.991
100074,0.00494,,0.995
100075,0.005554,0.001389,0.993
100076,0.01482,0.001235,0.984
100077,0.04443,,0.9556
100078,0.003704,0.0006175,0.9956
100079,0.01595,0.01111,0.973
100080,0.00972,0.002777,0.9873
100081,0.02963,0.003704,0.967
100082,0.05185,,0.948
100083,0.1666,0.01111,0.8223
100084,0.01587,,0.984
100085,0.001481,0.02296,0.9756
100086,0.00815,0.005184,0.987
100087,0.003704,0.001481,0.9946
100088,0.0833,,0.9165
100089,0.08887,0.02222,0.8887
100090,0.01111,0.0125,0.9766
100091,0.003174,0.0238,0.973
100092,0.04074,0.0815,0.878
100093,0.01313,0.02425,0.9624
100094,0.007603,0.0579,0.9346
100095,0.08887,0.15,0.761
100096,0.07776,0.1444,0.778
100097,0.04443,0.11664,0.839
100098,0.0671,0.1671,0.7656
100099,0.0936,0.1809,0.7256
100100,0.07544,0.2397,0.6846
100101,0.1489,0.2786,0.5723
100102,0.1333,0.2888,0.5776
100103,0.1153,0.2888,0.5957
100104,0.1,0.3542,0.546
100105,0.09045,0.4,0.51
100106,0.08887,0.4111,0.5
100107,0.03333,0.3667,0.6
100108,0.05554,0.3533,0.5913
100109,0.01111,0.25,0.739
100110,0.02222,0.1722,0.8057
100111,0.03055,0.125,0.844
100112,,0.02222,0.9775
100113,,,1.0
100114,,0.005554,0.9946
100115,,,1.0
100116,,,1.0
100117,,,1.0
100118,,,1.0
