T,C,D,L
0,0.3167,0.2834,0.4
1,0.2444,0.2778,0.4778
2,0.3723,0.3057,0.3223
3,0.2467,0.34,0.4133
4,0.2576,0.359,0.3835
5,0.2056,0.3735,0.421
6,0.2294,0.3364,0.434
7,0.1666,0.3926,0.4407
8,0.1945,0.389,0.4167
9,0.1829,0.403,0.414
10,0.0815,0.486,0.4324
11,0.1606,0.4639,0.3755
12,0.1333,0.4333,0.4333
13,0.1395,0.4026,0.458
14,0.1769,0.391,0.4321
15,0.10156,0.4016,0.4968
16,0.1555,0.3555,0.4888
17,0.1142,0.392,0.494
18,0.07153,0.3604,0.568
19,0.1111,0.354,0.535
20,0.1,0.3037,0.596
21,0.09045,0.33,0.5796
22,0.1238,0.2856,0.5903
23,0.0922,0.29,0.6177
24,0.07776,0.2,0.722
25,0.08887,0.2964,0.6147
26,0.06665,0.2444,0.689
27,0.0764,0.2264,0.6973
28,0.03111,0.1533,0.8154
29,0.03888,0.1257,0.8354
30,0.06665,0.1278,0.8057
31,0.05264,0.11523,0.832
32,0.0611,0.0944,0.844
33,0.1315,0.0713,0.7974
34,0.08966,0.0643,0.846
35,0.05298,0.0598,0.887
36,0.063,0.05554,0.8813
37,0.03333,0.03888,0.9277
38,0.0352,0.02408,0.941
39,0.04126,0.03174,0.927
40,0.04816,0.05063,0.9014
41,0.0704,0.05554,0.874
42,0.08887,0.04443,0.8667
43,0.02469,0.01976,0.9556
44,0.0827,0.05554,0.862
45,0.02727,0.02222,0.9507
46,0.0477,0.0438,0.9087
47,0.1278,0.06665,0.8057
48,0.0852,0.05554,0.8594
49,0.02222,0.03333,0.9443
50,0.0539,0.04056,0.906
51,0.01976,0.008644,0.9717
52,0.0926,0.05927,0.848
53,,0.01666,0.9834
54,0.02777,0.02777,0.9443
55,0.004444,0.02667,0.9688
56,0.003704,0.03705,0.9595
57,,0.0299,0.97
58,0.01666,0.05554,0.9277
59,0.002222,0.006668,0.991
60,,0.00202,0.998
61,,,1.0
62,,0.003704,0.996
63,,0.01111,0.989
64,,0.001111,0.999
65,,,1.0
66,,,1.0
67,,,1.0
68,,,1.0
69,,,1.0
70,,,1.0
71,,,1.0
72,,,1.0
73,,,1.0
74,,0.003174,0.9966
75,,0.00741,0.9927
76,,0.003704,0.996
77,,,1.0
78,,,1.0
79,,,1.0
80,,0.01666,0.9834
81,,,1.0
82,,,1.0
83,,,1.0
84,,,1.0
85,,,1.0
86,,,1.0
87,,,1.0
88,,,1.0
89,,,1.0
90,,,1.0
91,,,1.0
92,,,1.0
93,,,1.0
94,,,1.0
95,,,1.0
96,,,1.0
97,,,1.0
98,,,1.0
99,,,1.0
100,,,1.0
101,,,1.0
102,,,1.0
103,,,1.0
104,,,1.0
105,,,1.0
106,,,1.0
107,,,1.0
108,,,1.0
109,,,1.0
110,,,1.0
111,,,1.0
112,,,1.0
113,,0.0007405,0.999
114,,,1.0
115,,,1.0
116,,,1.0
117,,,1.0
118,,0.01111,0.989
119,,,1.0
120,,,1.0
121,,,1.0
122,,,1.0
123,,,1.0
124,,,1.0
125,,,1.0
126,,,1.0
127,,,1.0
128,,,1.0
129,,,1.0
130,,,1.0
131,,,1.0
132,,,1.0
133,,,1.0
134,,,1.0
135,,,1.0
136,0.00741,0.003704,0.989
137,,,1.0
138,,,1.0
139,,,1.0
140,,,1.0
141,,,1.0
142,,,1.0
143,,,1.0
144,,,1.0
145,,,1.0
146,,0.00741,0.9927
147,,,1.0
148,,,1.0
149,,0.01111,0.989
150,,,1.0
151,,0.00598,0.994
152,,,1.0
153,,0.01111,0.989
154,,,1.0
155,,0.005554,0.9946
156,,,1.0
157,,,1.0
158,,,1.0
159,,,1.0
160,,,1.0
161,,,1.0
162,,0.02222,0.9775
163,,0.00741,0.9927
164,,,1.0
165,,,1.0
166,,,1.0
167,,,1.0
168,,,1.0
169,,,1.0
170,,,1.0
171,,,1.0
172,,,1.0
173,,0.00101,0.999
174,,,1.0
175,,,1.0
176,,,1.0
177,,,1.0
178,,,1.0
179,,,1.0
180,,,1.0
181,,,1.0
182,,,1.0
183,,,1.0
184,,,1.0
185,,,1.0
186,,,1.0
187,,,1.0
188,,,1.0
