T,C,D,L
150000,0.9863,0.01367,
150001,0.9814,0.01852,
150002,0.9897,0.0101,
150003,0.9907,0.00926,
150004,0.996,0.003832,
150005,0.9927,0.00741,
150006,0.926,0.0741,
150007,1.0,,
150008,0.9775,0.02222,
150009,0.979,0.02083,
150010,0.992,0.007935,
150011,1.0,,
150012,0.976,0.0238,
150013,0.99,0.007935,0.001587
150014,0.971,0.02888,
150015,0.9907,0.00926,
150016,0.996,0.003967,
150017,1.0,,
150018,0.9907,0.00926,
150019,1.0,,
150020,0.9956,0.003704,0.0007405
150021,0.9775,0.02222,
150022,1.0,,
150023,1.0,,
150024,0.984,0.01587,
150025,1.0,,
150026,0.9917,0.00833,
150027,0.9443,0.05554,
150028,1.0,,
150029,1.0,,
150030,0.963,0.03705,
150031,0.9443,0.05554,
150032,0.963,0.03087,0.006172
150033,0.9834,0.01666,
150034,1.0,,
150035,0.98,0.0202,
150036,0.9443,0.02222,0.03333
150037,0.96,0.03983,
150038,0.9624,0.0375,
150039,0.9165,0.0833,
150040,0.9556,0.03705,0.00741
150041,0.997,0.002777,
150042,0.9937,0.006172,
150043,0.9863,0.013885,
150044,1.0,,
150045,0.965,0.0349,
150046,0.9556,0.04443,
150047,0.9165,0.0833,
150048,0.969,0.03055,
150049,0.994,0.0049,0.00098
150050,0.997,0.002924,
150051,0.997,0.002777,
150052,0.9165,0.0833,
150053,0.988,0.012344,
150054,0.9814,0.01852,
150055,0.993,0.005554,0.001111
150056,0.8887,0.1111,
150057,0.9795,0.01729,0.003086
150058,0.9775,0.02222,
150059,0.9956,0.00463,
150060,1.0,,
150061,0.998,0.001984,
150062,0.9443,0.04443,0.01111
150063,0.9795,0.02051,
150064,1.0,,
150065,0.989,0.01111,
150066,0.9307,0.06946,
150067,0.9556,0.04443,
150068,1.0,,
150069,1.0,,
150070,1.0,,
150071,0.9775,0.02222,
150072,0.991,0.008545,
150073,0.995,0.00505,
150074,0.9946,0.005554,
150075,0.9937,0.006172,
150076,0.971,0.02888,
150077,0.9937,0.00476,0.001587
150078,0.997,0.002777,
150079,1.0,,
150080,0.992,0.007935,
150081,0.995,0.0047,
150082,0.972,0.02777,
150083,0.9927,0.00741,
150084,1.0,,
150085,1.0,,
150086,0.9897,0.010414,
150087,0.984,0.01587,
150088,0.9956,0.004272,
150089,0.999,0.001111,
150090,0.9585,0.04166,
150091,0.9985,0.001683,
150092,0.992,0.007935,
150093,1.0,,
150094,0.986,0.01053,0.00351
150095,0.969,0.03087,
150096,0.992,0.007935,
150097,0.964,0.03473,0.001389
150098,0.991,0.008545,
150099,1.0,,
150100,0.9443,0.05554,
150101,0.9976,,0.002415
150102,1.0,,
150103,1.0,,
150104,1.0,,
150105,0.9907,0.0094,
150106,1.0,,
150107,1.0,,
150108,0.972,0.02777,
150109,0.9443,0.05554,
150110,0.8887,0.0944,0.01666
150111,0.972,0.02777,
150112,0.9556,0.04443,
150113,0.927,0.06824,0.00476
150114,0.9585,0.04166,
150115,0.8887,0.1111,
150116,0.983,0.01226,0.004597
150117,0.8887,0.1111,
150118,0.964,0.02815,0.00815
150119,0.997,0.002777,
150120,0.989,0.01111,
150121,0.989,0.01111,
150122,0.998,0.001736,
150123,0.9956,0.004272,
150124,0.9814,0.01852,
150125,1.0,,
150126,1.0,,
150127,0.9443,0.05554,
150128,0.995,0.00505,
150129,1.0,,
150130,1.0,,
150131,1.0,,
150132,1.0,,
150133,0.9966,0.003471,
150134,0.963,0.03705,
150135,0.9688,0.03111,
150136,0.993,0.006943,
150137,1.0,,
150138,0.9873,0.01282,
150139,1.0,,
150140,0.988,0.012344,
150141,0.9165,0.05,0.03333
150142,0.946,0.05396,
150143,0.976,0.0188,0.005127
150144,0.965,0.0349,
150145,0.961,0.03888,
150146,0.9966,0.002777,0.0005555
150147,1.0,,
150148,0.996,0.003967,
150149,0.9814,0.00926,0.00926
150150,0.972,,0.02777
150151,0.991,0.00877,
150152,0.9956,0.004272,
150153,0.9443,0.03888,0.01666
150154,1.0,,
150155,0.963,0.03705,
150156,1.0,,
150157,1.0,,
150158,0.995,0.00505,
150159,0.967,0.03333,
150160,0.9946,0.00529,
150161,1.0,,
150162,0.988,0.012344,
150163,0.9854,0.01453,
150164,1.0,,
150165,0.9956,0.00463,
150166,0.971,0.02888,
150167,0.9624,0.03778,
150168,0.979,0.02112,
150169,0.976,0.0238,
150170,0.997,0.002924,
150171,0.989,0.00926,0.001852
150172,1.0,,
150173,1.0,,
150174,0.967,0.03333,
150175,0.9863,0.013885,
150176,0.933,0.06665,
150177,0.878,0.1222,
150178,0.8887,0.1111,
150179,0.972,0.01666,0.01111
150180,0.992,0.007935,
150181,0.989,0.01111,
150182,0.992,,0.007935
150183,1.0,,
150184,0.9927,0.003704,0.003704
150185,0.9956,0.004272,
150186,0.9966,0.003471,
150187,1.0,,
150188,1.0,,
150189,0.9966,0.003584,
150190,1.0,,
150191,0.9937,0.006535,
150192,1.0,,
150193,0.991,0.00741,0.001481
150194,1.0,,
150195,0.9956,0.004272,
150196,0.9224,0.04443,0.03333
150197,0.7446,0.2556,
150198,0.812,0.1677,0.02
150199,0.8794,0.1153,0.005554
150200,0.991,0.008026,0.000926
150201,0.9863,0.013885,
150202,0.9956,0.00463,
150203,0.8887,0.1111,
150204,0.9414,0.0563,0.002222
150205,0.9595,0.0353,0.00523
150206,0.963,0.03705,
150207,0.9277,0.06946,0.002777
150208,0.984,0.01587,
150209,1.0,,
150210,0.9556,0.04443,
150211,0.979,0.02083,
150212,0.979,0.02083,
150213,0.989,0.01111,
150214,0.972,0.02777,
150215,0.989,0.01111,
150216,0.9907,0.00926,
150217,0.9907,0.00926,
150218,1.0,,
150219,1.0,,
150220,0.9907,0.00926,
150221,1.0,,
150222,0.9814,0.01852,
150223,0.9976,0.002645,
150224,1.0,,
150225,1.0,,
150226,0.9976,0.002525,
150227,0.987,0.01307,
150228,0.963,0.03705,
150229,1.0,,
150230,0.993,0.006943,
150231,1.0,,
150232,0.9907,0.00926,
150233,0.987,0.013336,
150234,1.0,,
150235,0.9814,0.01852,
150236,1.0,,
150237,1.0,,
150238,0.996,0.003967,
150239,1.0,,
150240,1.0,,
150241,0.9956,0.00463,
150242,0.989,0.01111,
150243,0.941,0.04816,0.01111
150244,0.778,0.2222,
150245,0.819,0.1632,0.01794
150246,0.849,0.1422,0.00889
150247,0.9766,0.02345,
150248,1.0,,
150249,1.0,,
150250,0.9976,0.00202,0.000505
150251,0.989,0.01111,
150252,0.9937,0.006172,
150253,0.9863,0.013885,
150254,0.8887,0.07776,0.03333
150255,0.9,0.1,
150256,0.903,0.0972,
150257,0.8335,0.1,0.06665
150258,0.946,0.03473,0.01944
150259,0.9897,0.0101,
150260,0.9854,0.012344,0.00247
150261,0.999,0.001207,
150262,0.9775,0.02222,
150263,0.972,0.02777,
150264,1.0,,
150265,1.0,,
150266,0.9937,0.006172,
150267,0.9297,0.0704,
150268,0.9873,0.007935,0.00476
150269,0.972,0.01111,0.01666
150270,0.911,0.08887,
150271,0.973,0.02222,0.004444
150272,0.972,0.02222,0.005554
150273,0.993,0.006943,
150274,0.9585,0.04166,
150275,0.9775,0.02222,
150276,0.9893,0.01058,
150277,0.989,0.01111,
150278,0.989,0.01111,
150279,0.8833,0.1111,0.005554
150280,0.984,0.01111,0.00476
150281,1.0,,
150282,0.997,0.002924,
150283,1.0,,
150284,0.9814,0.01852,
150285,0.992,0.007935,
150286,0.972,0.02777,
150287,0.976,0.02408,
150288,1.0,,
150289,0.99,0.00833,0.001667
150290,0.998,0.001852,
150291,1.0,,
150292,1.0,,
150293,0.9814,0.01852,
150294,0.963,0.03705,
150295,0.9165,0.0833,
150296,0.9224,0.04443,0.03333
150297,0.9326,0.06744,
150298,0.6113,0.2666,0.1222
150299,0.8057,0.1,0.0944
150300,0.958,0.04224,
150301,0.9976,0.002222,0.0004444
150302,0.993,0.006943,
150303,0.9966,0.003471,
150304,1.0,,
150305,1.0,,
150306,1.0,,
150307,1.0,,
150308,0.9775,0.01852,0.003704
150309,0.9854,0.01473,
150310,0.979,0.02112,
150311,0.992,0.007576,
150312,0.9897,0.01046,
150313,0.9443,0.05554,
150314,0.952,0.04767,
150315,0.985,0.01482,0.0004115
150316,0.933,0.06665,
150317,1.0,,
150318,0.9165,0.06665,0.01666
150319,0.992,0.007935,
150320,0.9956,0.00463,
150321,1.0,,
150322,1.0,,
150323,0.997,0.00285,
150324,0.988,0.01236,
150325,0.964,0.0361,
150326,0.9946,0.00529,
150327,0.9976,0.002645,
150328,0.989,0.01111,
150329,0.989,0.01111,
150330,0.995,0.003382,0.00145
150331,0.942,0.05832,
150332,0.939,0.0611,
