T,C,D,L
100000,,,1.0
100001,,,1.0
100002,,,1.0
100003,,,1.0
100004,,,1.0
100005,,,1.0
100006,,,1.0
100007,,,1.0
100008,,,1.0
100009,,,1.0
100010,,,1.0
100011,,,1.0
100012,,,1.0
100013,,,1.0
100014,,,1.0
100015,,,1.0
100016,,,1.0
100017,,,1.0
100018,,,1.0
100019,,,1.0
100020,,,1.0
100021,,,1.0
100022,,,1.0
100023,0.02222,,0.9775
100024,0.06665,0.02222,0.911
100025,0.02222,0.01111,0.967
100026,0.04443,,0.9556
100027,0.08887,0.01111,0.9
100028,0.1222,0.01111,0.8667
100029,0.1,0.02222,0.878
100030,0.06665,0.02222,0.911
100031,0.1333,0.03333,0.8335
100032,0.1555,0.02222,0.8223
100033,0.1444,0.05554,0.8
100034,0.07776,0.08887,0.8335
100035,0.04443,0.07776,0.878
100036,0.03333,0.07776,0.8887
100037,0.01111,0.06665,0.9224
100038,0.03333,0.06665,0.9
100039,,,1.0
100040,,0.01111,0.989
100041,,,1.0
100042,0.02222,0.01111,0.967
100043,0.02222,0.01111,0.967
100044,,,1.0
100045,,,1.0
100046,,,1.0
100047,,0.01111,0.989
100048,,0.01111,0.989
100049,,,1.0
100050,,,1.0
100051,,,1.0
100052,,,1.0
100053,,,1.0
100054,,,1.0
100055,,0.01111,0.989
100056,,,1.0
100057,,,1.0
100058,,,1.0
100059,,,1.0
100060,,,1.0
100061,,,1.0
100062,,,1.0
100063,,,1.0
100064,,,1.0
100065,,,1.0
100066,,,1.0
100067,,,1.0
100068,,,1.0
100069,,,1.0
100070,,,1.0
100071,,,1.0
100072,,,1.0
100073,,,1.0
100074,,,1.0
100075,,,1.0
100076,,,1.0
100077,,,1.0
100078,,,1.0
100079,,,1.0
100080,,,1.0
100081,,,1.0
100082,,,1.0
100083,,,1.0
100084,,,1.0
100085,,,1.0
100086,,,1.0
100087,,,1.0
100088,0.02222,,0.9775
100089,0.02222,,0.9775
100090,0.04443,,0.9556
100091,0.1,0.01111,0.8887
100092,0.06665,0.03333,0.9
100093,0.05554,0.03333,0.911
100094,0.07776,0.04443,0.878
100095,0.1222,0.02222,0.8555
100096,0.1555,0.02222,0.8223
100097,0.1333,0.01111,0.8555
100098,0.2,,0.8
100099,0.2222,,0.778
100100,0.2888,,0.711
100101,0.311,,0.689
100102,0.389,,0.6113
100103,0.4778,,0.5225
100104,0.567,,0.4333
100105,0.656,,0.3445
100106,0.7554,,0.2444
100107,0.8667,,0.1333
100108,0.9775,,0.02222
100109,1.0,,
100110,1.0,,
100111,1.0,,
100112,1.0,,
100113,1.0,,
100114,1.0,,
100115,1.0,,
100116,1.0,,
100117,1.0,,
100118,1.0,,
100119,1.0,,
100120,1.0,,
100121,1.0,,
100122,1.0,,
100123,1.0,,
100124,1.0,,
100125,1.0,,
100126,1.0,,
100127,1.0,,
100128,1.0,,
100129,1.0,,
100130,1.0,,
100131,1.0,,
100132,1.0,,
100133,1.0,,
100134,1.0,,
100135,1.0,,
100136,1.0,,
100137,1.0,,
100138,1.0,,
