T,C,D,L
50000,0.9814,0.00741,0.01111
50001,0.981,0.00787,0.01111
50002,0.9854,0.005184,0.00963
50003,0.9814,0.00926,0.00926
50004,1.0,,
50005,0.996,0.001481,0.002222
50006,0.975,0.00247,0.02222
50007,0.992,0.00238,0.005554
50008,0.988,0.005554,0.006668
50009,0.9775,0.00889,0.013336
50010,1.0,,
50011,1.0,,
50012,0.9907,0.004166,0.005093
50013,0.951,0.02444,0.02444
50014,0.9443,0.03333,0.02222
50015,0.9775,0.010056,0.01217
50016,0.8613,0.0611,0.07776
50017,0.722,0.211,0.06665
50018,0.8867,0.0927,0.02077
50019,0.9937,0.002058,0.004528
50020,0.991,0.003418,0.005127
50021,0.995,0.001932,0.0029
50022,0.975,0.00988,0.01482
50023,0.963,0.01482,0.02222
50024,0.907,0.04816,0.04443
50025,0.9673,0.01111,0.02136
50026,0.988,0.003704,0.008644
50027,0.989,0.01111,
50028,0.911,0.04443,0.04443
50029,0.932,0.04556,0.02222
50030,0.763,0.08887,0.1482
50031,0.9517,0.03555,0.012596
50032,0.95,0.02,0.03
50033,0.8887,0.07776,0.03333
50034,0.907,0.0738,0.01904
50035,0.7334,0.1888,0.07776
50036,0.802,0.1206,0.07776
50037,0.913,0.05905,0.02808
50038,0.995,0.0009108,0.003824
50039,1.0,,
50040,0.9736,0.01111,0.01538
50041,0.9937,0.002941,0.003595
50042,0.9814,0.00741,0.01111
50043,0.98,0.009094,0.01111
50044,0.907,0.0426,0.05
50045,0.9683,0.012695,0.01904
50046,0.9185,0.04816,0.03333
50047,0.9653,0.01111,0.0236
50048,0.9775,0.00889,0.013336
50049,0.9717,0.02425,0.00404
50050,0.9595,0.01605,0.02469
50051,0.9556,0.02963,0.01482
50052,0.961,0.03055,0.00833
50053,0.99,0.00389,0.00611
50054,0.9863,0.00625,0.007637
50055,1.0,,
50056,0.9893,0.004234,0.006348
50057,0.983,0.00769,0.0094
50058,0.9814,0.005554,0.01296
50059,1.0,,
50060,0.9585,0.01111,0.03055
50061,0.9443,0.03333,0.02222
50062,0.7056,0.11664,0.1777
50063,0.8374,0.1,0.0626
50064,0.715,0.1666,0.1185
50065,0.55,0.2,0.25
50066,0.6025,0.1722,0.225
50067,0.8916,0.05,0.05832
50068,0.9775,0.01482,0.00741
50069,0.8223,0.0611,0.11664
50070,0.9487,0.02083,0.03055
50071,0.9775,0.00889,0.013336
50072,0.9937,0.001709,0.0047
50073,1.0,,
50074,0.9165,0.0361,0.0472
50075,0.963,0.01852,0.01852
50076,0.985,0.01222,0.002777
50077,0.8887,0.03888,0.0722
50078,0.8833,0.0611,0.05554
50079,0.989,0.01111,
50080,0.8887,0.07776,0.03333
50081,0.8423,0.07556,0.0822
50082,0.9688,0.00926,0.02222
50083,0.989,0.01111,
50084,0.8887,0.06665,0.04443
50085,0.949,0.02014,0.03055
50086,1.0,,
50087,0.9224,0.06665,0.01111
50088,0.722,0.0815,0.1963
50089,0.8667,0.0839,0.04938
50090,0.839,0.1185,0.0426
50091,0.8486,0.08575,0.0656
50092,0.885,0.06946,0.04584
50093,0.9463,0.01666,0.0368
50094,0.9907,0.003704,0.005554
50095,0.994,0.002338,0.00351
50096,0.961,0.005554,0.03333
50097,0.975,0.02266,0.002222
50098,0.9927,0.003704,0.003704
50099,0.988,0.00494,0.00741
50100,0.8887,0.04816,0.063
50101,0.9917,0.003704,0.004444
50102,0.9863,0.005554,0.00833
50103,1.0,,
50104,0.8335,0.08887,0.07776
50105,0.8413,0.09204,0.06665
50106,0.8,0.0822,0.1178
50107,0.975,0.0098,0.01503
50108,1.0,,
50109,0.989,0.005554,0.005554
50110,1.0,,
50111,0.9556,0.01852,0.02592
50112,0.952,0.01904,0.02856
50113,0.967,0.012344,0.02098
50114,1.0,,
50115,0.878,0.07776,0.04443
50116,0.6665,0.1777,0.1555
50117,0.718,0.1472,0.1351
50118,0.4778,0.3,0.2222
50119,0.8047,0.1028,0.09235
50120,0.9272,0.0364,0.0364
50121,0.9897,0.00404,0.00606
50122,0.9775,0.00889,0.013336
50123,0.989,0.001587,0.00952
50124,0.988,0.003334,0.00889
50125,0.9966,0.00127,0.0019045
50126,0.998,0.001068,0.001068
50127,0.933,0.03888,0.02777
50128,0.9683,0.01822,0.013336
50129,0.972,0.01111,0.01666
50130,0.975,0.02478,
50131,0.9917,0.004,0.004444
50132,0.9697,0.01587,0.01428
50133,0.9907,0.003704,0.005554
50134,0.995,0.001932,0.0029
50135,1.0,,
50136,1.0,,
50137,1.0,,
50138,0.9443,0.03333,0.02222
50139,0.9443,0.02222,0.03333
50140,0.8335,0.1111,0.05554
50141,0.75,0.10834,0.1417
50142,0.818,0.06223,0.12
50143,0.8613,0.05,0.08887
50144,1.0,,
50145,0.9863,0.003967,0.00992
50146,0.903,0.04443,0.05276
50147,0.967,0.03333,
50148,0.938,0.03268,0.02942
50149,0.988,0.004322,0.008026
50150,0.972,0.00972,0.01805
50151,0.989,0.01111,
50152,0.984,0.003704,0.0125
50153,0.8887,0.06665,0.04443
50154,0.5,0.2,0.3
50155,0.2556,0.1333,0.6113
50156,0.504,0.1296,0.3667
50157,0.823,0.0783,0.0984
50158,0.6665,0.1222,0.211
50159,0.7705,0.0968,0.1328
50160,0.783,0.0972,0.11945
50161,0.937,0.02592,0.03705
50162,0.9985,,0.001389
50163,0.778,0.1555,0.06665
