T,C,D,L
150000,0.9443,0.05554,
150001,0.994,0.005848,
150002,1.0,,
150003,0.9897,0.0101,
150004,0.9976,0.00247,
150005,0.9814,0.01852,
150006,0.963,0.03705,
150007,0.9814,0.01852,
150008,1.0,,
150009,0.998,0.002058,
150010,0.99,0.00952,
150011,1.0,,
150012,0.9956,0.00463,
150013,0.9863,0.013885,
150014,1.0,,
150015,0.967,0.03333,
150016,0.9937,0.006172,
150017,1.0,,
150018,0.972,0.02777,
150019,0.996,0.003967,
150020,0.973,0.02698,
150021,0.9966,0.003267,
150022,1.0,,
150023,1.0,,
150024,0.967,0.03333,
150025,0.9956,0.00463,
150026,0.8613,0.1389,
150027,0.9863,0.013885,
150028,0.9863,0.013885,
150029,0.997,0.003002,
150030,1.0,,
150031,0.994,0.005848,
150032,1.0,,
150033,0.996,0.003967,
150034,0.989,0.01111,
150035,0.972,0.02777,
150036,0.991,0.00877,
150037,0.989,0.01111,
150038,0.9863,0.013885,
150039,0.9443,0.05554,
150040,0.979,0.02083,
150041,1.0,,
150042,0.9854,0.01482,
150043,1.0,,
150044,0.998,0.002136,
150045,0.993,0.006943,
150046,1.0,,
150047,0.8887,0.1111,
150048,0.848,0.1333,0.01852
150049,0.9946,0.005554,
150050,0.9927,0.00741,
150051,0.9966,0.003624,
150052,0.9775,0.02222,
150053,0.9443,0.05554,
150054,0.9775,0.02222,
150055,0.9814,0.01852,
150056,0.9443,0.04443,0.01111
150057,0.963,0.03705,
150058,0.992,0.007637,
150059,0.996,0.003704,
150060,0.9937,0.006172,
150061,0.996,0.003967,
150062,0.9956,0.004166,
150063,0.9443,0.05554,
150064,0.9976,0.002645,
150065,0.963,0.03705,
150066,1.0,,
150067,0.988,0.012344,
150068,0.9443,0.05554,
150069,1.0,,
150070,1.0,,
150071,0.996,0.003832,
150072,0.972,0.02777,
150073,0.991,0.008545,
150074,0.9834,0.01666,
150075,1.0,,
150076,1.0,,
150077,0.9443,0.05554,
150078,0.9863,0.013885,
150079,0.995,0.00505,
150080,1.0,,
150081,1.0,,
150082,0.9443,0.05554,
150083,0.9346,0.06555,
150084,0.722,0.2778,
150085,0.9307,0.06836,0.00114
150086,0.8594,0.1407,
150087,0.589,0.4111,
150088,0.901,0.09216,0.00719
150089,0.864,0.11945,0.01666
150090,0.991,0.00877,
150091,0.9946,0.005554,
150092,0.9956,0.004272,
150093,1.0,,
150094,0.989,0.01111,
150095,0.9585,0.04166,
150096,1.0,,
150097,0.9897,0.0101,
150098,1.0,,
150099,0.9775,0.02222,
150100,0.972,0.02777,
150101,1.0,,
150102,0.9976,0.002363,
150103,1.0,,
150104,0.9907,0.00926,
150105,0.998,0.002058,
150106,0.9976,0.002525,
150107,0.8887,0.1111,
