T,C,D,L
50000,0.993,0.006943,
50001,1.0,,
50002,1.0,,
50003,1.0,,
50004,1.0,,
50005,0.979,0.02083,
50006,0.998,0.001916,
50007,0.985,0.01515,
50008,0.9976,0.002525,
50009,1.0,,
50010,1.0,,
50011,0.9443,0.05554,
50012,0.8887,0.1111,
50013,0.9424,0.05777,
50014,0.961,0.03888,
50015,0.972,0.02777,
50016,0.995,0.00505,
50017,0.996,0.003967,
50018,0.778,0.2222,
50019,0.911,0.08887,
50020,0.9443,0.05554,
50021,0.9824,0.01778,
50022,0.9897,0.010414,
50023,0.997,0.003086,
50024,0.9927,0.00741,
50025,0.9995,0.000505,
50026,0.9966,0.003471,
50027,0.9937,0.006172,
50028,1.0,,
50029,0.993,0.006943,
50030,0.8887,0.1111,
50031,0.9854,0.01482,
50032,0.9863,0.013885,
50033,0.9443,0.05554,
50034,0.9814,0.01852,
50035,0.996,0.003704,
50036,0.9863,0.013885,
50037,1.0,,
50038,0.9937,0.006535,
50039,0.976,0.0238,
50040,1.0,,
50041,1.0,,
50042,0.995,0.00505,
50043,1.0,,
50044,0.9893,0.01068,
50045,0.9907,0.00926,
50046,0.996,0.003967,
50047,1.0,,
50048,0.9775,0.02222,
50049,0.9814,0.01852,
50050,1.0,,
50051,0.8887,0.1111,
50052,0.8525,0.1472,
50053,0.995,0.00505,
50054,1.0,,
50055,0.9443,0.05554,
50056,0.9937,0.006172,
50057,0.996,0.003704,
50058,0.963,0.03705,
50059,0.991,0.008545,
50060,0.9443,0.05554,
50061,0.9854,0.01482,
50062,0.988,0.012344,
50063,0.998,0.002136,
50064,0.9443,0.05554,
50065,0.989,0.01111,
50066,0.9443,0.05554,
50067,0.98,0.0202,
50068,1.0,,
50069,0.972,0.02777,
50070,0.972,0.02777,
50071,0.972,0.02777,
50072,1.0,,
50073,0.989,0.01111,
50074,0.9873,0.01282,
50075,0.9443,0.05554,
50076,0.947,0.05334,
50077,0.963,0.03705,
50078,0.996,0.003704,
50079,0.9834,0.01666,
50080,0.989,0.01111,
50081,0.963,0.03705,
50082,0.996,0.003967,
50083,0.995,0.00505,
50084,0.993,0.006943,
50085,0.9907,0.00926,
50086,0.972,0.02777,
50087,0.992,0.007935,
50088,1.0,,
50089,1.0,,
50090,0.9966,0.003471,
50091,0.984,0.01587,
50092,0.9937,0.006172,
50093,1.0,,
50094,1.0,,
50095,0.9165,0.0833,
50096,0.995,0.00505,
50097,0.8887,0.1111,
50098,0.9863,0.01365,
50099,1.0,,
50100,0.996,0.004116,
50101,0.972,0.02777,
50102,0.997,0.002777,
50103,1.0,,
50104,0.997,0.002924,
50105,1.0,,
50106,1.0,,
50107,0.985,0.01515,
50108,0.996,0.003967,
50109,0.9937,0.006348,
50110,0.8335,0.1666,
50111,0.886,0.1139,
50112,1.0,,
50113,0.9863,0.013885,
50114,0.9976,0.002525,
50115,0.987,0.01307,
50116,1.0,,
50117,0.9443,0.05554,
50118,0.975,0.02469,
50119,1.0,,
50120,0.989,0.01111,
50121,0.9976,0.00247,
50122,0.997,0.003086,
50123,1.0,,
50124,0.8887,0.1111,
50125,0.9736,0.02632,
50126,0.9985,0.001543,
50127,1.0,,
50128,1.0,,
50129,1.0,,
50130,1.0,,
50131,0.9443,0.05554,
50132,0.9746,0.02539,
50133,0.992,0.007935,
50134,1.0,,
50135,1.0,,
50136,1.0,,
50137,1.0,,
50138,0.963,0.03705,
50139,1.0,,
50140,1.0,,
50141,0.9585,0.04166,
50142,0.9946,0.00529,
50143,0.9883,0.0119,
50144,0.975,0.02469,
50145,1.0,,
50146,1.0,,
50147,0.9443,0.05554,
50148,0.976,0.0238,
50149,0.989,0.01111,
50150,1.0,,
50151,0.9946,0.005554,
50152,0.996,0.003704,
50153,0.9917,0.00833,
50154,1.0,,
50155,0.989,0.01111,
50156,0.987,0.01307,
50157,0.996,0.003967,
50158,1.0,,
50159,0.972,0.02777,
50160,0.999,0.001068,
50161,0.9863,0.013885,
50162,0.9956,0.004272,
50163,1.0,,
50164,0.9814,0.01482,0.003704
50165,1.0,,
50166,0.989,0.01111,
50167,1.0,,
50168,1.0,,
50169,0.9946,0.00529,
50170,0.8887,0.1111,
50171,0.852,0.1407,0.00741
50172,0.9814,0.01482,0.003704
50173,1.0,,
50174,1.0,,
50175,1.0,,
50176,0.9897,0.009094,0.00101
50177,0.9907,0.00926,
50178,0.9927,0.00741,
50179,0.979,0.02083,
50180,0.967,0.03111,0.002222
50181,1.0,,
50182,1.0,,
50183,0.9443,0.05554,
50184,0.9556,0.04443,
50185,0.996,0.003704,
50186,0.9927,0.00741,
50187,0.997,0.002777,
50188,0.972,0.02777,
50189,0.9814,0.01852,
50190,0.9814,0.01852,
50191,0.9937,0.006172,
50192,0.997,0.003086,
50193,0.972,0.02777,
50194,0.984,0.01587,
50195,1.0,,
50196,0.9956,0.00463,
50197,1.0,,
50198,0.9956,0.004505,
50199,0.9927,0.00741,
50200,0.993,0.006943,
50201,0.778,0.2222,
50202,0.85,0.15,
50203,0.989,0.01111,
50204,0.997,0.002924,
50205,0.9937,0.006172,
50206,0.9966,0.003471,
50207,1.0,,
50208,0.9863,0.013885,
50209,0.985,0.01515,
50210,0.9814,0.01852,
50211,0.9927,0.00741,
50212,0.8887,0.1111,
50213,0.5776,0.422,
50214,0.53,0.4666,0.003704
50215,0.2,0.8,
50216,0.86,0.1355,0.004444
50217,0.973,0.0268,
50218,0.9966,0.003471,
50219,0.97,0.02963,
50220,0.9775,0.02222,
50221,0.997,0.002924,
50222,0.9443,0.05554,
50223,0.991,0.008545,
50224,0.997,0.003086,
50225,0.9946,0.005554,
50226,1.0,,
50227,0.989,0.01111,
50228,0.9966,0.003267,
50229,0.972,0.02777,
50230,0.8887,0.1111,
50231,0.9365,0.0635,
50232,0.972,0.02777,
50233,0.984,0.01587,
50234,0.989,0.01111,
50235,1.0,,
50236,0.989,0.01111,
50237,0.9775,0.02222,
50238,0.9814,0.01852,
50239,0.9443,0.05554,
50240,0.979,0.02083,
50241,0.9834,0.01666,
50242,0.972,0.02777,
50243,0.8887,0.1111,
50244,0.926,0.0741,
50245,0.8887,0.1111,
50246,0.937,0.063,
50247,0.9775,0.02222,
50248,0.972,0.02777,
50249,0.963,0.03705,
50250,0.9907,0.00926,
50251,0.979,0.02083,
50252,0.963,0.03705,
50253,0.997,0.002924,
50254,0.9443,0.05554,
50255,0.9863,0.013885,
50256,0.993,0.006943,
50257,0.967,0.03333,
50258,1.0,,
50259,1.0,,
50260,1.0,,
50261,0.9937,0.006172,
50262,0.9863,0.013885,
50263,1.0,,
50264,0.9946,0.005554,
50265,0.9956,0.00463,
50266,0.9863,0.013885,
50267,0.8887,0.1111,
50268,0.9443,0.05554,
50269,1.0,,
50270,0.9907,0.00926,
50271,0.8335,0.1666,
50272,0.7334,0.2666,
50273,0.9683,0.03174,
50274,1.0,,
50275,0.9927,0.00741,
50276,0.995,0.00505,
50277,1.0,,
50278,0.997,0.002777,
50279,0.9937,0.006172,
50280,0.9956,0.004387,
50281,0.993,0.006943,
50282,1.0,,
50283,0.995,0.00505,
50284,1.0,,
50285,0.9995,0.0003269,
50286,0.9946,0.00529,
50287,0.9907,0.00926,
50288,0.984,0.01587,
50289,1.0,,
50290,0.997,0.003145,
50291,0.992,0.007935,
50292,0.722,0.2778,
50293,0.7734,0.225,0.001389
50294,0.951,0.0489,
50295,1.0,,
50296,0.9976,0.00247,
50297,0.9976,0.002316,
50298,1.0,,
50299,0.9834,0.01666,
50300,1.0,,
50301,0.989,,0.01111
50302,0.999,0.00101,
50303,0.9907,0.00926,
50304,1.0,,
50305,0.9937,0.006172,
50306,0.9917,0.00833,
50307,0.997,0.003086,
50308,0.972,0.02777,
50309,0.972,0.02777,
50310,0.9814,0.01852,
50311,0.9976,0.002645,
50312,0.9585,0.04166,
50313,0.9966,0.003471,
50314,1.0,,
50315,1.0,,
50316,1.0,,
50317,1.0,,
50318,0.9995,0.0004115,
50319,1.0,,
50320,0.9443,0.05554,
50321,1.0,,
50322,1.0,,
50323,0.9443,0.05554,
50324,1.0,,
50325,1.0,,
50326,1.0,,
50327,1.0,,
50328,0.9956,0.00463,
50329,0.979,0.02083,
50330,0.8335,0.1666,
50331,0.814,0.1862,
50332,1.0,,
50333,0.9966,0.003267,
50334,0.997,0.002722,
50335,0.926,0.0741,
50336,0.9873,0.01282,
50337,1.0,,
50338,1.0,,
50339,0.9907,0.00926,
50340,0.9927,0.00711,
50341,0.9775,0.02222,
50342,0.998,0.001984,
50343,1.0,,
50344,0.998,0.001984,
50345,0.9907,0.00926,
50346,1.0,,
50347,0.9937,0.00641,
50348,1.0,,
50349,0.999,0.000992,
50350,0.972,0.02777,
50351,0.9956,0.00463,
50352,0.9897,0.0101,
50353,1.0,,
50354,0.967,0.03333,
50355,0.9937,0.006172,
50356,1.0,,
50357,1.0,,
50358,0.963,0.03705,
50359,0.994,0.005848,
50360,0.963,0.03705,
50361,0.9907,0.00926,
50362,1.0,,
50363,0.989,0.01111,
50364,0.976,0.0238,
50365,0.9897,0.010414,
50366,0.9937,0.006172,
50367,0.988,0.012344,
50368,0.9775,0.02222,
50369,0.9443,0.05554,
50370,0.988,0.01208,
