T,C,D,L
150000,0.976,0.0119,0.0119
150001,0.9443,0.03333,0.02222
150002,0.9536,0.02315,0.02315
150003,0.963,0.01852,0.01852
150004,0.967,0.01666,0.01666
150005,0.9556,0.03333,0.01111
150006,0.988,0.006775,0.00542
150007,0.9985,0.001634,
150008,0.9756,0.013885,0.010414
150009,0.8667,0.06665,0.06665
150010,0.8335,0.0926,0.0741
150011,0.9736,0.01462,0.011696
150012,0.9224,0.0381,0.03967
150013,0.953,0.02888,0.01778
150014,0.8887,0.05554,0.05554
150015,0.972,0.02777,
150016,0.926,0.03705,0.03705
150017,0.8613,0.1055,0.03333
150018,0.8022,0.10223,0.0956
150019,0.7,0.3,
150020,0.8115,0.1732,0.01515
150021,0.787,0.1539,0.05872
150022,0.8896,0.09955,0.01068
150023,0.843,0.10474,0.05237
150024,0.5,0.5,
150025,0.7637,0.1381,0.0984
150026,0.926,0.0376,0.03674
150027,0.907,0.05554,0.03705
150028,0.9507,0.03015,0.01904
150029,0.9346,0.0472,0.01805
150030,0.9604,0.02116,0.01852
150031,0.9653,0.01736,0.01736
150032,0.8335,0.0926,0.0741
150033,0.987,0.006668,0.006668
150034,0.97,0.01482,0.01482
150035,0.9927,0.00483,0.002415
150036,0.9307,0.03473,0.03473
150037,0.75,0.1389,0.1111
150038,0.7026,0.1973,0.1
150039,0.9565,0.03534,0.00808
150040,0.9736,0.01307,0.01307
150041,0.722,0.2778,
150042,0.463,0.363,0.1741
150043,0.912,0.067,0.02074
150044,0.839,0.11664,0.04443
150045,0.964,0.01616,0.0202
150046,0.933,0.05554,0.01111
150047,0.9736,0.01399,0.012344
150048,0.903,0.05554,0.04166
150049,0.991,0.004272,0.004272
150050,0.9443,0.02777,0.02777
150051,0.9375,0.03473,0.02777
150052,0.852,0.0741,0.0741
150053,0.9614,0.02136,0.01709
150054,0.9775,0.01111,0.01111
150055,0.926,0.03705,0.03705
150056,0.9863,0.006775,0.006775
150057,0.863,0.0741,0.063
150058,0.9307,0.03473,0.03473
150059,0.9805,0.01111,0.00833
150060,0.994,0.003832,0.001916
150061,0.6387,0.1888,0.1722
150062,0.07776,0.9224,
150063,0.8335,,0.1666
150064,0.9834,0.00823,0.00823
150065,0.8887,0.0741,0.03705
150066,0.9165,0.05554,0.02777
150067,0.952,0.03967,0.007935
150068,0.9,0.05554,0.04443
150069,0.969,0.015434,0.015434
150070,0.8887,0.05554,0.05554
150071,0.9443,0.02777,0.02777
150072,0.9653,0.01736,0.01736
150073,0.9814,0.00926,0.00926
150074,0.9497,0.02525,0.02525
150075,0.852,0.0741,0.0741
150076,0.926,0.03705,0.03705
150077,0.852,0.0741,0.0741
150078,0.8335,0.1666,
150079,0.6694,0.2056,0.125
150080,0.637,0.1926,0.1704
150081,0.8335,0.10834,0.05832
150082,0.951,0.02296,0.02592
150083,0.8887,0.0741,0.03705
150084,0.965,0.0202,0.01515
150085,0.972,0.02222,0.005554
150086,0.906,0.05832,0.0361
150087,0.905,0.05872,0.0365
150088,0.8887,0.05777,0.05334
150089,0.979,0.013885,0.006943
150090,0.8613,0.06946,0.06946
150091,0.722,0.2666,0.01111
150092,0.593,0.2852,0.1222
150093,0.924,0.04126,0.0349
150094,0.9946,0.002777,0.002777
150095,0.932,0.05084,0.01683
150096,0.824,0.1111,0.0648
150097,0.8716,0.0839,0.04443
150098,0.9277,0.03888,0.03333
150099,0.9536,0.02315,0.02315
150100,0.983,0.01068,0.00641
150101,0.939,0.04166,0.01944
150102,0.96,0.02098,0.01913
150103,0.8335,0.0833,0.0833
150104,0.789,0.1422,0.0689
150105,0.8887,0.05185,0.05927
150106,0.9365,0.03015,0.03333
150107,0.9497,0.02525,0.02525
150108,0.993,0.003471,0.003471
150109,0.967,0.0303,0.00303
150110,0.99,0.00476,0.00476
150111,0.9585,0.02315,0.01852
