T,C,D,L
0,0.2778,0.3584,0.3638
1,0.288,0.299,0.4128
2,0.334,0.3613,0.3047
3,0.3013,0.343,0.3555
4,0.3872,0.3032,0.3096
5,0.3296,0.3372,0.3333
6,0.2778,0.4111,0.311
7,0.3481,0.3315,0.3203
8,0.325,0.3362,0.3389
9,0.325,0.3389,0.3362
10,0.3157,0.3467,0.338
11,0.3132,0.3145,0.3723
12,0.3,0.3057,0.3945
13,0.3523,0.2988,0.3489
14,0.2568,0.3025,0.4407
15,0.2908,0.31,0.3992
16,0.2676,0.3362,0.3962
17,0.26,0.3066,0.4333
18,0.2354,0.2888,0.4758
19,0.1945,0.3057,0.5
20,0.2532,0.274,0.473
21,0.2527,0.3,0.4473
22,0.2534,0.2957,0.4512
23,0.2192,0.3467,0.434
24,0.2062,0.3572,0.4365
25,0.1719,0.3452,0.483
26,0.15,0.3489,0.501
27,0.1642,0.353,0.4827
28,0.0722,0.361,0.567
29,0.1202,0.3738,0.506
30,0.0867,0.4077,0.5054
31,0.05872,0.3667,0.5747
32,0.029,0.3833,0.588
33,0.01704,0.3696,0.6133
34,0.02777,0.3682,0.604
35,0.0322,0.321,0.647
36,0.01794,0.327,0.6553
37,0.05,0.3584,0.592
38,0.03333,0.2568,0.71
39,0.04343,0.2585,0.6978
40,0.05,0.2861,0.664
41,0.0191,0.1934,0.7876
42,0.05185,0.1726,0.7754
43,0.04816,0.2019,0.75
44,0.07776,0.2333,0.689
45,0.05554,0.1978,0.7466
46,0.06665,0.2222,0.711
47,0.03055,0.1593,0.81
48,0.02023,0.10474,0.875
49,0.02222,0.1222,0.8555
50,0.03333,0.1,0.8667
51,0.013885,0.0931,0.893
52,0.01778,0.0867,0.8955
53,,0.007557,0.9927
54,,0.07776,0.9224
55,0.00741,0.02222,0.97
56,,0.01358,0.9863
57,0.00889,0.02,0.971
58,,,1.0
59,,0.001389,0.9985
60,,,1.0
61,,0.01111,0.989
62,,0.005554,0.9946
63,,,1.0
64,0.003704,0.01852,0.9775
65,,0.012695,0.9873
66,0.01482,0.01482,0.97
67,0.0007935,0.01587,0.9834
68,,0.01111,0.989
69,0.001852,0.01666,0.9814
70,0.003704,0.01743,0.979
71,,0.003002,0.997
72,,0.00247,0.9976
73,0.005554,0.05276,0.942
74,,0.0163,0.984
75,0.001852,0.01482,0.9834
76,,0.01111,0.989
77,0.01111,0.03888,0.95
78,0.02222,0.0944,0.8833
79,0.001048,0.01216,0.987
80,0.005554,0.01111,0.9834
81,0.01111,0.03333,0.9556
82,0.006668,0.03111,0.9624
83,,0.1444,0.8555
84,0.1111,0.1444,0.7446
85,0.00392,0.05884,0.937
86,0.03888,0.0722,0.8887
87,,0.05554,0.9443
88,,0.02222,0.9775
89,,0.0013075,0.9985
90,,0.001587,0.9985
91,,,1.0
92,,0.01358,0.9863
93,,0.015274,0.985
94,0.008644,0.008026,0.9834
95,,0.003174,0.9966
96,0.001587,0.00873,0.9897
97,,,1.0
98,0.01111,0.01111,0.9775
99,,,1.0
100,,0.002777,0.997
101,,0.003174,0.9966
102,,,1.0
103,0.003704,0.01852,0.9775
104,,,1.0
105,,0.01587,0.984
106,,0.03412,0.966
107,0.001059,0.012695,0.9863
108,,0.02222,0.9775
109,,0.005554,0.9946
110,,0.03333,0.967
111,,0.00926,0.9907
112,0.001852,,0.998
113,0.005554,0.01944,0.975
114,,,1.0
115,,0.03111,0.9688
116,,,1.0
117,,,1.0
118,,0.00952,0.99
119,,0.005554,0.9946
120,,0.003174,0.9966
121,,,1.0
122,,,1.0
123,,0.004444,0.9956
124,,0.003134,0.997
125,0.01538,0.02051,0.964
126,,,1.0
127,,,1.0
128,,0.0611,0.939
129,,0.004444,0.9956
130,0.00741,0.04074,0.9517
131,0.000171,0.001025,0.999
132,,0.003174,0.9966
133,,0.013336,0.987
134,,0.01852,0.9814
135,,,1.0
136,0.0006175,0.002674,0.9966
137,,0.01444,0.9854
138,,0.001235,0.9985
139,,0.01286,0.9873
140,0.00763,0.0001658,0.992
141,,0.02592,0.974
142,0.005554,0.05,0.9443
143,,,1.0
144,,0.013336,0.987
145,,0.004444,0.9956
146,,0.01746,0.9824
147,,0.003618,0.9966
148,,0.00741,0.9927
149,,0.0013075,0.9985
150,0.01666,0.04443,0.939
151,,0.02222,0.9775
152,,,1.0
153,,,1.0
154,,0.01666,0.9834
155,,0.001709,0.998
156,,0.003174,0.9966
157,,0.01666,0.9834
158,,0.004322,0.9956
159,,0.02222,0.9775
160,,0.005554,0.9946
161,,0.001852,0.998
162,,,1.0
163,,0.01852,0.9814
164,0.006668,0.00889,0.9844
165,,,1.0
166,0.01666,0.01666,0.967
167,,0.06665,0.933
168,,0.013336,0.987
169,,0.04443,0.9556
170,0.003492,0.002857,0.9937
171,,0.1,0.9
172,,0.0006175,0.9995
173,,0.0004444,0.9995
174,,,1.0
175,,,1.0
176,0.005554,0.01666,0.9775
177,,0.001389,0.9985
178,,,1.0
179,0.002222,0.006668,0.991
180,,0.00741,0.9927
181,0.02592,0.02592,0.948
182,0.005554,0.03888,0.9556
183,,0.01111,0.989
184,0.01111,0.01111,0.9775
185,0.003174,0.01111,0.986
186,0.0005846,,0.9995
187,0.0005555,,0.9995
188,,0.0003176,0.9995
189,,0.01307,0.987
190,,0.002777,0.997
191,,0.006668,0.993
192,0.001852,0.02777,0.97
193,0.002222,,0.9976
194,,0.002777,0.997
195,0.005554,0.01666,0.9775
196,,0.01111,0.989
197,,0.01111,0.989
198,0.003704,0.00741,0.989
199,,,1.0
200,0.001235,0.003704,0.995
201,,0.02136,0.9785
202,0.00576,0.0006175,0.9937
203,0.02222,0.01111,0.967
204,0.001235,0.02222,0.9766
205,,0.0006537,0.9995
206,,0.002222,0.9976
207,0.01482,0.01482,0.97
208,,,1.0
209,0.00889,0.01556,0.9756
210,0.001389,0.0236,0.975
211,0.005554,0.02777,0.967
212,,0.01111,0.989
213,,0.0118,0.9883
214,0.006348,0.01111,0.9824
215,0.003704,0.02037,0.976
216,,0.01111,0.989
217,,0.000966,0.999
218,,0.02222,0.9775
219,,,1.0
220,,0.001389,0.9985
221,0.001852,0.000926,0.997
222,,,1.0
223,,,1.0
224,,,1.0
225,,0.01152,0.9883
226,,0.01111,0.989
227,0.005554,0.002777,0.9917
228,,,1.0
229,,0.001111,0.999
230,,,1.0
231,,,1.0
232,,,1.0
233,,,1.0
234,,,1.0
235,,,1.0
236,,0.01111,0.989
237,,,1.0
238,,,1.0
239,,,1.0
240,,,1.0
241,,,1.0
242,,,1.0
243,,,1.0
244,,,1.0
245,,,1.0
246,,,1.0
247,,,1.0
248,,,1.0
249,,,1.0
250,,,1.0
251,,,1.0
252,,,1.0
253,,0.0006537,0.9995
254,,,1.0
255,,0.001389,0.9985
256,,,1.0
257,,,1.0
258,,,1.0
259,,,1.0
260,,,1.0
261,,,1.0
262,,,1.0
263,,,1.0
264,,,1.0
265,,,1.0
266,,,1.0
267,,,1.0
268,,0.02222,0.9775
269,,,1.0
270,,,1.0
271,,0.01111,0.989
272,,,1.0
273,,,1.0
274,0.01111,,0.989
275,0.010254,,0.9897
276,,,1.0
277,,,1.0
278,,,1.0
279,,,1.0
280,,,1.0
281,,,1.0
282,,,1.0
283,,,1.0
284,,,1.0
285,,,1.0
286,,,1.0
287,,,1.0
288,,,1.0
289,,,1.0
290,,,1.0
291,,,1.0
292,,,1.0
293,,,1.0
294,,,1.0
295,,,1.0
296,,,1.0
297,,,1.0
298,,,1.0
299,,,1.0
300,,,1.0
301,,,1.0
302,,,1.0
303,,,1.0
304,,,1.0
305,,,1.0
306,,,1.0
307,,,1.0
308,,,1.0
309,,,1.0
310,,,1.0
311,,,1.0
312,,,1.0
313,,,1.0
314,,,1.0
315,,,1.0
316,,,1.0
317,,,1.0
318,,,1.0
319,,,1.0
320,,,1.0
321,,,1.0
322,,,1.0
323,,,1.0
324,,,1.0
325,,,1.0
326,,,1.0
327,,,1.0
328,,,1.0
329,,,1.0
330,,,1.0
331,,,1.0
332,,,1.0
333,,,1.0
334,,,1.0
335,0.02222,,0.9775
336,0.002777,0.001389,0.9956
337,,,1.0
338,0.0007663,0.0003831,0.999
339,,,1.0
340,,,1.0
341,,,1.0
342,,,1.0
343,,,1.0
344,,,1.0
345,,,1.0
346,,,1.0
347,,,1.0
348,,,1.0
349,,,1.0
350,,,1.0
351,,,1.0
352,,,1.0
353,,,1.0
354,0.002777,,0.997
355,,0.002777,0.997
356,,,1.0
357,,,1.0
358,,,1.0
359,,,1.0
360,,,1.0
361,,,1.0
362,,,1.0
363,,,1.0
364,,,1.0
365,,,1.0
366,,,1.0
367,,,1.0
368,,,1.0
369,,,1.0
370,,,1.0
371,,0.005642,0.994
372,,0.001235,0.9985
373,,,1.0
374,,0.007935,0.992
375,,,1.0
376,,,1.0
377,,,1.0
378,,,1.0
379,,,1.0
380,,,1.0
381,,,1.0
382,,,1.0
383,,,1.0
384,,,1.0
385,,,1.0
386,,,1.0
387,,,1.0
388,,,1.0
389,,,1.0
390,,,1.0
391,,0.01111,0.989
392,,,1.0
393,,,1.0
394,,,1.0
395,,,1.0
396,,,1.0
397,0.003334,0.003334,0.993
398,,,1.0
399,,,1.0
400,,,1.0
401,,,1.0
402,,,1.0
403,,,1.0
404,,,1.0
405,,,1.0
406,,,1.0
407,,,1.0
408,,0.01111,0.989
409,,,1.0
410,,,1.0
411,,,1.0
412,,,1.0
413,,,1.0
414,,,1.0
415,,,1.0
416,,,1.0
417,,,1.0
418,,,1.0
419,,,1.0
420,,,1.0
421,,,1.0
422,,,1.0
423,,,1.0
424,,,1.0
425,,,1.0
426,,,1.0
427,,,1.0
428,,,1.0
429,,,1.0
430,,,1.0
431,,,1.0
432,,,1.0
433,,,1.0
434,,,1.0
435,,,1.0
436,,,1.0
437,,,1.0
438,,,1.0
439,,,1.0
440,,,1.0
441,,,1.0
442,,,1.0
443,,,1.0
444,,,1.0
445,,,1.0
446,,,1.0
447,,,1.0
448,,,1.0
449,,,1.0
450,,,1.0
451,,,1.0
452,,,1.0
453,,,1.0
454,,,1.0
455,,,1.0
456,,,1.0
457,,,1.0
458,,,1.0
459,,,1.0
460,,,1.0
461,,,1.0
462,,,1.0
463,,,1.0
464,0.003704,,0.996
465,0.003704,,0.996
466,,,1.0
467,,,1.0
468,,,1.0
469,,,1.0
470,,,1.0
471,,,1.0
472,,,1.0
473,,,1.0
474,,,1.0
475,,,1.0
476,,,1.0
477,,,1.0
478,,,1.0
479,,,1.0
480,0.003704,,0.996
481,,,1.0
482,,,1.0
483,,,1.0
484,,,1.0
485,,,1.0
486,,,1.0
487,,,1.0
488,,,1.0
489,,,1.0
490,,,1.0
491,,,1.0
492,,,1.0
493,,,1.0
494,,,1.0
495,,,1.0
496,,,1.0
497,,,1.0
498,,,1.0
499,,,1.0
500,,,1.0
501,,,1.0
502,,0.005554,0.9946
503,,,1.0
504,,,1.0
505,,,1.0
506,,,1.0
507,,,1.0
508,,,1.0
509,,,1.0
510,,,1.0
511,,,1.0
