T,C,D,L
50000,,,1.0
50001,,,1.0
50002,,,1.0
50003,,0.002222,0.9976
50004,,,1.0
50005,,,1.0
50006,,,1.0
50007,,,1.0
50008,,,1.0
50009,,,1.0
50010,,,1.0
50011,,,1.0
50012,,,1.0
50013,,,1.0
50014,,,1.0
50015,0.01482,,0.9854
50016,0.02222,,0.9775
50017,0.03888,,0.961
50018,0.05554,,0.9443
50019,0.0825,,0.9175
50020,0.08887,,0.911
50021,0.08887,0.01111,0.9
50022,0.12177,,0.8784
50023,0.1389,0.01111,0.85
50024,0.1766,0.005554,0.818
50025,0.1993,,0.801
50026,0.2,0.005554,0.7944
50027,0.2056,0.01111,0.783
50028,0.2097,0.02777,0.7627
50029,0.1444,0.04443,0.811
50030,0.1434,0.01111,0.845
50031,0.1876,0.03333,0.7793
50032,0.1763,0.02667,0.797
50033,0.2177,0.02614,0.7563
50034,0.1973,0.01111,0.7915
50035,0.211,,0.789
50036,0.1526,0.01111,0.8364
50037,0.1888,0.01111,0.8
50038,0.1222,0.01666,0.8613
50039,0.1766,0.01111,0.812
50040,0.2167,0.01111,0.7725
50041,0.2556,0.005554,0.739
50042,0.2195,0.005554,0.775
50043,0.2888,0.005554,0.7056
50044,0.3308,0.005398,0.6636
50045,0.4148,0.005554,0.5796
50046,0.4985,0.005924,0.4956
50047,0.6,0.01111,0.389
50048,0.656,0.01111,0.3333
50049,0.7446,0.005554,0.25
50050,0.8555,0.01111,0.1333
50051,0.9443,0.03333,0.02222
50052,0.9443,0.05554,
50053,0.9224,0.07776,
50054,0.8555,0.1444,
50055,0.8335,0.1666,
50056,0.7334,0.2444,0.02222
50057,0.7065,0.2874,0.006348
50058,0.6333,0.3,0.06665
50059,0.618,0.3105,0.0713
50060,0.5166,0.328,0.1555
50061,0.4722,0.2612,0.2666
50062,0.511,0.3,0.1888
50063,0.4722,0.3167,0.211
50064,0.4927,0.2925,0.2148
50065,0.4514,0.3,0.2485
50066,0.3555,0.2556,0.389
50067,0.53,0.331,0.1394
50068,0.4111,0.3425,0.2463
50069,0.3,0.3289,0.371
50070,0.292,0.376,0.332
50071,0.1746,0.3953,0.4302
50072,0.2216,0.4248,0.3535
50073,0.1389,0.3777,0.4834
50074,0.0963,0.4128,0.4907
50075,0.0361,0.4417,0.5225
50076,0.01428,0.4683,0.5176
50077,,,1.0
50078,,0.4768,0.523
50079,,0.3945,0.6055
50080,,0.3333,0.6665
50081,,0.3389,0.661
50082,,0.3223,0.6777
50083,,0.25,0.75
50084,,0.126,0.874
50085,,0.1333,0.8667
50086,,0.04443,0.9556
50087,,0.0238,0.976
50088,,,1.0
50089,,,1.0
50090,,,1.0
50091,,,1.0
50092,,,1.0
50093,,,1.0
50094,,,1.0
50095,,,1.0
50096,,,1.0
50097,,,1.0
50098,,,1.0
50099,,,1.0
50100,,,1.0
50101,,,1.0
50102,,,1.0
50103,,,1.0
50104,,,1.0
50105,,,1.0
50106,,,1.0
50107,,,1.0
50108,,,1.0
50109,,,1.0
50110,,,1.0
50111,,,1.0
50112,,,1.0
50113,,,1.0
50114,,,1.0
50115,,,1.0
50116,,,1.0
50117,,,1.0
50118,,,1.0
50119,,,1.0
50120,,,1.0
50121,,,1.0
50122,,,1.0
50123,,,1.0
50124,,,1.0
50125,,,1.0
50126,,,1.0
50127,,,1.0
50128,,,1.0
50129,,,1.0
50130,,,1.0
50131,,,1.0
50132,,,1.0
50133,,,1.0
50134,,,1.0
50135,,,1.0
50136,,,1.0
50137,,,1.0
50138,,,1.0
50139,,,1.0
50140,,,1.0
50141,,,1.0
50142,,,1.0
50143,,,1.0
50144,,,1.0
50145,,0.001235,0.9985
50146,,,1.0
50147,,,1.0
50148,,,1.0
50149,,,1.0
50150,,,1.0
50151,,,1.0
50152,,,1.0
50153,,,1.0
50154,,,1.0
50155,,,1.0
50156,,,1.0
50157,,,1.0
50158,,,1.0
50159,,,1.0
50160,,,1.0
50161,,,1.0
50162,,,1.0
50163,,,1.0
50164,,,1.0
50165,,,1.0
50166,,,1.0
50167,,,1.0
50168,,,1.0
50169,,,1.0
50170,,,1.0
50171,,,1.0
50172,,,1.0
50173,,,1.0
50174,,,1.0
50175,,,1.0
50176,,,1.0
50177,,,1.0
50178,,,1.0
50179,,,1.0
50180,,,1.0
50181,,,1.0
50182,,,1.0
50183,,,1.0
50184,,,1.0
50185,,,1.0
50186,,,1.0
50187,,,1.0
50188,,,1.0
50189,,,1.0
50190,,,1.0
50191,,,1.0
50192,,,1.0
50193,,,1.0
50194,,,1.0
50195,,,1.0
50196,,,1.0
50197,,,1.0
50198,,,1.0
50199,,,1.0
50200,,,1.0
50201,,,1.0
50202,,,1.0
50203,,,1.0
50204,,,1.0
50205,,,1.0
50206,,,1.0
50207,,,1.0
50208,,,1.0
50209,,,1.0
50210,,0.01111,0.989
50211,,,1.0
50212,,,1.0
50213,,,1.0
50214,,,1.0
50215,,,1.0
50216,,,1.0
50217,,,1.0
50218,,,1.0
50219,,,1.0
50220,,,1.0
50221,,,1.0
50222,,,1.0
50223,,,1.0
50224,,,1.0
50225,,,1.0
50226,,,1.0
50227,,,1.0
50228,,,1.0
50229,,,1.0
50230,,,1.0
50231,,,1.0
50232,,,1.0
50233,0.02222,,0.9775
50234,0.06665,,0.933
50235,0.1311,,0.8687
50236,0.1722,,0.8276
50237,0.1968,,0.803
50238,0.2056,,0.7944
50239,0.2439,,0.756
50240,0.2944,,0.7056
50241,0.3306,,0.6694
50242,0.384,,0.616
50243,0.4548,,0.5454
50244,0.533,,0.4666
50245,0.622,,0.3777
50246,0.7334,,0.2666
50247,0.8433,,0.1566
50248,0.933,,0.06665
50249,1.0,,
50250,1.0,,
50251,1.0,,
50252,1.0,,
50253,1.0,,
50254,1.0,,
50255,1.0,,
50256,1.0,,
50257,1.0,,
50258,1.0,,
50259,1.0,,
50260,1.0,,
50261,1.0,,
50262,1.0,,
50263,1.0,,
50264,1.0,,
50265,0.989,0.01111,
50266,0.967,0.03333,
50267,0.9556,0.04443,
50268,0.9224,0.07776,
50269,0.9443,0.05554,
50270,0.9224,0.07776,
50271,0.878,0.1222,
50272,0.778,0.2,0.02222
50273,0.774,0.2,0.02592
50274,0.722,0.2222,0.05554
50275,0.729,0.2245,0.04666
50276,0.7593,0.181,0.05975
50277,0.722,0.211,0.06665
50278,0.7295,0.2444,0.02592
50279,0.726,0.2361,0.03796
50280,0.656,0.2482,0.0963
50281,0.6816,0.2407,0.07776
50282,0.655,0.2637,0.08167
50283,0.581,0.3188,0.1
50284,0.5166,0.311,0.1722
50285,0.3408,0.3,0.3594
50286,0.4834,0.314,0.2028
50287,0.4,0.3445,0.2556
50288,0.426,0.326,0.2482
50289,0.508,0.3398,0.1523
50290,0.4167,0.328,0.2556
50291,0.3528,0.3416,0.3057
50292,0.3352,0.3477,0.3171
50293,0.269,0.3704,0.3606
50294,0.2329,0.3909,0.3762
50295,0.2717,0.406,0.3223
50296,0.1412,0.4348,0.4238
50297,0.1053,0.438,0.4568
50298,0.05554,0.4685,0.4758
50299,0.012695,0.422,0.565
50300,0.02222,0.4666,0.511
50301,0.01482,0.3445,0.6406
50302,,0.5,0.5
50303,,0.4778,0.5225
50304,,0.4666,0.533
50305,,0.5757,0.4246
50306,,0.5,0.5
50307,,0.5,0.5
50308,,0.5,0.5
50309,,0.5,0.5
50310,,0.4,0.6
50311,,0.531,0.4692
50312,,0.445,0.5547
50313,,0.409,0.591
50314,,0.3787,0.621
50315,,0.3306,0.6694
50316,,0.263,0.737
50317,,0.2773,0.7227
50318,,0.169,0.831
50319,,0.1489,0.851
50320,,0.0841,0.916
50321,,0.01111,0.989
50322,,,1.0
50323,,,1.0
50324,,,1.0
50325,,,1.0
50326,,,1.0
50327,,,1.0
50328,,,1.0
50329,,,1.0
50330,,,1.0
50331,,,1.0
50332,,,1.0
50333,,,1.0
50334,,,1.0
50335,,,1.0
50336,,,1.0
50337,,,1.0
50338,,,1.0
50339,,,1.0
50340,,,1.0
50341,,,1.0
50342,,,1.0
50343,,,1.0
50344,,,1.0
50345,,,1.0
50346,,,1.0
50347,,,1.0
50348,,,1.0
50349,,,1.0
50350,,0.005554,0.9946
50351,,,1.0
50352,,,1.0
50353,,,1.0
50354,,,1.0
50355,,,1.0
50356,,,1.0
50357,,,1.0
50358,,,1.0
50359,,,1.0
50360,,,1.0
50361,,,1.0
50362,,,1.0
50363,,,1.0
50364,,,1.0
50365,,,1.0
50366,,,1.0
50367,,,1.0
50368,,,1.0
50369,,,1.0
50370,,,1.0
50371,,,1.0
50372,,,1.0
50373,,,1.0
50374,,,1.0
50375,,,1.0
50376,,,1.0
50377,,,1.0
50378,,,1.0
50379,,,1.0
50380,,,1.0
50381,,,1.0
50382,,,1.0
50383,,,1.0
50384,,,1.0
50385,,,1.0
50386,,,1.0
50387,,,1.0
50388,,,1.0
50389,,,1.0
50390,,,1.0
50391,,,1.0
50392,,,1.0
50393,,,1.0
50394,,,1.0
50395,,,1.0
50396,,,1.0
50397,,,1.0
50398,,,1.0
50399,,,1.0
50400,,,1.0
50401,,,1.0
50402,,,1.0
50403,0.02222,,0.9775
50404,0.0652,,0.935
50405,0.07776,,0.9224
50406,0.1311,0.001111,0.8677
50407,0.165,0.006348,0.8286
50408,0.1769,,0.823
50409,0.1777,,0.8223
50410,0.2222,,0.778
50411,0.2742,,0.726
50412,0.3108,0.0004272,0.689
50413,0.311,0.01111,0.6777
50414,0.316,0.005714,0.678
50415,0.3389,,0.661
50416,0.2888,,0.711
50417,0.3223,,0.6777
50418,0.3333,,0.6665
50419,0.4094,,0.5903
50420,0.422,0.005554,0.5723
50421,0.4666,,0.533
50422,0.4888,,0.511
50423,0.567,,0.4333
50424,0.6777,,0.3223
50425,0.7754,,0.2247
50426,0.8887,,0.1111
50427,1.0,,
50428,1.0,,
50429,1.0,,
50430,1.0,,
50431,1.0,,
50432,1.0,,
50433,1.0,,
50434,1.0,,
50435,1.0,,
50436,0.989,0.01111,
50437,0.9775,0.02222,
50438,0.9224,0.07776,
50439,0.825,0.1555,0.01944
50440,0.8223,0.11127,0.0664
50441,0.811,0.1666,0.02222
50442,0.7295,0.237,0.03333
50443,0.711,0.2333,0.05554
50444,0.6567,0.2568,0.0861
50445,0.613,0.2056,0.1815
50446,0.6294,0.2944,0.0759
50447,0.5205,0.265,0.2148
50448,0.4978,0.2856,0.2167
50449,0.463,0.3037,0.2333
50450,0.4194,0.3528,0.2278
50451,0.2656,0.3425,0.3918
50452,0.2322,0.4067,0.361
50453,0.2222,0.3806,0.3972
50454,0.1952,0.3872,0.4175
50455,0.1444,0.1888,0.6665
50456,0.1777,0.2444,0.5776
50457,0.1606,0.4272,0.412
50458,0.09705,0.448,0.455
50459,0.02353,0.4788,0.4978
50460,0.006348,0.4602,0.533
50461,,0.3618,0.638
50462,,0.3723,0.628
50463,,0.4556,0.5444
50464,,0.327,0.6733
50465,,0.2866,0.7134
50466,,,1.0
50467,,0.2708,0.729
50468,,0.2056,0.7944
50469,,0.1389,0.8613
50470,,0.05554,0.9443
50471,,0.02222,0.9775
50472,,,1.0
50473,,,1.0
50474,,,1.0
50475,,,1.0
50476,,,1.0
50477,,,1.0
50478,,,1.0
50479,,,1.0
50480,,,1.0
50481,,,1.0
50482,,,1.0
50483,,,1.0
50484,,,1.0
50485,,,1.0
50486,,,1.0
50487,,,1.0
50488,,,1.0
50489,0.0007935,,0.999
50490,,,1.0
50491,,,1.0
50492,,,1.0
50493,,,1.0
50494,,,1.0
50495,,,1.0
50496,,,1.0
50497,,,1.0
50498,,,1.0
50499,,,1.0
50500,,,1.0
50501,,,1.0
50502,,,1.0
50503,,,1.0
50504,,,1.0
50505,,,1.0
50506,,,1.0
50507,,,1.0
50508,,,1.0
50509,,,1.0
50510,,,1.0
50511,,,1.0
50512,,,1.0
50513,,,1.0
50514,,,1.0
50515,,,1.0
50516,,,1.0
50517,,,1.0
50518,,,1.0
50519,,,1.0
50520,,,1.0
50521,,,1.0
50522,,,1.0
50523,,,1.0
50524,,,1.0
50525,,,1.0
50526,,,1.0
50527,,,1.0
50528,,,1.0
50529,,,1.0
50530,,,1.0
50531,,,1.0
50532,,,1.0
50533,,,1.0
50534,,,1.0
50535,,,1.0
50536,,,1.0
50537,,,1.0
50538,,,1.0
50539,,,1.0
50540,,,1.0
50541,,,1.0
50542,,0.01111,0.989
50543,,,1.0
50544,,,1.0
50545,,,1.0
50546,,,1.0
50547,,,1.0
50548,0.02222,,0.9775
50549,0.02222,,0.9775
50550,,,1.0
50551,,,1.0
50552,,,1.0
50553,,,1.0
50554,,,1.0
50555,,,1.0
50556,,,1.0
50557,,,1.0
50558,,,1.0
50559,,,1.0
50560,,,1.0
50561,,,1.0
50562,0.02222,,0.9775
50563,0.06537,0.005882,0.9287
50564,0.0858,0.0006175,0.9136
50565,0.1222,,0.878
50566,0.02222,,0.9775
50567,0.0603,0.006348,0.933
50568,0.0611,0.005554,0.933
50569,0.02222,0.02222,0.9556
50570,0.02222,,0.9775
50571,,,1.0
50572,0.02222,,0.9775
50573,0.05554,0.01111,0.933
50574,0.04443,,0.9556
50575,0.063,,0.937
50576,0.1428,,0.857
50577,0.2253,,0.7744
50578,0.2512,,0.749
50579,0.3267,0.002222,0.671
50580,0.389,,0.6113
50581,0.4407,,0.559
50582,0.5195,,0.4805
50583,0.594,,0.4055
50584,0.6333,,0.3667
50585,0.7,,0.3
50586,0.811,,0.1888
50587,0.9224,,0.07776
50588,1.0,,
50589,1.0,,
50590,1.0,,
50591,1.0,,
50592,1.0,,
50593,1.0,,
50594,1.0,,
50595,1.0,,
50596,1.0,,
50597,1.0,,
50598,1.0,,
50599,1.0,,
50600,1.0,,
50601,1.0,,
50602,1.0,,
50603,1.0,,
50604,1.0,,
50605,1.0,,
50606,1.0,,
50607,1.0,,
50608,1.0,,
50609,1.0,,
50610,1.0,,
50611,1.0,,
50612,1.0,,
50613,1.0,,
50614,1.0,,
50615,1.0,,
50616,1.0,,
50617,1.0,,
50618,1.0,,
50619,1.0,,
50620,1.0,,
50621,1.0,,
50622,1.0,,
50623,1.0,,
50624,1.0,,
50625,1.0,,
50626,1.0,,
50627,1.0,,
50628,1.0,,
50629,1.0,,
50630,1.0,,
50631,1.0,,
50632,1.0,,
50633,1.0,,
50634,1.0,,
50635,1.0,,
50636,1.0,,
50637,1.0,,
50638,1.0,,
50639,1.0,,
50640,1.0,,
50641,1.0,,
50642,1.0,,
50643,1.0,,
50644,1.0,,
50645,1.0,,
50646,1.0,,
50647,1.0,,
50648,1.0,,
50649,1.0,,
50650,1.0,,
50651,1.0,,
50652,1.0,,
50653,1.0,,
50654,1.0,,
50655,1.0,,
50656,1.0,,
50657,1.0,,
50658,1.0,,
50659,1.0,,
50660,1.0,,
50661,1.0,,
50662,1.0,,
50663,1.0,,
50664,1.0,,
50665,1.0,,
50666,1.0,,
50667,1.0,,
50668,1.0,,
50669,1.0,,
50670,1.0,,
50671,1.0,,
50672,1.0,,
50673,1.0,,
50674,1.0,,
50675,1.0,,
50676,1.0,,
50677,1.0,,
50678,1.0,,
50679,1.0,,
50680,1.0,,
50681,1.0,,
50682,1.0,,
50683,1.0,,
50684,1.0,,
50685,1.0,,
50686,1.0,,
50687,1.0,,
50688,1.0,,
50689,1.0,,
50690,1.0,,
50691,1.0,,
50692,1.0,,
50693,1.0,,
50694,1.0,,
50695,1.0,,
50696,0.989,0.01111,
50697,0.933,0.06665,
50698,0.933,0.06665,
50699,0.8887,0.1111,
50700,0.8223,0.1666,0.01111
50701,0.7446,0.2444,0.01111
50702,0.7075,0.2556,0.03705
