T,C,D,L
0,0.311,0.3296,0.3594
1,0.3298,0.2632,0.407
2,0.2722,0.3223,0.4055
3,0.3037,0.3037,0.3926
4,0.3064,0.2856,0.408
5,0.314,0.275,0.4111
6,0.2812,0.275,0.4438
7,0.3025,0.2976,0.4
8,0.3555,0.3,0.3445
9,0.3057,0.3223,0.3723
10,0.311,0.311,0.3777
11,0.3445,0.2556,0.4
12,0.3723,0.211,0.4167
13,0.368,0.2703,0.3618
14,0.3,0.2527,0.4473
15,0.4487,0.2068,0.3445
16,0.4639,0.1945,0.3416
17,0.3027,0.2472,0.45
18,0.3333,0.2778,0.389
19,0.326,0.2593,0.4148
20,0.3777,0.2556,0.3667
21,0.3567,0.22,0.4233
22,0.3223,0.2944,0.3833
23,0.2045,0.2622,0.533
24,0.2333,0.1823,0.5845
25,0.211,0.2278,0.561
26,0.15,0.2222,0.628
27,0.1903,0.2042,0.6055
28,0.1743,0.1736,0.652
29,0.1917,0.2042,0.604
30,0.1777,0.211,0.6113
31,0.15,0.1973,0.653
32,0.1234,0.1438,0.733
33,0.1389,0.1389,0.722
34,0.1333,0.1704,0.6963
35,0.1444,0.1833,0.6724
36,0.1777,0.1333,0.689
37,0.1476,0.173,0.679
38,0.1666,0.2167,0.6167
39,0.125,0.1514,0.7236
40,0.0956,0.1444,0.76
41,0.1111,0.1741,0.715
42,0.1603,0.1635,0.6763
43,0.1,0.1333,0.7666
44,0.1119,0.0992,0.789
45,0.193,0.1444,0.6626
46,0.2367,0.169,0.594
47,0.2185,0.1599,0.6216
48,0.1952,0.192,0.613
49,0.211,0.1858,0.603
50,0.2307,0.2312,0.538
51,0.2109,0.2156,0.5737
52,0.2458,0.2195,0.5347
53,0.2325,0.2103,0.557
54,0.2444,0.2778,0.4778
55,0.2333,0.2407,0.526
56,0.2278,0.2222,0.55
57,0.2377,0.229,0.533
58,0.2542,0.2361,0.51
59,0.2444,0.263,0.4927
60,0.2732,0.227,0.4998
61,0.211,0.2593,0.53
62,0.2319,0.2546,0.513
63,0.2389,0.265,0.4963
64,0.1945,0.268,0.5376
65,0.2035,0.2805,0.516
66,0.1888,0.2698,0.5415
67,0.1692,0.2742,0.5566
68,0.1508,0.3088,0.5405
69,0.1945,0.3093,0.4963
70,0.1,0.2778,0.622
71,0.1847,0.2888,0.5264
72,0.1285,0.2786,0.593
73,0.135,0.2954,0.5693
74,0.1482,0.2742,0.5776
75,0.1333,0.2888,0.5776
76,0.1759,0.2686,0.5557
77,0.1111,0.1777,0.711
78,0.1777,0.24,0.582
79,0.1711,0.2551,0.5737
80,0.2479,0.2238,0.5283
81,0.1973,0.2028,0.6
82,0.1313,0.2231,0.6455
83,0.211,0.1555,0.6333
84,0.06665,0.1626,0.771
85,0.1042,0.1931,0.7026
86,0.0741,0.126,0.8
87,0.1,0.1389,0.761
88,0.03705,0.0852,0.878
89,0.00476,0.03333,0.962
90,0.004166,0.002777,0.993
91,0.006668,0.002222,0.991
92,,,1.0
93,,,1.0
94,,,1.0
95,,,1.0
96,,0.003704,0.996
97,,0.002222,0.9976
98,0.01111,0.002222,0.987
99,0.00202,0.00101,0.997
100,,,1.0
101,,0.0005555,0.9995
102,,0.002222,0.9976
103,,,1.0
104,,,1.0
105,,0.001709,0.998
106,,0.01111,0.989
107,,0.00202,0.998
108,,,1.0
109,0.001587,,0.9985
110,,0.002222,0.9976
111,,,1.0
112,,,1.0
113,,,1.0
114,,,1.0
115,0.02222,,0.9775
116,,0.005554,0.9946
117,0.02222,0.005554,0.972
118,0.003704,0.003704,0.9927
119,,,1.0
120,0.02222,,0.9775
121,0.06665,,0.933
122,0.02222,,0.9775
123,,,1.0
124,,0.001389,0.9985
125,,,1.0
126,,,1.0
127,,0.0004272,0.9995
128,,,1.0
129,,0.005554,0.9946
130,0.001587,,0.9985
131,,,1.0
132,,,1.0
133,0.00889,0.002222,0.989
134,0.0235,0.000635,0.976
135,,,1.0
136,0.02222,,0.9775
137,0.02222,0.001852,0.976
138,,0.01111,0.989
139,,,1.0
140,0.00247,0.001235,0.996
141,,,1.0
142,,,1.0
143,,,1.0
144,0.006668,,0.993
145,0.02222,,0.9775
146,0.02222,,0.9775
147,0.02222,0.002777,0.975
148,0.02777,0.005554,0.967
