T,C,D,L
50000,0.147,0.01616,0.837
50001,0.2356,0.03111,0.7334
50002,0.3667,0.05,0.5835
50003,0.2817,0.04648,0.672
50004,0.2715,0.01746,0.711
50005,0.2659,,0.7344
50006,0.2827,0.02469,0.6924
50007,0.2145,0.01624,0.769
50008,0.2491,0.05713,0.694
50009,0.325,0.04443,0.6304
50010,0.3574,0.05,0.593
50011,0.2944,0.02222,0.683
50012,0.366,0.03015,0.604
50013,0.2278,0.04443,0.7275
50014,0.2876,0.01852,0.694
50015,0.279,0.00741,0.7134
50016,0.3457,0.02745,0.627
50017,0.3472,0.02592,0.627
50018,0.1644,0.00889,0.8267
50019,0.1876,0.01913,0.793
50020,0.2852,0.02454,0.6904
50021,0.2156,0.04224,0.742
50022,0.3362,0.0472,0.6167
50023,0.3604,0.05237,0.5874
50024,0.4443,0.04126,0.514
50025,0.4,0.01666,0.5835
50026,0.4277,0.0611,0.511
50027,0.3445,0.04443,0.6113
50028,0.369,0.02222,0.609
50029,0.3516,0.03976,0.609
50030,0.3984,0.05704,0.5444
50031,0.3237,0.04285,0.6333
50032,0.4236,0.04968,0.527
50033,0.452,0.04443,0.504
50034,0.4268,0.03888,0.534
50035,0.4631,0.0677,0.4692
50036,0.4167,0.05276,0.531
50037,0.4556,0.02844,0.516
50038,0.4204,0.0352,0.5444
50039,0.4045,0.04666,0.549
50040,0.359,0.02158,0.6196
50041,0.2583,0.03195,0.71
50042,0.252,0.02222,0.726
50043,0.3872,0.0365,0.576
50044,0.3667,0.02592,0.6074
50045,0.3987,0.0284,0.5728
50046,0.3677,0.02112,0.6113
50047,0.3926,0.0852,0.5225
50048,0.3796,0.06256,0.558
50049,0.355,0.03403,0.6113
50050,0.3462,0.02777,0.626
50051,0.4316,0.0492,0.519
50052,0.4338,0.0406,0.526
50053,0.476,0.03674,0.487
50054,0.4417,0.0315,0.527
50055,0.414,0.0319,0.554
50056,0.426,0.04816,0.526
50057,0.4556,0.03513,0.5093
50058,0.3555,0.03333,0.6113
50059,0.2888,0.04443,0.6665
50060,0.314,0.03333,0.653
50061,0.3967,0.04285,0.5605
50062,0.376,0.04816,0.5757
50063,0.3445,0.02222,0.6333
50064,0.3223,0.02222,0.656
50065,0.271,0.05298,0.6763
50066,0.2598,0.03888,0.701
50067,0.2081,0.013336,0.7783
50068,0.2666,0.01701,0.7163
50069,0.3103,0.0326,0.657
50070,0.242,0.05432,0.7036
50071,0.2458,0.02916,0.725
50072,0.3066,0.0293,0.664
50073,0.1963,0.02963,0.774
50074,0.2874,0.04126,0.6714
50075,0.3777,0.02963,0.593
50076,0.3328,0.0291,0.638
50077,0.3623,0.04443,0.5933
50078,0.3975,0.07776,0.525
50079,0.226,0.0852,0.689
50080,0.357,0.0639,0.579
50081,0.267,0.0338,0.699
50082,0.26,0.02747,0.7124
50083,0.1805,0.02222,0.7974
50084,0.1666,0.06665,0.7666
50085,0.1438,0.02266,0.8335
50086,0.2817,0.04443,0.674
50087,0.2607,0.04443,0.695
50088,0.264,0.02222,0.714
50089,0.2,0.02777,0.7725
50090,0.2289,0.03,0.741
50091,0.2092,0.01666,0.774
50092,0.2333,0.02222,0.7446
50093,0.2666,0.03087,0.7026
50094,0.2222,0.01428,0.7637
50095,0.141,0.01196,0.847
50096,0.1,0.03333,0.8667
50097,0.1818,0.01349,0.8047
