T,C,D,L
100000,0.8613,0.0722,0.06665
100001,0.9946,0.001389,0.003819
100002,0.9443,0.02222,0.03333
100003,0.96,0.02,0.02
100004,0.9897,0.00404,0.00606
100005,0.99,0.003174,0.006348
100006,0.9907,0.003704,0.005554
100007,1.0,,
100008,0.984,0.003174,0.012695
100009,1.0,,
100010,0.8887,0.02222,0.08887
100011,0.973,0.00952,0.01746
100012,0.9834,0.005554,0.01111
100013,0.9907,0.001852,0.00741
100014,0.9946,0.002563,0.002563
100015,0.9917,0.002962,0.005184
100016,0.963,0.02222,0.01482
100017,0.933,0.013885,0.05276
100018,0.992,0.00196,0.005882
100019,0.979,0.005554,0.015274
100020,0.979,0.00833,0.0125
100021,0.8887,0.03333,0.07776
100022,0.9775,0.0101,0.01212
100023,0.984,0.006172,0.00988
100024,0.9917,0.002777,0.005554
100025,0.998,0.001852,
100026,0.996,0.001235,0.00288
100027,0.997,0.001282,0.001709
100028,0.9873,0.004166,0.00833
100029,1.0,,
100030,0.9946,0.002222,0.003334
100031,1.0,,
100032,0.9956,0.0006943,0.003471
100033,1.0,,
100034,0.989,0.006668,0.004444
100035,0.997,0.002777,
100036,1.0,,
100037,1.0,,
100038,0.9976,0.00145,0.000966
100039,0.9775,0.02222,
100040,0.988,0.005554,0.006565
100041,1.0,,
100042,0.9927,0.002962,0.004444
100043,1.0,,
100044,0.9956,0.002777,0.001852
100045,0.996,0.001587,0.00238
100046,0.99,0.00476,0.00476
100047,0.976,0.003174,0.02063
100048,0.994,0.001587,0.004234
100049,1.0,,
100050,1.0,,
100051,0.989,0.004444,0.006668
100052,0.989,0.003334,0.00778
100053,0.8887,0.04443,0.06665
100054,0.993,0.002962,0.003704
100055,0.9863,0.005554,0.007935
100056,1.0,,
100057,0.999,,0.0007935
100058,0.99,0.003174,0.006348
100059,0.9775,0.004444,0.01778
100060,0.989,0.004444,0.006668
100061,0.9966,0.002083,0.001389
100062,0.998,0.001235,0.000823
100063,0.9443,0.01852,0.03705
100064,0.9976,0.000889,0.001333
100065,0.9917,0.003704,0.00463
100066,0.9907,0.003267,0.005882
100067,0.985,0.00303,0.01212
100068,0.984,0.00476,0.01111
100069,0.996,0.003704,
100070,0.9985,0.001481,
100071,0.9976,0.002222,
100072,0.9985,0.001587,
100073,0.998,,0.001852
100074,0.9863,0.002777,0.01111
100075,0.99,0.00238,0.00714
100076,1.0,,
100077,0.997,0.00145,0.00145
100078,0.995,0.002645,0.002117
100079,1.0,,
100080,0.988,0.00494,0.00741
100081,1.0,,
100082,0.989,0.01111,
100083,0.9565,0.01575,0.02777
100084,0.995,0.00202,0.00303
100085,0.9883,0.004215,0.00728
100086,1.0,,
100087,0.997,0.001235,0.001852
100088,0.9976,0.001235,0.00144
100089,0.9995,0.0005555,
100090,1.0,,
100091,1.0,,
100092,0.981,0.007935,0.01111
100093,0.996,0.00238,0.001587
100094,1.0,,
100095,0.967,0.00889,0.02444
100096,0.9443,0.02222,0.03333
100097,0.969,0.01111,0.01944
100098,0.967,0.03333,
100099,0.972,0.0125,0.015274
100100,0.992,0.00476,0.003174
100101,0.9976,0.0006537,0.00196
100102,1.0,,
100103,1.0,,
100104,0.997,0.001111,0.001667
100105,0.9956,0.001709,0.002563
100106,0.9775,0.00988,0.012344
100107,0.9443,0.01111,0.04443
100108,0.967,0.01111,0.02222
100109,1.0,,
100110,0.9863,0.002777,0.01111
100111,0.9956,0.001709,0.002563
100112,1.0,,
100113,0.963,0.01482,0.02222
100114,0.9,0.03888,0.0611
100115,1.0,,
100116,0.9966,0.001501,0.0018015
100117,1.0,,
100118,0.9595,0.02222,0.01852
100119,0.9946,0.001389,0.004166
100120,0.994,0.0006537,0.00523
100121,0.998,0.0003831,0.001533
100122,0.998,0.0008388,0.001258
100123,0.969,0.013885,0.01666
100124,0.9966,0.001169,0.002338
100125,0.957,0.02063,0.02222
100126,0.99,0.005184,0.004444
100127,1.0,,
100128,0.999,0.0008545,
100129,0.972,0.00833,0.01944
100130,1.0,,
100131,0.989,0.01111,
100132,0.9775,0.00741,0.01482
100133,1.0,,
100134,1.0,,
100135,0.9814,,0.01852
100136,0.999,0.0007405,
100137,0.9805,0.01111,0.00833
100138,0.9443,,0.05554
100139,0.99,0.003704,0.005924
100140,1.0,,
100141,0.9985,0.001481,
100142,1.0,,
100143,0.933,0.03888,0.02777
100144,0.9443,0.02592,0.02963
100145,0.933,0.05554,0.01111
100146,0.963,0.01111,0.02592
100147,0.9937,0.001481,0.004814
100148,1.0,,
100149,0.993,0.003418,0.003418
100150,1.0,,
100151,1.0,,
100152,0.844,0.06665,0.08887
100153,0.8525,0.075,0.0722
100154,0.878,0.03888,0.0833
100155,0.994,0.00303,0.00303
100156,1.0,,
100157,0.9937,0.001235,0.00494
100158,0.939,0.02777,0.03333
100159,0.9297,0.04074,0.02963
100160,0.983,0.00494,0.012344
100161,0.991,0.004166,0.00486
100162,0.972,0.005554,0.02222
100163,0.9917,0.003704,0.004444
100164,0.99,0.003267,0.006535
100165,0.9824,0.00476,0.012695
100166,0.964,0.013885,0.02222
100167,0.9995,0.0005555,
100168,0.9224,0.02222,0.05554
100169,0.8,0.05554,0.1444
100170,0.8223,0.05554,0.1222
100171,0.9395,0.01746,0.04285
100172,0.9985,0.001587,
100173,0.972,0.01666,0.01111
100174,1.0,,
100175,0.9907,0.001852,0.00741
100176,0.999,0.000966,
100177,0.9165,0.01666,0.06665
100178,0.9473,0.01666,0.0361
100179,0.9956,0.001984,0.00238
100180,0.9834,0.005554,0.01111
100181,0.972,0.005554,0.02222
100182,0.9966,0.001389,0.002083
100183,1.0,,
100184,0.983,0.005127,0.01196
100185,0.991,0.003704,0.00494
100186,0.9927,0.00247,0.00494
100187,0.9907,0.003704,0.005554
100188,0.997,0.00119,0.001785
100189,0.9897,0.00404,0.00606
100190,0.9995,0.000483,
100191,0.984,0.00505,0.01111
100192,0.9814,,0.01852
100193,0.9966,0.0007167,0.002867
100194,0.9844,0.00778,0.00778
100195,1.0,,
100196,1.0,,
100197,0.989,0.006668,0.004444
100198,0.99,0.002777,0.006943
100199,1.0,,
100200,1.0,,
100201,0.995,0.00202,0.00303
100202,1.0,,
100203,1.0,,
100204,1.0,,
100205,0.9976,0.00247,
100206,1.0,,
100207,0.997,0.002777,
100208,1.0,,
100209,1.0,,
100210,0.926,0.02963,0.04443
100211,0.878,0.03333,0.08887
100212,0.9985,,0.001389
100213,0.9985,,0.001587
100214,1.0,,
100215,0.9956,0.0008545,0.003418
100216,0.9985,0.001389,
100217,0.995,0.001587,0.003174
100218,0.9814,0.00741,0.01111
100219,0.999,0.000709,0.0004728
100220,1.0,,
100221,0.9917,0.004166,0.004166
100222,0.9224,0.03333,0.04443
100223,0.97,0.00926,0.02037
100224,0.9966,0.002222,0.001111
100225,0.992,0.00202,0.005554
100226,0.8887,0.03333,0.07776
100227,0.9717,0.01515,0.01313
100228,0.778,0.08887,0.1333
100229,0.9907,0.002962,0.006298
100230,0.9585,0.01111,0.03055
100231,0.9775,0.00741,0.01482
100232,0.989,0.004444,0.006668
100233,0.8555,0.03333,0.1111
100234,0.891,0.02444,0.0845
100235,0.9917,0.002645,0.00582
100236,0.933,0.03333,0.03333
100237,0.9487,0.02888,0.02222
100238,0.878,0.04443,0.07776
100239,0.993,0.002222,0.004444
100240,0.997,0.001755,0.001169
100241,1.0,,
100242,1.0,,
100243,1.0,,
100244,1.0,,
100245,0.9937,0.0005293,0.00582
100246,1.0,,
100247,0.989,0.002222,0.00889
100248,0.993,0.002083,0.00486
100249,1.0,,
100250,0.9956,0.001709,0.002563
100251,1.0,,
100252,0.9897,0.002777,0.007637
100253,0.9937,0.006348,
100254,1.0,,
100255,0.993,0.001041,0.0059
100256,0.996,0.001235,0.00247
100257,0.9814,0.00741,0.01111
100258,0.9956,0.001282,0.00299
100259,0.987,0.00741,0.005554
100260,0.988,0.00247,0.00988
100261,1.0,,
100262,0.987,0.006668,0.006668
100263,0.9985,0.001587,
100264,0.993,0.00303,0.00404
100265,0.9976,0.002222,
100266,1.0,,
100267,0.9985,0.001235,
100268,0.994,0.002563,0.003418
100269,1.0,,
100270,0.9976,0.002222,
100271,0.8887,0.02777,0.0833
100272,0.967,0.02222,0.01111
100273,0.9443,0.03333,0.02222
100274,0.98,0.01111,0.00889
100275,1.0,,
100276,0.9995,0.0003176,
100277,0.991,0.002563,0.00598
100278,1.0,,
100279,1.0,,
100280,0.9775,0.00741,0.01482
100281,0.996,0.003704,
100282,0.9443,0.02222,0.03333
100283,1.0,,
100284,0.975,0.00494,0.01976
100285,0.9937,0.00196,0.004574
100286,1.0,,
100287,0.9897,0.00404,0.00606
100288,0.998,0.0005293,0.001587
100289,0.9443,0.03333,0.02222
100290,0.9966,,0.003174
100291,0.939,0.03333,0.02777
100292,0.8613,0.02777,0.1111
100293,0.9976,0.0004444,0.001778
100294,1.0,,
100295,1.0,,
100296,0.995,0.001634,0.003267
100297,0.995,0.002525,0.002525
100298,1.0,,
100299,0.998,0.000926,0.000926
100300,1.0,,
100301,0.989,0.01111,
100302,1.0,,
100303,0.9165,0.02777,0.05554
100304,0.972,0.01111,0.01666
100305,0.992,0.002117,0.00582
100306,0.9688,0.01556,0.01556
100307,0.8667,0.03333,0.1
100308,0.9556,0.03333,0.01111
100309,0.9985,0.0004504,0.001051
100310,1.0,,
100311,0.972,0.01666,0.01111
100312,0.986,0.00404,0.0101
100313,0.9956,0.004444,
100314,0.9556,0.00833,0.0361
100315,1.0,,
100316,0.993,0.002777,0.004166
100317,0.9966,0.00196,0.0013075
100318,0.9775,0.00741,0.01482
100319,1.0,,
100320,0.933,0.02222,0.04443
100321,0.878,0.05554,0.06665
100322,0.9585,0.0284,0.013336
100323,0.963,0.01852,0.01852
100324,1.0,,
100325,1.0,,
100326,0.9863,0.005554,0.00833
100327,1.0,,
100328,0.994,0.002338,0.00351
100329,0.9834,0.00833,0.00833
100330,0.961,0.00926,0.02963
100331,1.0,,
100332,1.0,,
100333,0.993,0.001852,0.00494
100334,0.939,0.03888,0.02222
100335,0.991,0.003967,0.00476
100336,0.997,0.001111,0.001667
100337,0.9927,0.002777,0.00463
100338,0.994,0.00202,0.00404
100339,0.9795,0.00741,0.01296
100340,0.9956,0.002615,0.00196
100341,0.9556,0.03333,0.01111
100342,0.996,0.003704,
100343,0.995,0.001515,0.003536
100344,1.0,,
100345,0.9653,0.0125,0.02222
100346,1.0,,
100347,1.0,,
100348,1.0,,
100349,0.998,0.0005293,0.001587
100350,1.0,,
100351,0.964,0.01666,0.01944
100352,0.9966,0.001891,0.001655
100353,1.0,,
100354,0.9995,0.0004272,
100355,0.9976,0.002222,
100356,0.972,0.01111,0.01666
100357,1.0,,
100358,0.9956,0.002563,0.001709
100359,0.996,0.00238,0.001587
100360,0.999,0.0007935,
100361,0.9443,0.03333,0.02222
100362,0.993,0.002338,0.004677
100363,1.0,,
100364,0.9863,0.005554,0.00833
100365,1.0,,
100366,1.0,,
100367,1.0,,
100368,1.0,,
100369,1.0,,
100370,0.996,0.0007935,0.003174
100371,0.967,0.01111,0.02222
100372,0.9824,0.01462,0.002924
100373,0.8706,0.0926,0.03705
100374,0.876,0.05237,0.0714
100375,0.9365,0.02698,0.0365
100376,0.836,0.07776,0.0861
100377,0.8403,0.0611,0.09863
100378,0.8716,0.0827,0.0457
100379,0.8257,0.1,0.0741
100380,0.8335,0.0875,0.07916
100381,0.7944,0.0833,0.1222
100382,0.722,0.05554,0.2222
100383,0.8203,0.0909,0.0886
100384,0.6846,0.1528,0.1625
100385,0.678,0.1614,0.1605
100386,0.588,0.2395,0.1729
100387,0.6333,0.24,0.1267
100388,0.68,0.2732,0.04642
100389,0.5166,0.2722,0.211
100390,0.6025,0.2727,0.12476
100391,0.6113,0.313,0.07587
100392,0.5444,0.311,0.1444
100393,0.5835,0.276,0.1407
100394,0.5796,0.3704,0.05
100395,0.55,0.3389,0.1111
100396,0.6113,0.3528,0.0361
100397,0.5557,0.3806,0.0639
100398,0.5083,0.4666,0.025
100399,0.586,0.3984,0.01587
100400,0.5757,0.3132,0.1111
100401,0.505,0.4546,0.04044
100402,0.567,0.3762,0.05713
100403,0.5024,0.4573,0.04025
100404,0.5693,0.3777,0.05276
100405,0.4758,0.495,0.02888
100406,0.5303,0.4468,0.02275
100407,0.576,0.39,0.03387
100408,0.4744,0.509,0.01666
100409,0.539,0.4111,0.05
100410,0.5054,0.4653,0.02916
100411,0.5405,0.4038,0.05554
100412,0.4695,0.4534,0.0771
100413,0.527,0.4,0.0733
100414,0.4995,0.4502,0.05026
100415,0.5444,0.389,0.06665
100416,0.5786,0.3555,0.06573
100417,0.594,0.3333,0.0722
100418,0.552,0.3777,0.0704
100419,0.5654,0.3796,0.05496
100420,0.589,0.35,0.0611
100421,0.689,0.2,0.1111
100422,0.583,0.3171,0.1
100423,0.5557,0.2888,0.1555
100424,0.5776,0.2964,0.126
100425,0.575,0.2937,0.131
100426,0.5557,0.311,0.1333
100427,0.7554,0.1555,0.08887
100428,0.561,0.2888,0.15
100429,0.576,0.264,0.1597
100430,0.6665,0.2444,0.08887
100431,0.5522,0.3257,0.12177
100432,0.5444,0.32,0.1355
100433,0.49,0.408,0.102
100434,0.811,0.1444,0.04443
100435,0.4626,0.4373,0.1
100436,0.4778,0.3445,0.1777
100437,0.5776,0.2778,0.1444
100438,0.4268,0.4534,0.12
100439,0.584,0.346,0.0698
100440,0.4614,0.404,0.1344
100441,0.4705,0.3906,0.1389
100442,0.4736,0.3818,0.1444
100443,0.511,0.3704,0.1185
100444,0.54,0.346,0.1139
100445,0.5146,0.3542,0.1309
100446,0.516,0.3872,0.0968
100447,0.539,0.3816,0.07947
100448,0.4844,0.3745,0.1409
100449,0.5083,0.405,0.0867
100450,0.4888,0.3953,0.1157
100451,0.422,0.4666,0.1111
100452,0.4734,0.4023,0.12445
100453,0.6777,0.2556,0.06665
100454,0.4739,0.3958,0.1302
100455,0.4263,0.4194,0.1542
100456,0.6665,0.2666,0.06665
100457,0.523,0.365,0.11194
100458,0.6113,0.2666,0.1222
100459,0.5225,0.3555,0.1222
100460,0.4824,0.403,0.11426
100461,0.4753,0.418,0.1068
100462,0.505,0.3745,0.1206
100463,0.446,0.4314,0.1226
100464,0.4612,0.422,0.11664
100465,0.4263,0.4277,0.1459
100466,0.525,0.3186,0.1567
100467,0.506,0.4014,0.09283
100468,0.4622,0.4214,0.1163
100469,0.52,0.37,0.11
100470,0.5127,0.3708,0.1164
100471,0.4805,0.361,0.1583
100472,0.4888,0.3777,0.1333
100473,0.4722,0.422,0.1055
100474,0.4263,0.4333,0.1404
100475,0.4734,0.4023,0.12445
100476,0.531,0.3977,0.0714
100477,0.507,0.4233,0.0697
100478,0.4382,0.4229,0.1389
100479,0.452,0.4111,0.1371
100480,0.418,0.4546,0.1273
100481,0.4834,0.4575,0.05927
100482,0.479,0.439,0.0822
100483,0.4116,0.4255,0.163
100484,0.4382,0.4915,0.0704
100485,0.5083,0.397,0.095
100486,0.4888,0.4333,0.07776
100487,0.511,0.4,0.08887
100488,0.4333,0.5225,0.04443
100489,0.689,0.2333,0.07776
100490,0.4082,0.4253,0.1666
100491,0.407,0.427,0.166
100492,0.389,0.47,0.1411
100493,0.4858,0.402,0.11194
100494,0.4207,0.4646,0.1148
100495,0.3809,0.4307,0.1885
100496,0.4485,0.371,0.1804
100497,0.4087,0.4,0.1914
100498,0.3984,0.438,0.1635
100499,0.452,0.4346,0.1136
100500,0.4128,0.422,0.1648
100501,0.4324,0.4202,0.1475
100502,0.4307,0.4019,0.1676
100503,0.389,0.426,0.1852
100504,0.4497,0.4094,0.1407
100505,0.4666,0.5,0.03333
100506,0.4167,0.4128,0.1704
100507,0.4443,0.4333,0.1222
100508,0.3638,0.421,0.2153
100509,0.4062,0.404,0.1897
100510,0.4138,0.362,0.224
100511,0.4834,0.422,0.0944
100512,0.3962,0.474,0.1296
100513,0.3826,0.368,0.2498
100514,0.1111,0.878,0.01111
100515,0.3289,0.3616,0.3096
100516,0.3723,0.3875,0.2402
100517,0.3777,0.439,0.1833
100518,0.3723,0.4194,0.2084
100519,0.511,0.4556,0.03333
100520,0.3853,0.422,0.1926
100521,0.5,0.474,0.02592
100522,0.3809,0.3677,0.2515
100523,0.3855,0.4067,0.2078
100524,0.422,0.5,0.07776
100525,0.3372,0.537,0.126
100526,0.4832,0.3901,0.1268
100527,0.4443,0.4333,0.1222
100528,0.3362,0.528,0.1361
100529,0.477,0.4045,0.1183
100530,0.3958,0.418,0.1862
100531,0.452,0.4443,0.1037
100532,0.4214,0.4585,0.12
100533,0.4355,0.409,0.1555
100534,0.4888,0.4612,0.05
100535,0.379,0.4128,0.2084
100536,0.422,0.4443,0.1333
100537,0.4277,0.4097,0.1625
100538,0.389,0.567,0.04443
100539,0.423,0.377,0.2
100540,0.4365,0.3896,0.1738
100541,0.3794,0.4348,0.1857
100542,0.379,0.4211,0.2
100543,0.389,0.4463,0.1648
100544,0.3037,0.4556,0.2407
100545,0.3777,0.511,0.1111
100546,0.4253,0.3818,0.1929
100547,0.4443,0.533,0.02222
100548,0.6113,0.3,0.08887
100549,0.3792,0.42,0.2007
100550,0.328,0.4666,0.2056
100551,0.4897,0.3992,0.1111
100552,0.409,0.3845,0.2067
100553,0.3667,0.6,0.03333
100554,0.4512,0.4023,0.1466
100555,0.4111,0.396,0.1929
100556,0.3691,0.442,0.1888
100557,0.377,0.4578,0.1652
100558,0.4087,0.4019,0.1895
100559,0.4592,0.4075,0.1333
100560,0.3867,0.4202,0.1931
100561,0.3,0.4333,0.2666
100562,0.3623,0.408,0.2297
100563,0.3606,0.464,0.1753
100564,0.3625,0.402,0.2354
100565,0.4014,0.452,0.1466
100566,0.3528,0.4973,0.15
100567,0.3616,0.5117,0.1267
100568,0.3518,0.5146,0.1333
100569,0.3645,0.4912,0.1444
100570,0.2666,0.656,0.07776
100571,0.2444,0.5776,0.1777
100572,0.3035,0.4238,0.2727
100573,0.33,0.4778,0.192
100574,0.3403,0.4624,0.1973
100575,0.361,0.4038,0.2352
100576,0.4307,0.4163,0.153
100577,0.3425,0.4634,0.1941
100578,0.4019,0.422,0.1759
100579,0.404,0.424,0.172
100580,0.4333,0.4185,0.1482
100581,0.4429,0.4,0.1572
100582,0.3875,0.3845,0.2281
100583,0.3704,0.389,0.2407
100584,0.3193,0.4695,0.211
100585,0.3555,0.4343,0.2102
100586,0.3555,0.3748,0.2698
100587,0.4167,0.4167,0.1666
100588,0.366,0.403,0.2311
100589,0.3638,0.375,0.2612
100590,0.2976,0.4,0.3022
100591,0.3252,0.351,0.3237
100592,0.341,0.3538,0.3052
100593,0.3389,0.439,0.2222
100594,0.4111,0.4055,0.1833
100595,0.3682,0.4028,0.2291
100596,0.3333,0.6665,
100597,0.4539,0.403,0.1428
100598,0.387,0.426,0.187
100599,0.1722,0.511,0.3167
100600,0.3694,0.4917,0.1389
100601,0.424,0.4185,0.1573
100602,0.3467,0.4312,0.2222
100603,0.2695,0.4307,0.3
100604,0.4333,0.4355,0.1311
100605,0.4407,0.4185,0.1407
100606,0.2888,0.711,
100607,0.356,0.4136,0.2306
100608,0.4185,0.5073,0.0741
100609,0.3223,0.4973,0.1805
100610,0.3237,0.4126,0.2637
100611,0.35,0.363,0.287
100612,0.35,0.3962,0.2537
100613,0.3608,0.3857,0.2537
100614,0.3694,0.528,0.1028
100615,0.427,0.4429,0.1301
100616,0.4,0.4666,0.1333
100617,0.407,0.408,0.1852
100618,0.4094,0.3926,0.1982
100619,0.3755,0.3977,0.2267
100620,0.3408,0.4111,0.2482
100621,0.4297,0.4407,0.1296
100622,0.3938,0.3865,0.2197
100623,0.3333,0.462,0.2047
100624,0.319,0.4084,0.2727
100625,0.375,0.3796,0.2454
100626,0.311,0.3862,0.3027
100627,0.3213,0.3962,0.2825
100628,0.2856,0.446,0.2683
100629,0.3132,0.337,0.35
100630,0.311,0.387,0.3018
100631,0.3022,0.4177,0.28
100632,0.399,0.382,0.2189
100633,0.06665,0.933,
100634,0.292,0.335,0.373
100635,0.311,0.3877,0.3013
100636,0.2834,0.39,0.3267
100637,0.321,0.3645,0.3145
100638,0.4333,0.511,0.05554
100639,0.366,0.4275,0.2064
100640,0.328,0.5,0.1722
100641,0.328,0.4358,0.2365
100642,0.3167,0.55,0.1333
100643,0.408,0.4246,0.1675
100644,0.211,0.622,0.1666
100645,0.4277,0.4133,0.1589
100646,0.369,0.4155,0.2156
100647,0.3901,0.4116,0.1981
100648,0.3186,0.3853,0.2964
100649,0.3018,0.3965,0.3018
100650,0.2842,0.3,0.4158
100651,0.3367,0.3528,0.3103
100652,0.3796,0.387,0.2333
100653,0.2944,0.5166,0.1888
100654,0.3633,0.4287,0.2079
100655,0.463,0.437,0.1
100656,0.3389,0.4055,0.2556
