T,C,D,L
100000,0.778,0.1444,0.07776
100001,0.9727,0.007603,0.01988
100002,0.907,0.02592,0.06665
100003,0.9,0.0492,0.05078
100004,0.916,0.03333,0.05078
100005,0.778,0.0944,0.1278
100006,0.719,0.1637,0.1172
100007,0.5054,0.2056,0.2888
100008,0.783,0.0704,0.1466
100009,0.952,0.01866,0.02933
100010,0.7275,0.1222,0.15
100011,0.8643,0.0476,0.0881
100012,0.948,0.02324,0.02829
100013,0.778,0.1666,0.05554
100014,0.8486,0.09296,0.05847
100015,0.96,0.02286,0.01714
100016,0.936,0.03705,0.02716
100017,0.9814,0.00815,0.01037
100018,0.949,0.0324,0.01852
100019,0.6665,0.2333,0.1
100020,0.8965,0.05124,0.05246
100021,0.7446,0.1222,0.1333
100022,0.831,0.05554,0.11334
100023,0.8335,0.04443,0.1222
100024,0.6147,0.1222,0.263
100025,0.9697,0.01111,0.01894
100026,0.976,0.00919,0.01456
100027,0.975,0.00741,0.01729
100028,0.979,0.008995,0.01217
100029,0.7334,0.1111,0.1555
100030,0.3667,0.3167,0.3167
100031,0.7954,0.0997,0.10486
100032,0.437,0.2074,0.3555
100033,0.6147,0.1,0.2852
100034,0.782,0.07556,0.1422
100035,0.939,0.0349,0.02618
100036,0.9775,0.005554,0.01666
100037,0.761,0.08887,0.15
100038,0.3223,0.389,0.2888
100039,0.815,0.05792,0.127
100040,0.875,0.0752,0.04956
100041,0.737,0.06665,0.1963
100042,0.8877,0.0599,0.0522
100043,0.959,0.02089,0.02
100044,0.9463,0.01965,0.03418
100045,0.933,0.02444,0.04224
100046,0.9224,0.03333,0.04443
100047,0.848,0.03333,0.1185
100048,0.862,0.05237,0.0857
100049,0.935,0.01349,0.05157
100050,0.789,0.0815,0.1296
100051,0.8755,0.03778,0.0867
100052,0.8643,0.0489,0.0867
100053,0.778,0.1,0.1222
100054,0.849,0.04443,0.1067
100055,0.9624,0.01482,0.02284
100056,0.933,0.02592,0.04074
100057,0.8887,0.04166,0.06946
100058,0.9766,0.005,0.01833
100059,0.774,0.0741,0.1519
100060,0.7466,0.08887,0.1644
100061,0.9526,0.01616,0.0313
100062,0.85,0.05554,0.0944
100063,0.957,0.01111,0.03195
100064,0.9697,0.01173,0.01852
100065,0.931,0.01778,0.05112
100066,0.9585,0.01666,0.025
100067,0.7446,0.07776,0.1777
100068,0.877,0.03015,0.09283
100069,0.9736,0.00935,0.01695
100070,0.9683,0.00952,0.02222
100071,0.9556,0.01729,0.02716
100072,0.8984,0.0365,0.06506
100073,0.98,0.0085,0.011765
100074,0.8613,0.05554,0.0833
100075,0.8223,0.05554,0.1222
100076,0.9297,0.0257,0.04443
100077,0.974,0.010254,0.01538
100078,0.8887,0.05554,0.05554
100079,0.9165,0.0361,0.0472
100080,0.778,0.07776,0.1444
100081,0.942,0.01837,0.03973
100082,0.8833,0.0472,0.06946
100083,0.9316,0.02408,0.04443
100084,0.872,0.0463,0.0815
100085,0.935,0.0381,0.02698
100086,0.9585,0.01458,0.02708
100087,0.8936,0.05112,0.05554
100088,0.8667,0.05276,0.08057
100089,0.939,0.02222,0.03888
100090,0.957,0.01875,0.0243
100091,0.9775,0.01037,0.01185
100092,0.993,0.002083,0.00486
100093,0.9927,0.003202,0.00433
100094,0.872,0.0722,0.05554
100095,0.926,0.02963,0.04443
100096,0.689,0.15,0.1611
100097,0.7,0.0984,0.2015
100098,0.838,0.07935,0.0825
100099,0.9185,0.0452,0.0363
100100,0.957,0.006348,0.0365
100101,0.958,0.03087,0.01111
100102,0.954,0.02777,0.01825
100103,0.85,0.07776,0.0722
100104,0.9683,0.01162,0.0202
100105,0.9536,0.01666,0.02963
100106,0.778,0.1,0.1222
100107,0.58,0.1823,0.2378
100108,0.389,0.2,0.4111
100109,0.4822,0.2688,0.2489
100110,0.7676,0.12134,0.1111
100111,0.823,0.0788,0.09796
100112,0.8716,0.05353,0.07477
100113,0.9863,0.002777,0.01111
100114,0.9795,0.00808,0.01263
100115,0.967,0.00889,0.02444
100116,0.9165,0.0361,0.0472
100117,0.9453,0.03503,0.01965
100118,0.852,0.05927,0.08887
100119,0.6665,0.1222,0.211
100120,0.4297,0.1852,0.3853
100121,0.861,0.0393,0.1
100122,0.961,0.01556,0.0237
100123,0.9556,0.01111,0.03333
100124,0.9424,0.02777,0.03
100125,0.9165,0.03473,0.0486
100126,0.9805,0.00805,0.0115
100127,0.9,0.03555,0.06445
100128,0.933,0.02777,0.03888
100129,0.979,0.006348,0.01482
100130,0.919,0.0349,0.04602
100131,0.7725,0.07776,0.15
100132,0.7266,0.1125,0.1611
100133,0.7275,0.0833,0.1888
100134,0.806,0.0576,0.1364
100135,0.935,0.01482,0.05
100136,0.8906,0.0365,0.073
100137,0.98,0.006744,0.01309
100138,0.979,,0.02083
100139,0.9067,0.03555,0.05777
100140,0.848,0.05185,0.1
100141,0.8022,0.0733,0.12445
100142,0.949,0.01575,0.0352
100143,0.907,0.0426,0.05
100144,0.8706,0.04816,0.0815
100145,0.99,,0.0098
100146,0.8667,0.05,0.0833
100147,0.7964,0.0722,0.1315
100148,0.656,0.0926,0.252
100149,0.2778,0.2333,0.4888
100150,0.72,0.06,0.22
100151,0.901,0.02777,0.0713
100152,0.983,0.004444,0.012596
100153,0.852,0.05185,0.0963
100154,0.778,0.03333,0.1888
100155,0.952,0.01646,0.03128
100156,0.893,0.03473,0.0722
100157,0.711,0.211,0.07776
100158,0.895,0.014145,0.0909
100159,0.786,0.0722,0.1417
100160,0.7593,0.1,0.1407
100161,0.9883,0.004257,0.007565
100162,0.9766,0.00582,0.01746
100163,0.966,0.010315,0.0238
100164,0.9443,0.02222,0.03333
100165,0.8057,0.06665,0.1278
100166,0.8887,0.0479,0.0632
100167,0.8296,0.05185,0.1185
100168,0.84,0.06506,0.0952
100169,0.988,0.004375,0.007744
100170,0.8945,0.0722,0.03333
100171,0.6777,0.1333,0.1888
100172,0.858,0.0652,0.077
100173,0.934,0.01367,0.05212
100174,0.8613,0.05,0.08887
100175,0.944,0.01569,0.04053
100176,0.9673,0.00769,0.02478
100177,0.722,0.1055,0.1722
100178,0.932,0.01852,0.0492
100179,0.8887,0.03333,0.07776
100180,0.4888,0.1945,0.3167
100181,0.812,0.0829,0.1051
100182,0.9575,0.01111,0.0315
100183,0.8853,0.02963,0.0852
100184,0.898,0.02777,0.0741
100185,0.9746,0.00606,0.0192
100186,0.9014,0.03967,0.05872
100187,0.972,0.01049,0.01729
100188,0.8594,0.04816,0.0926
100189,0.981,0.00812,0.01111
100190,0.7554,0.1111,0.1333
100191,0.8276,0.06573,0.1065
100192,0.5557,0.2222,0.2222
100193,0.2,0.2333,0.567
100194,0.3223,0.01111,0.6665
100195,0.715,0.0574,0.2278
100196,0.898,0.02444,0.07776
100197,0.95,0.01111,0.03888
100198,0.8335,0.03333,0.1333
100199,0.9653,0.01156,0.02312
100200,0.9443,0.02222,0.03333
100201,0.8335,0.05554,0.1111
100202,0.2444,0.2778,0.4778
100203,0.4167,0.0611,0.5225
100204,0.8706,0.0468,0.0825
100205,0.778,0.05554,0.1666
100206,0.804,0.0736,0.1222
100207,0.7964,0.02963,0.1741
100208,0.5,0.2888,0.211
100209,0.4111,0.05554,0.533
100210,0.8403,0.0477,0.11176
100211,0.8687,0.02408,0.1074
100212,0.9536,0.01212,0.03433
100213,0.8667,0.013336,0.12
100214,0.9863,,0.013885
100215,0.872,0.03333,0.0944
100216,0.5835,0.1111,0.3057
100217,0.2444,0.1833,0.5723
100218,0.8364,0.0475,0.11615
100219,0.988,0.00271,0.00948
100220,0.722,0.04443,0.2333
100221,0.8057,0.02592,0.1686
100222,0.9688,0.00463,0.02686
100223,0.9536,0.00598,0.04016
100224,0.983,0.001709,0.01538
100225,0.9697,0.00303,0.02727
100226,0.9873,0.00238,0.010315
100227,0.778,0.03333,0.1888
100228,0.6475,0.05554,0.297
100229,0.9224,0.01482,0.063
100230,0.9854,0.002338,0.01228
100231,0.8667,,0.1333
100232,0.907,0.02037,0.0722
100233,0.9946,,0.005207
100234,0.988,,0.012344
100235,0.9814,0.0047,0.01367
100236,0.9595,0.003704,0.03705
100237,0.99,0.003967,0.00595
100238,0.9854,,0.01482
100239,0.981,0.003418,0.01538
100240,0.9736,0.00858,0.01767
100241,0.9775,0.002222,0.02
100242,0.9756,0.003334,0.02112
100243,0.9966,,0.003267
100244,0.9443,,0.05554
100245,0.9824,0.004444,0.013336
100246,0.9863,,0.013885
100247,0.979,0.004574,0.01634
100248,0.722,,0.2778
100249,0.2,0.3333,0.4666
100250,0.748,0.01852,0.2333
100251,0.972,0.00463,0.02315
100252,0.989,,0.01111
100253,0.8887,0.01482,0.0963
100254,0.902,0.01482,0.0833
100255,0.6665,0.06665,0.2666
100256,0.749,0.02667,0.2245
100257,0.9805,0.003382,0.01595
100258,0.975,,0.02469
100259,0.972,0.002222,0.02556
100260,0.9585,0.004166,0.0375
100261,0.9595,0.003704,0.03705
100262,0.8833,0.02222,0.0944
100263,0.975,,0.02469
100264,0.992,,0.007664
100265,0.992,,0.007935
100266,0.8833,0.02222,0.0944
100267,0.7554,0.06665,0.1777
100268,0.932,0.02014,0.0479
100269,0.9307,0.00833,0.0611
100270,0.9814,,0.01852
100271,0.9775,,0.02222
100272,0.9443,,0.05554
100273,0.9536,,0.0463
100274,0.967,0.006668,0.02667
100275,0.9917,,0.00833
100276,0.9375,0.025,0.0375
100277,0.967,,0.03333
100278,0.9443,0.01482,0.04074
100279,0.8667,,0.1333
100280,0.946,0.01049,0.04382
100281,0.972,,0.02777
100282,0.9854,,0.01462
100283,0.951,,0.0489
100284,0.9814,0.003704,0.01482
100285,0.9893,,0.01058
100286,0.8887,0.01111,0.1
100287,0.933,0.006668,0.06
100288,0.8887,0.03705,0.0741
100289,0.9556,0.01666,0.02777
100290,0.997,,0.002924
100291,0.984,0.004234,0.01164
100292,0.9487,0.004166,0.0472
100293,0.8687,0.03111,0.1
100294,0.9443,0.01428,0.04126
100295,0.778,0.06665,0.1555
100296,0.9453,0.006943,0.0479
100297,0.9585,,0.04166
100298,0.9775,,0.02222
100299,0.972,0.003334,0.02444
100300,0.976,,0.0238
100301,0.963,0.00988,0.02716
100302,0.9897,0.00202,0.00808
100303,0.9946,0.0005555,0.005
100304,0.979,0.006943,0.013885
100305,0.844,0.01111,0.1444
100306,0.7666,0.05554,0.1777
100307,0.9624,0.00978,0.028
100308,0.935,0.02222,0.0426
100309,0.722,,0.2778
100310,0.742,0.0489,0.2089
