T,C,D,L
0,0.2465,0.362,0.3914
1,0.3,0.3833,0.3167
2,0.311,0.3667,0.3223
3,0.279,0.4136,0.3074
4,0.2556,0.3538,0.3906
5,0.3555,0.3555,0.2888
6,0.2683,0.354,0.3777
7,0.2722,0.3223,0.4055
8,0.2139,0.4167,0.3694
9,0.1741,0.4055,0.4204
10,0.1711,0.3662,0.463
11,0.1333,0.511,0.3555
12,0.1301,0.3643,0.5054
13,0.11945,0.3694,0.511
14,0.0976,0.305,0.5977
15,0.10443,0.3767,0.519
16,0.163,0.363,0.474
17,0.127,0.346,0.527
18,0.09186,0.326,0.582
19,0.1111,0.3333,0.5557
20,0.08795,0.264,0.648
21,0.1111,0.2482,0.6406
22,0.07605,0.2406,0.683
23,0.0944,0.2666,0.6387
24,0.0637,0.2074,0.729
25,0.07935,0.238,0.6826
26,0.06223,0.22,0.718
27,0.1222,0.2278,0.65
28,0.05222,0.1422,0.8057
29,0.06665,0.1833,0.75
30,0.03333,0.1333,0.8335
31,0.02539,0.1,0.8745
32,0.07556,0.1289,0.7954
33,0.0394,0.05252,0.908
34,0.007935,0.010315,0.982
35,0.01222,0.013336,0.9746
36,0.00784,0.0366,0.9556
37,0.0722,0.1222,0.8057
38,0.02876,0.05228,0.919
39,0.005127,0.05597,0.939
40,0.04074,0.05185,0.907
41,0.03174,0.0714,0.897
42,0.0192,0.04343,0.9375
43,0.01746,0.02063,0.962
44,0.009094,0.0101,0.981
45,0.03333,0.04074,0.926
46,0.01358,0.02469,0.962
47,0.00719,0.005882,0.987
48,0.04443,0.0489,0.9067
49,0.0282,0.0299,0.942
50,0.04443,0.02698,0.9287
51,0.03888,0.0486,0.9126
52,0.04443,0.05554,0.9
53,0.02087,0.0394,0.94
54,0.012344,0.00741,0.9805
55,0.006348,0.01428,0.9795
56,0.06223,0.02222,0.9155
57,0.02222,0.03333,0.9443
58,0.007603,0.0269,0.9653
59,0.0183,0.01503,0.967
60,0.03333,0.0361,0.9307
61,0.05554,0.05554,0.8887
62,0.04584,0.06042,0.8936
63,0.02222,0.058,0.92
