T,C,D,L
100000,0.984,0.01634,
100001,0.9556,0.04443,
100002,0.9536,0.0463,
100003,0.9893,0.01068,
100004,0.979,0.02083,
100005,0.9907,0.00926,
100006,0.933,0.06665,
100007,0.8887,0.1111,
100008,0.4888,0.511,
100009,0.7266,0.2578,0.01556
100010,0.8335,0.1666,
100011,0.9683,0.03174,
100012,0.9805,0.0196,
100013,0.9443,0.05554,
100014,0.907,0.0926,
100015,0.998,0.001736,
100016,0.99,0.00966,
100017,0.8887,0.1111,
100018,0.992,0.007935,
100019,0.907,0.0926,
100020,0.9604,0.03967,
100021,0.9443,0.05554,
100022,0.995,0.00476,
100023,0.9907,0.00926,
100024,0.985,0.01515,
100025,0.8613,0.1389,
100026,0.9443,0.05554,
100027,0.988,0.012344,
100028,0.993,0.006943,
100029,0.6665,0.3333,
100030,0.5723,0.4167,0.01111
100031,0.9775,0.02222,
100032,0.965,0.03534,
100033,0.9917,0.00817,
100034,0.9697,0.0303,
100035,0.9443,0.05554,
100036,0.9443,0.05554,
100037,0.992,0.007935,
100038,0.952,0.0476,
100039,0.967,0.03333,
100040,0.996,0.003704,
100041,0.9883,0.0119,
100042,0.9805,0.0196,
100043,0.9863,0.013885,
100044,0.8613,0.1389,
100045,0.984,0.01587,
100046,0.7666,0.2333,
100047,0.849,0.1466,0.004444
100048,0.8887,0.1111,
100049,0.9673,0.03265,
100050,0.98,0.0202,
100051,0.975,0.02469,
100052,0.9746,0.02525,
100053,0.9893,0.01058,
100054,0.9976,0.002222,
100055,0.9287,0.0711,
100056,0.989,0.01111,
100057,0.907,0.0926,
100058,0.8335,0.1666,
100059,0.8955,0.10443,
100060,0.992,0.007935,
100061,0.963,0.03705,
100062,0.9775,0.02222,
100063,0.8887,0.1111,
100064,0.891,0.1089,
100065,0.99,0.0098,
100066,0.9907,0.00926,
100067,0.9683,0.03174,
100068,0.987,0.01323,
100069,0.9937,0.00641,
100070,0.6665,0.3333,
100071,0.9316,0.0648,0.003704
100072,0.989,0.01111,
100073,0.972,0.02777,
100074,0.9907,0.00926,
100075,0.979,0.02083,
100076,0.9653,0.03473,
100077,0.9844,0.015434,
100078,0.9814,0.01852,
100079,0.9165,0.0833,
100080,0.9863,0.013885,
100081,0.9863,0.013885,
100082,0.989,0.01111,
100083,0.975,0.02469,
100084,0.9863,0.013885,
100085,0.9873,0.01282,
100086,0.9443,0.05554,
100087,0.926,0.0741,
100088,0.967,0.03333,
100089,0.985,0.01515,
100090,0.9443,0.05554,
100091,0.8887,0.1111,
100092,0.9443,0.05554,
100093,0.9907,0.00926,
100094,0.9863,0.013885,
100095,0.9834,0.01666,
100096,0.989,0.01111,
100097,0.967,0.03333,
100098,0.9897,0.010414,
100099,1.0,,
100100,0.988,0.01208,
100101,0.9883,0.0119,
100102,0.972,0.02777,
100103,0.9443,0.05554,
100104,0.9688,0.03111,
100105,0.996,0.003704,
100106,0.996,0.003704,
100107,0.9307,0.06946,
100108,0.9785,0.02136,
100109,0.778,0.2222,
100110,0.6055,0.3667,0.02777
100111,0.9556,0.04443,
100112,0.9893,0.01058,
100113,0.9775,0.02222,
100114,0.972,0.02777,
100115,0.778,0.2222,
100116,0.715,0.2778,0.00741
100117,0.9375,0.0625,
