T,C,D,L
150000,,,1.0
150001,,,1.0
150002,,,1.0
150003,,,1.0
150004,,,1.0
150005,,,1.0
150006,,,1.0
150007,,,1.0
150008,,,1.0
150009,,,1.0
150010,,,1.0
150011,,,1.0
150012,,,1.0
150013,,,1.0
150014,,,1.0
150015,,,1.0
150016,,,1.0
150017,,,1.0
150018,,,1.0
150019,,,1.0
150020,,,1.0
150021,,,1.0
150022,,,1.0
150023,,,1.0
150024,,,1.0
150025,0.00202,,0.998
150026,,,1.0
150027,,,1.0
150028,0.003704,,0.996
150029,,,1.0
150030,,,1.0
150031,0.01904,,0.981
150032,0.03333,,0.967
150033,0.02222,,0.9775
150034,0.07965,0.001852,0.9185
150035,0.0944,0.02444,0.8813
150036,0.1682,0.01746,0.8145
150037,0.09814,0.02222,0.8794
150038,0.0963,0.04443,0.8594
150039,0.1333,0.01482,0.852
150040,0.1519,0.02222,0.8257
150041,0.07263,0.010254,0.917
150042,0.1511,0.02,0.829
150043,0.12036,0.01852,0.8613
150044,0.10925,0.0426,0.848
150045,0.1074,0.0326,0.86
150046,0.08887,0.01666,0.8945
150047,0.04816,0.01111,0.941
150048,0.0852,0.01482,0.9
150049,0.1431,0.0361,0.821
150050,0.1626,0.03333,0.804
150051,0.2047,0.02698,0.768
150052,0.1996,0.05017,0.75
150053,0.2079,0.06537,0.7266
150054,0.2,0.05554,0.7446
150055,0.2031,0.04285,0.754
150056,0.211,0.06665,0.722
150057,0.1608,0.05334,0.786
150058,0.2593,0.05063,0.69
150059,0.2456,0.03,0.7246
150060,0.1777,0.02222,0.8
150061,0.2018,0.05438,0.7437
150062,0.1459,0.03195,0.8223
150063,0.2065,0.04712,0.7466
150064,0.2153,0.082,0.7026
150065,0.1963,0.0574,0.746
150066,0.2803,0.06174,0.658
150067,0.2693,0.03314,0.6978
150068,0.2378,0.05112,0.711
150069,0.2,0.03333,0.7666
150070,0.2056,0.05927,0.7354
150071,0.2162,0.06464,0.719
150072,0.1803,0.05554,0.764
150073,0.1643,0.05554,0.7803
150074,0.2467,0.06,0.6934
150075,0.2299,0.05725,0.713
150076,0.2185,0.063,0.7188
150077,0.2079,0.08093,0.711
150078,0.2357,0.0811,0.683
150079,0.2274,0.06665,0.706
150080,0.2534,0.05765,0.689
150081,0.2546,0.094,0.6514
150082,0.2703,0.0926,0.637
150083,0.2246,0.0738,0.7017
150084,0.2964,0.063,0.6406
150085,0.335,0.05237,0.613
150086,0.252,0.08765,0.6606
150087,0.2556,0.05554,0.689
150088,0.2556,0.0658,0.6787
150089,0.2778,0.0735,0.649
150090,0.24,0.06335,0.697
150091,0.3147,0.0864,0.5986
150092,0.329,0.07654,0.594
150093,0.3423,0.09863,0.559
150094,0.3333,0.07776,0.589
150095,0.2834,0.0722,0.6445
150096,0.2167,0.07776,0.7056
150097,0.3342,0.03232,0.6333
150098,0.2185,0.03705,0.7446
150099,0.2534,0.0293,0.7173
150100,0.2834,0.04443,0.6724
150101,0.3472,0.0472,0.6055
150102,0.3625,0.03333,0.604
150103,0.2778,0.0815,0.6406
150104,0.211,,0.789
150105,0.3555,0.04443,0.6
150106,0.2222,0.02222,0.7554
150107,0.3,0.02963,0.6704
150108,0.2761,0.02222,0.7017
150109,0.3174,0.05927,0.6235
150110,0.3223,0.04443,0.6333
150111,0.3157,0.02888,0.656
150112,0.3076,0.01965,0.673
150113,0.384,0.04523,0.571
150114,0.358,0.0357,0.6064
150115,0.2666,0.06665,0.6665
150116,0.3667,0.0611,0.5723
150117,0.3647,0.05554,0.5796
150118,0.3318,0.06824,0.6
150119,0.389,0.08,0.5312
150120,0.4187,0.04443,0.537
150121,0.3347,0.06223,0.603
150122,0.3223,0.0722,0.6055
150123,0.3462,0.06665,0.587
150124,0.35,0.0848,0.565
150125,0.3677,0.055,0.577
150126,0.3435,0.0918,0.565
150127,0.4,0.02222,0.5776
150128,0.36,0.0704,0.5693
150129,0.354,0.1285,0.5176
150130,0.3354,0.07776,0.5864
150131,0.311,0.0815,0.6074
150132,0.383,0.0645,0.5522
150133,0.3945,0.05554,0.55
150134,0.369,0.06494,0.566
150135,0.3167,0.0833,0.6
150136,0.3528,0.075,0.5723
150137,0.3667,0.0833,0.55
150138,0.3933,0.06445,0.542
150139,0.3904,0.07556,0.534
150140,0.3508,0.08887,0.5605
150141,0.3472,0.075,0.5776
150142,0.3584,0.04907,0.593
150143,0.3484,0.0836,0.568
150144,0.3547,0.09485,0.5503
150145,0.2888,0.1074,0.6035
150146,0.2612,0.1111,0.628
150147,0.237,0.0963,0.6665
150148,0.1759,0.0745,0.7495
150149,0.1642,0.0426,0.793
150150,0.2222,0.125,0.653
150151,0.1111,0.08887,0.8
150152,0.1333,0.02777,0.839
150153,0.1958,0.05695,0.747
150154,0.2241,0.09076,0.685
150155,0.1862,0.07776,0.7363
150156,0.1566,0.06665,0.777
150157,0.2444,0.03333,0.722
150158,0.2444,0.0639,0.692
150159,0.2056,0.04443,0.75
150160,0.3145,0.1089,0.5767
150161,0.1333,0.02222,0.844
150162,0.2025,0.0735,0.724
150163,0.2666,0.0611,0.6724
150164,0.2333,0.03333,0.7334
150165,0.2883,0.0718,0.6396
150166,0.1833,0.09,0.7266
150167,0.2405,0.05948,0.7
150168,0.1593,0.0815,0.7593
150169,0.1666,0.04443,0.789
150170,0.1694,0.05463,0.776
150171,0.2333,0.04443,0.722
150172,0.2222,0.04443,0.7334
150173,0.1963,0.07965,0.724
150174,0.1555,0.0489,0.7954
150175,0.1888,0.03333,0.778
150176,0.1658,0.03983,0.7944
150177,0.2333,0.04443,0.722
150178,0.2203,0.0463,0.7334
150179,0.2389,0.0611,0.7
150180,0.1963,0.07904,0.7246
150181,0.1698,0.06305,0.767
150182,0.1148,0.0426,0.843
150183,0.15,0.02222,0.8276
150184,0.2333,0.04443,0.722
150185,0.2202,0.08026,0.6997
150186,0.165,0.05713,0.778
150187,0.1777,0.0635,0.759
150188,0.2087,0.07184,0.719
150189,0.2333,0.03333,0.7334
150190,0.2333,0.03888,0.7275
150191,0.2349,0.06824,0.697
150192,0.2174,0.05237,0.73
150193,0.2365,0.05396,0.7095
150194,0.2363,0.05853,0.705
150195,0.2167,0.0361,0.747
150196,0.2185,0.05432,0.727
150197,0.2278,0.0472,0.725
150198,0.1975,0.0767,0.7256
150199,0.197,0.02121,0.7817
150200,0.2742,0.05185,0.6743
150201,0.1888,0.06665,0.7446
150202,0.2333,0.04443,0.722
150203,0.2289,0.0489,0.722
150204,0.3005,0.07544,0.624
150205,0.2861,0.0926,0.621
150206,0.1888,0.06665,0.7446
150207,0.2062,0.0815,0.7124
150208,0.1852,0.0741,0.7407
150209,0.2,0.04224,0.758
150210,0.2222,0.02222,0.7554
150211,0.2222,0.02222,0.7554
150212,0.2666,0.063,0.6704
150213,0.2666,0.08887,0.6445
150214,0.211,0.06665,0.722
150215,0.1666,0.1111,0.722
150216,0.1805,0.05276,0.7666
150217,0.2247,0.03952,0.736
150218,0.2222,0.07776,0.7
150219,0.2361,0.05832,0.7056
150220,0.279,0.10864,0.6123
150221,0.2296,0.05554,0.715
150222,0.303,0.0971,0.6
150223,0.2192,0.0632,0.718
150224,0.2139,0.0935,0.6924
150225,0.2139,0.0764,0.71
150226,0.2754,0.0914,0.6333
150227,0.216,0.07086,0.7134
150228,0.1978,0.08887,0.7134
150229,0.2333,0.09814,0.6685
150230,0.1888,0.0611,0.75
150231,0.2489,0.0978,0.6533
150232,0.1777,0.05554,0.7666
150233,0.2148,0.0704,0.715
150234,0.1593,0.06665,0.774
150235,0.1555,0.05554,0.789
150236,0.2142,0.07776,0.708
150237,0.1666,0.03333,0.8
150238,0.1852,0.05704,0.758
150239,0.246,0.07526,0.6787
150240,0.158,0.0825,0.76
150241,0.1945,0.05554,0.75
150242,0.1611,0.03705,0.802
150243,0.1855,0.0493,0.765
150244,0.282,0.08716,0.631
150245,0.1698,0.05396,0.7764
150246,0.1825,0.0762,0.741
150247,0.2644,0.06223,0.6733
150248,0.1914,0.0487,0.76
150249,0.2612,0.063,0.676
150250,0.3147,0.05927,0.626
150251,0.2815,0.05185,0.6665
150252,0.3713,0.08093,0.548
150253,0.3098,0.1136,0.5767
150254,0.1666,0.02222,0.811
150255,0.2966,0.0744,0.629
150256,0.2966,0.0833,0.62
150257,0.2505,0.0564,0.6934
150258,0.284,0.0654,0.6504
150259,0.3435,0.09076,0.566
150260,0.2527,0.1028,0.6445
150261,0.2463,0.06665,0.687
150262,0.211,0.04443,0.7446
150263,0.287,0.0807,0.6323
150264,0.1912,0.08777,0.721
150265,0.2898,0.0737,0.636
150266,0.2444,0.1055,0.65
150267,0.302,0.07477,0.623
150268,0.3477,0.0881,0.5645
150269,0.3306,0.0764,0.5933
150270,0.327,0.05713,0.6157
150271,0.3506,0.0515,0.598
150272,0.311,0.06665,0.622
150273,0.3298,0.0688,0.601
150274,0.3,0.04443,0.656
150275,0.3455,0.04495,0.6094
150276,0.3281,0.0802,0.592
150277,0.311,0.06665,0.622
150278,0.314,0.0611,0.625
150279,0.3306,0.08057,0.589
150280,0.3564,0.0605,0.583
150281,0.3445,0.0837,0.572
150282,0.3547,0.0731,0.5723
150283,0.338,0.1111,0.5513
150284,0.3232,0.0833,0.5933
150285,0.3389,0.07776,0.5835
150286,0.3853,0.1037,0.511
150287,0.343,0.1,0.557
150288,0.3408,0.063,0.596
150289,0.365,0.0698,0.565
150290,0.4111,0.03333,0.5557
150291,0.3564,0.0658,0.5776
150292,0.3584,0.0861,0.5557
150293,0.2979,0.05554,0.6465
150294,0.3105,0.1082,0.581
150295,0.306,0.09827,0.5957
150296,0.358,0.0738,0.5684
150297,0.3445,0.06665,0.589
150298,0.3523,0.11,0.5376
150299,0.2964,0.0926,0.6113
150300,0.3342,0.11194,0.5537
150301,0.2556,0.07776,0.6665
150302,0.296,0.0964,0.608
150303,0.2455,0.07776,0.677
150304,0.2094,0.08527,0.7056
150305,0.29,0.07904,0.631
150306,0.253,0.099,0.648
150307,0.2556,0.1055,0.6387
150308,0.1777,0.03333,0.789
150309,0.2798,0.05966,0.6606
150310,0.3103,0.0709,0.6187
150311,0.2747,0.1058,0.6196
150312,0.2722,0.1,0.628
150313,0.2407,0.1315,0.628
150314,0.1519,0.1,0.748
150315,0.1877,0.0725,0.7397
150316,0.1495,0.04242,0.808
150317,0.2341,0.06744,0.698
150318,0.256,0.1111,0.633
150319,0.1841,0.109,0.707
150320,0.1611,0.03333,0.8057
150321,0.1593,0.05927,0.7812
150322,0.1752,0.05884,0.766
150323,0.0963,0.05554,0.848
150324,0.1555,0.05554,0.789
150325,0.1178,0.06775,0.8145
150326,0.0737,0.0394,0.8867
150327,0.09314,0.04102,0.8657
150328,0.125,0.04584,0.829
150329,0.1376,0.05212,0.81
150330,0.06665,0.0611,0.872
150331,0.0856,0.02777,0.8867
150332,0.03265,0.01598,0.951
150333,0.1619,0.05396,0.784
150334,0.1393,0.05298,0.8076
150335,0.1935,0.0706,0.736
150336,0.1444,0.08887,0.7666
150337,0.1267,0.05444,0.819
150338,0.126,0.02963,0.844
150339,0.163,0.04443,0.7925
150340,0.2139,0.0722,0.714
150341,0.126,0.0815,0.7925
150342,0.0987,0.03137,0.87
150343,0.15,0.0639,0.786
150344,0.1136,0.04443,0.842
150345,0.1067,0.0363,0.857
150346,0.1761,0.05713,0.7666
150347,0.2072,0.03857,0.7544
150348,0.2222,0.08887,0.689
150349,0.1555,0.0414,0.803
150350,0.1555,0.0911,0.7534
150351,0.1185,0.05185,0.8296
150352,0.11554,0.05112,0.8335
150353,0.1111,0.06665,0.8223
150354,0.05,0.02777,0.9224
150355,0.01666,0.01944,0.964
150356,0.02284,0.01729,0.96
150357,,,1.0
150358,0.01428,0.00952,0.976
150359,,0.01111,0.989
150360,0.04443,0.02222,0.933
150361,,,1.0
150362,0.02222,,0.9775
150363,0.02222,,0.9775
150364,0.06665,0.02222,0.911
150365,0.03555,0.0341,0.93
150366,0.02222,0.01111,0.967
150367,,0.01111,0.989
150368,,,1.0
150369,,,1.0
150370,,,1.0
150371,0.02222,0.00741,0.97
150372,,,1.0
150373,,,1.0
150374,,0.01111,0.989
150375,,,1.0
150376,,,1.0
150377,,0.02222,0.9775
150378,,,1.0
150379,,,1.0
150380,,,1.0
150381,,,1.0
150382,,,1.0
150383,,,1.0
150384,,0.005554,0.9946
150385,,,1.0
150386,,,1.0
150387,,,1.0
150388,,,1.0
150389,,,1.0
150390,,,1.0
150391,,,1.0
150392,,,1.0
150393,,,1.0
150394,,,1.0
150395,,,1.0
150396,,0.0008545,0.999
150397,,0.006668,0.993
150398,,,1.0
150399,,,1.0
150400,,,1.0
150401,,,1.0
150402,,,1.0
150403,,,1.0
150404,,,1.0
150405,,,1.0
150406,,0.005554,0.9946
150407,,,1.0
150408,,,1.0
150409,,,1.0
150410,,,1.0
150411,,,1.0
150412,,,1.0
150413,,,1.0
150414,,,1.0
150415,,,1.0
150416,,,1.0
150417,,,1.0
150418,,,1.0
150419,,,1.0
150420,,,1.0
150421,,,1.0
150422,,,1.0
150423,,,1.0
150424,,,1.0
150425,,,1.0
150426,,,1.0
150427,,,1.0
150428,,,1.0
150429,,,1.0
150430,,,1.0
150431,,0.0007405,0.999
150432,,,1.0
150433,,,1.0
150434,,,1.0
150435,,,1.0
150436,,,1.0
150437,,,1.0
150438,,,1.0
150439,,,1.0
150440,,,1.0
150441,,,1.0
150442,,,1.0
150443,,,1.0
150444,,,1.0
150445,,,1.0
150446,,,1.0
150447,,,1.0
150448,,,1.0
150449,,,1.0
150450,,,1.0
150451,,,1.0
150452,,,1.0
150453,,,1.0
150454,,,1.0
150455,,,1.0
150456,,,1.0
150457,,,1.0
150458,,,1.0
150459,,,1.0
150460,,,1.0
150461,,,1.0
150462,,,1.0
150463,,,1.0
150464,,,1.0
150465,,,1.0
150466,,,1.0
150467,,,1.0
150468,,,1.0
150469,,,1.0
150470,,,1.0
150471,,,1.0
150472,,,1.0
150473,,,1.0
150474,,,1.0
150475,,,1.0
150476,,0.0058,0.994
150477,,,1.0
150478,,,1.0
150479,,,1.0
150480,,,1.0
150481,,0.001169,0.999
150482,,,1.0
150483,,,1.0
150484,,,1.0
150485,,,1.0
150486,,,1.0
150487,,,1.0
150488,,,1.0
150489,,,1.0
150490,,,1.0
150491,,,1.0
150492,,,1.0
150493,,,1.0
150494,,,1.0
150495,,,1.0
150496,,,1.0
150497,,,1.0
150498,,,1.0
150499,,,1.0
150500,,,1.0
150501,,,1.0
150502,,,1.0
150503,,,1.0
150504,,,1.0
