T,C,D,L
50000,0.9766,0.007637,0.01598
50001,0.981,0.004715,0.01448
50002,1.0,,
50003,0.9,0.03333,0.06665
50004,0.683,0.0944,0.2222
50005,0.8506,0.0681,0.0812
50006,0.9307,0.01358,0.05554
50007,1.0,,
50008,0.9956,,0.00463
50009,0.989,0.003174,0.007935
50010,0.989,,0.01111
50011,0.972,,0.02777
50012,0.9946,,0.005554
50013,0.998,,0.002058
50014,0.963,,0.03705
50015,0.9277,0.02777,0.04443
50016,0.901,0.0352,0.0639
50017,0.907,0.02037,0.0722
50018,0.986,0.001235,0.01296
50019,0.996,,0.003704
50020,0.9985,,0.001634
50021,0.994,0.001059,0.00476
50022,0.8887,0.01111,0.1
50023,0.99,0.00196,0.00784
50024,0.9443,0.01111,0.04443
50025,0.722,0.04443,0.2333
50026,0.907,0.03967,0.05316
50027,0.9897,,0.0101
50028,0.9937,,0.00641
50029,0.911,0.01111,0.07776
50030,0.968,0.009094,0.02324
50031,0.993,,0.006943
50032,0.991,,0.008545
50033,0.9775,,0.02222
50034,1.0,,
50035,0.9966,,0.003471
50036,0.967,0.02222,0.01111
50037,0.8335,0.02222,0.1444
50038,0.973,0.00704,0.02
50039,0.967,,0.03333
50040,0.8555,0.01111,0.1333
50041,0.778,0.02777,0.1945
50042,0.6665,0.1055,0.2278
50043,0.9224,0.01833,0.05945
50044,1.0,,
50045,0.9863,0.000505,0.01313
50046,0.98,,0.02
50047,0.972,,0.02777
50048,1.0,,
50049,1.0,,
50050,0.972,,0.02777
50051,0.9937,,0.006172
50052,1.0,,
50053,0.9814,,0.01852
50054,0.995,,0.00505
50055,1.0,,
50056,0.9556,,0.04443
50057,0.9946,,0.005554
50058,0.9985,,0.001425
50059,0.992,,0.007935
50060,0.9443,,0.05554
50061,0.992,,0.007935
50062,1.0,,
50063,0.9443,,0.05554
50064,0.989,,0.01111
50065,0.9966,,0.003471
50066,0.9897,,0.010414
50067,0.992,,0.007935
50068,0.9907,,0.00926
50069,0.9907,,0.00926
50070,1.0,,
50071,0.996,,0.003704
50072,0.9946,,0.005207
50073,0.9443,,0.05554
50074,0.9443,,0.05554
50075,1.0,,
50076,0.997,,0.003002
50077,0.811,,0.1888
50078,0.839,0.03333,0.1278
50079,0.993,,0.006943
50080,0.9814,,0.01852
50081,0.989,0.00101,0.0101
50082,0.997,,0.003086
