,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,_destination_path,alpha,beta
439,0.00284656817,1.0547036000000003e-05,0.99712475,665.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
440,0.000659097917,3.5376444e-05,0.9993010870000001,666.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
441,0.003050732557000001,1.1428523000000002e-05,0.9969193129999999,667.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
442,0.000682310533,3.4957414000000003e-05,0.999278129,668.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
443,0.15858367923,0.08359989213300001,0.757807831399,669.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
444,0.086187275469,0.061414982302,0.8523905754379999,670.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
445,0.12087636285899998,0.091952700575,0.7871563911580001,671.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
446,0.037489768057,0.022905883550000002,0.9396006407999999,672.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
447,0.12554371813100001,0.11090658022600003,0.763542795651,673.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
448,0.084205810012,0.09381570514499997,0.8219729175789999,674.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
449,0.10994601656499997,0.111610941122,0.7784289357030002,675.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
450,0.040077885179999995,0.042609424397,0.9173095733529999,676.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
451,0.179002445523,0.17684803109800004,0.644138504799,677.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
452,0.131031296506,0.177829153425,0.691124048596,678.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
