,C,D,L,p,norm
506,0.201,0.1171,0.6816,7,Loner
505,0.628,0.04846,0.3235,7,Defector
625,0.8535,0.03226,0.1141,7,Defector
28,0.2783,0.0572,0.6646,7,Both
27,0.1122,0.0836,0.804,7,Neither
88,0.3354,0.0547,0.61,7,Both
87,0.116,0.086,0.798,7,Neither
86,0.1858,0.1054,0.709,7,Loner
26,0.1943,0.11035,0.6953,7,Loner
25,0.673,0.04626,0.281,7,Defector
1105,0.547,0.0428,0.4106,7,Defector
1106,0.2083,0.11316,0.6787,7,Loner
1107,0.10614,0.07196,0.822,7,Neither
808,0.3245,0.06143,0.614,7,Both
85,0.678,0.0371,0.2847,7,Defector
632,0.2554,0.0663,0.678,8,Both
90,0.2079,0.1295,0.6626,8,Loner
89,0.7734,0.03348,0.1929,8,Defector
989,0.904,0.03583,0.0604,8,Defector
629,0.665,0.05154,0.2834,8,Defector
630,0.1991,0.1171,0.6836,8,Loner
990,0.2233,0.122,0.655,8,Loner
991,0.1158,0.08344,0.801,8,Neither
992,0.3054,0.0644,0.6304,8,Both
631,0.1162,0.07904,0.8047,8,Neither
91,0.1205,0.0786,0.801,8,Neither
92,0.372,0.06586,0.562,8,Both
270,0.2012,0.1268,0.672,8,Loner
329,0.8545,0.03824,0.10706,8,Defector
151,0.1222,0.08105,0.797,8,Neither
152,0.3418,0.06113,0.597,8,Both
872,0.549,0.04794,0.403,8,Both
871,0.11,0.0738,0.8164,8,Neither
870,0.2045,0.1247,0.671,8,Loner
869,0.9287,0.03023,0.04105,8,Defector
150,0.1892,0.10925,0.7017,8,Loner
212,0.3628,0.06067,0.576,8,Both
210,0.1973,0.1179,0.6846,8,Loner
209,0.9727,0.02597,0.001576,8,Defector
809,0.8774,0.03308,0.0894,8,Defector
810,0.2098,0.11414,0.676,8,Loner
811,0.1187,0.07275,0.8086,8,Neither
812,0.529,0.0405,0.431,8,Both
211,0.10815,0.0744,0.8174,8,Neither
330,0.1936,0.1187,0.6875,8,Loner
752,0.3457,0.05154,0.603,8,Both
750,0.2007,0.12,0.679,8,Loner
689,0.6797,0.05255,0.268,8,Defector
690,0.2137,0.1185,0.6675,8,Loner
691,0.1047,0.0704,0.8247,8,Neither
692,0.386,0.05936,0.5547,8,Both
932,0.3687,0.0634,0.568,8,Both
931,0.1091,0.06885,0.8223,8,Neither
751,0.12067,0.08325,0.796,8,Neither
930,0.2063,0.1267,0.667,8,Loner
272,0.2747,0.06216,0.663,8,Both
271,0.1228,0.0765,0.801,8,Neither
331,0.11316,0.0826,0.804,8,Neither
269,0.604,0.04614,0.35,8,Defector
149,0.9316,0.03326,0.03503,8,Defector
749,0.6616,0.05566,0.2827,8,Defector
929,0.62,0.0452,0.3345,8,Defector
332,0.5923,0.043,0.3645,8,Both
449,0.8306,0.02618,0.1433,8,Defector
29,0.799,0.03317,0.1677,8,Defector
572,0.474,0.053,0.473,8,Both
571,0.1125,0.08075,0.8066,8,Neither
570,0.2227,0.1226,0.655,8,Loner
569,0.7065,0.04987,0.2435,8,Defector
30,0.215,0.12427,0.6606,8,Loner
390,0.2258,0.1298,0.6445,8,Loner
31,0.12244,0.07874,0.799,8,Neither
32,0.3726,0.05515,0.5723,8,Both
1172,0.4001,0.05402,0.546,8,Both
509,0.7593,0.03513,0.2057,8,Defector
391,0.1195,0.08264,0.798,8,Neither
392,0.3787,0.05612,0.565,8,Both
1111,0.1143,0.0767,0.809,8,Neither
1110,0.203,0.1249,0.672,8,Loner
1109,0.8237,0.03778,0.1383,8,Defector
1170,0.193,0.1121,0.695,8,Loner
1169,0.7915,0.03812,0.1703,8,Defector
1171,0.11676,0.07086,0.8125,8,Neither
1112,0.586,0.0451,0.369,8,Both
1052,0.376,0.05505,0.569,8,Both
389,0.7354,0.0495,0.2152,8,Defector
1051,0.1092,0.0724,0.8184,8,Neither
450,0.2124,0.116,0.6714,8,Loner
451,0.1152,0.0777,0.807,8,Neither
452,0.4966,0.05075,0.4526,8,Both
1050,0.1876,0.11237,0.6997,8,Loner
512,0.3135,0.0631,0.6235,8,Both
511,0.1107,0.0709,0.8184,8,Neither
1049,0.644,0.05176,0.3044,8,Defector
510,0.2141,0.12024,0.6655,8,Loner
1053,0.787,0.0483,0.1646,9,Defector
695,0.3862,0.05682,0.557,9,Neither
694,0.848,0.04294,0.1091,9,Loner
693,0.897,0.05127,0.05185,9,Defector
453,0.623,0.0684,0.3083,9,Defector
396,0.3784,0.05615,0.5654,9,Both
393,0.9644,0.03293,0.002506,9,Defector
394,0.7744,0.06247,0.1628,9,Loner
336,0.403,0.0665,0.5303,9,Both
1113,0.934,0.0503,0.015434,9,Defector
1114,0.835,0.05664,0.10846,9,Loner
1115,0.3264,0.0522,0.621,9,Neither
1116,0.4187,0.0471,0.534,9,Both
335,0.497,0.04178,0.4612,9,Neither
395,0.323,0.06003,0.617,9,Neither
696,0.354,0.05978,0.586,9,Both
874,0.893,0.06824,0.03888,9,Loner
873,0.8296,0.08057,0.08984,9,Defector
275,0.305,0.05936,0.6357,9,Neither
153,0.4763,0.05945,0.4644,9,Defector
154,0.8076,0.02618,0.1661,9,Loner
155,0.5903,0.04095,0.3687,9,Neither
156,0.3945,0.0546,0.551,9,Both
274,0.8877,0.0651,0.04715,9,Loner
273,0.9316,0.06757,0.000875,9,Defector
