,C,D,L,p,norm
231,0.4211,0.0579,0.521,13,Neither
110,0.892,0.06885,0.03903,13,Loner
111,0.5283,0.04376,0.428,13,Neither
112,0.2299,0.07477,0.6953,13,Both
529,0.9688,0.0303,0.0007715,13,Defector
769,0.8774,0.0405,0.0821,13,Defector
952,0.743,0.0316,0.2253,13,Both
951,0.4824,0.04855,0.469,13,Neither
950,0.8823,0.0339,0.08356,13,Loner
949,0.932,0.06757,0.000395,13,Defector
412,0.67,0.0362,0.2937,13,Both
1191,0.3867,0.058,0.555,13,Neither
1192,0.4895,0.05017,0.4604,13,Both
411,0.36,0.05655,0.583,13,Neither
410,0.9346,0.0638,0.001818,13,Loner
409,0.86,0.08777,0.05237,13,Defector
709,0.692,0.05328,0.2546,13,Defector
710,0.894,0.06757,0.03854,13,Loner
711,0.6206,0.03903,0.3406,13,Neither
890,0.676,0.0518,0.2725,13,Loner
889,0.782,0.05127,0.1664,13,Defector
109,0.829,0.04272,0.1282,13,Defector
290,0.894,0.0671,0.03864,13,Loner
469,0.9316,0.0673,0.001178,13,Defector
471,0.6045,0.04,0.3555,13,Neither
472,0.3662,0.05795,0.5757,13,Both
772,0.3792,0.0574,0.5635,13,Both
771,0.579,0.0445,0.3762,13,Neither
649,0.5967,0.0672,0.336,13,Defector
650,0.7173,0.05292,0.23,13,Loner
651,0.372,0.05725,0.571,13,Neither
652,0.4543,0.05804,0.4878,13,Both
770,0.883,0.06445,0.0528,13,Loner
289,0.797,0.06,0.143,13,Defector
532,0.4973,0.04456,0.458,13,Both
470,0.688,0.04874,0.263,13,Loner
291,0.633,0.0437,0.3235,13,Neither
292,0.523,0.05496,0.4219,13,Both
530,0.68,0.06726,0.2524,13,Loner
531,0.598,0.03308,0.369,13,Neither
475,0.4097,0.0538,0.5366,14,Neither
1073,0.352,0.0604,0.5874,14,Defector
1074,0.864,0.0374,0.0988,14,Loner
1075,0.4377,0.05795,0.5044,14,Neither
1076,0.4724,0.05063,0.477,14,Both
536,0.4673,0.04675,0.486,14,Both
413,0.6914,0.0676,0.241,14,Defector
414,0.9336,0.06616,0.0001256,14,Loner
415,0.587,0.04724,0.3657,14,Neither
473,0.646,0.0747,0.2795,14,Defector
535,0.4753,0.04373,0.481,14,Neither
534,0.955,0.02365,0.02122,14,Loner
474,0.893,0.02832,0.0785,14,Loner
416,0.5415,0.0464,0.412,14,Both
476,0.5127,0.04263,0.4448,14,Both
533,0.8267,0.04642,0.127,14,Defector
834,0.8306,0.0655,0.10376,14,Loner
594,0.878,0.066,0.05627,14,Loner
954,0.917,0.02942,0.0534,14,Loner
953,0.947,0.0342,0.0188,14,Defector
713,0.635,0.0611,0.3042,14,Defector
714,0.742,0.0707,0.187,14,Loner
715,0.621,0.03595,0.3428,14,Neither
113,0.7637,0.0758,0.1605,14,Defector
114,0.895,0.0645,0.0405,14,Loner
115,0.56,0.04517,0.3945,14,Neither
116,0.6094,0.04575,0.3447,14,Both
1194,0.7974,0.05676,0.1458,14,Loner
1193,0.895,0.0529,0.05203,14,Defector
716,0.5054,0.05502,0.4395,14,Both
236,0.5967,0.04303,0.3604,14,Both
235,0.563,0.03995,0.3972,14,Neither
593,0.933,0.06665,9.26e-05,14,Defector
896,0.4927,0.03763,0.4697,14,Both
894,0.7876,0.03906,0.1733,14,Loner
893,0.9224,0.0664,0.01137,14,Defector
773,0.9326,0.063,0.00451,14,Defector
774,0.7344,0.06146,0.2039,14,Loner
775,0.4917,0.0497,0.4585,14,Neither
776,0.4543,0.05237,0.4932,14,Both
234,0.856,0.0635,0.08075,14,Loner
233,0.8335,0.0579,0.10846,14,Defector
173,0.972,0.0277,0.0002637,14,Defector
174,0.72,0.0503,0.2292,14,Loner
175,0.3599,0.05225,0.588,14,Neither
176,0.501,0.0472,0.452,14,Both
836,0.675,0.03714,0.288,14,Both
835,0.4753,0.0542,0.4705,14,Neither
895,0.53,0.03998,0.4302,14,Neither
956,0.633,0.03394,0.3333,14,Both
955,0.442,0.05438,0.5034,14,Neither
1134,0.818,0.07245,0.1099,14,Loner
595,0.4631,0.04767,0.4893,14,Neither
53,0.914,0.05157,0.03415,14,Defector
54,0.891,0.06464,0.0444,14,Loner
55,0.3345,0.06476,0.6006,14,Neither
56,0.4478,0.055,0.497,14,Both
1196,0.39,0.05246,0.5576,14,Both
1195,0.4329,0.05148,0.5156,14,Neither
596,0.627,0.03476,0.3384,14,Both
356,0.6577,0.03696,0.3052,14,Both
355,0.3318,0.0571,0.6113,14,Neither
354,0.8145,0.04745,0.1381,14,Loner
353,0.8677,0.09296,0.03952,14,Defector
1133,0.64,0.06015,0.2998,14,Defector
656,0.51,0.05035,0.4397,14,Both
833,0.7363,0.03558,0.2283,14,Defector
1136,0.51,0.0527,0.4375,14,Both
1135,0.5864,0.038,0.3757,14,Neither
1015,0.532,0.0471,0.4204,14,Neither
1014,0.888,0.0649,0.04675,14,Loner
1013,0.681,0.0694,0.2495,14,Defector
653,0.9346,0.05374,0.0116,14,Defector
654,0.892,0.0686,0.03903,14,Loner
655,0.4094,0.05206,0.5386,14,Neither
1016,0.5146,0.04437,0.441,14,Both
296,0.3674,0.05978,0.5728,14,Both
293,0.8486,0.03833,0.11304,14,Defector
294,0.8877,0.065,0.04718,14,Loner
295,0.3706,0.04477,0.5845,14,Neither
1139,0.649,0.03925,0.3115,15,Neither
1197,0.9355,0.05344,0.01101,15,Defector
1138,0.9336,0.0661,0.0001415,15,Loner
1140,0.8115,0.02538,0.1631,15,Both
1198,0.789,0.04114,0.1698,15,Loner
1137,0.9233,0.05383,0.0227,15,Defector
600,0.3733,0.0672,0.5596,15,Both
1079,0.525,0.05054,0.4246,15,Neither
300,0.4607,0.05698,0.4822,15,Both
357,0.932,0.0668,0.001131,15,Defector
358,0.881,0.0636,0.0555,15,Loner
359,0.57,0.0413,0.3892,15,Neither
360,0.407,0.05588,0.537,15,Both
417,0.9336,0.05426,0.011955,15,Defector
299,0.485,0.05045,0.4644,15,Neither
418,0.89,0.0314,0.0785,15,Loner
420,0.3748,0.06305,0.5625,15,Both
477,0.752,0.06287,0.1853,15,Defector
478,0.9336,0.06604,0.0003932,15,Loner
479,0.4758,0.05237,0.472,15,Neither
480,0.522,0.04303,0.4348,15,Both
537,0.932,0.0616,0.00606,15,Defector
419,0.504,0.05063,0.4453,15,Neither
298,0.7607,0.0434,0.196,15,Loner
297,0.9316,0.06744,0.000818,15,Defector
240,0.318,0.0614,0.6206,15,Both
57,0.861,0.0893,0.05,15,Defector
58,0.9336,0.06616,0.0001354,15,Loner
59,0.4563,0.05283,0.4907,15,Neither
60,0.6934,0.0337,0.273,15,Both
117,0.896,0.03775,0.06635,15,Defector
118,0.818,0.0713,0.11084,15,Loner
119,0.3884,0.0608,0.551,15,Neither
120,0.5767,0.05112,0.372,15,Both
177,0.704,0.03876,0.257,15,Defector
178,0.7266,0.04285,0.2305,15,Loner
179,0.601,0.04385,0.355,15,Neither
180,0.603,0.03555,0.3616,15,Both
237,0.8086,0.05396,0.1373,15,Defector
238,0.891,0.05145,0.05762,15,Loner
239,0.3386,0.054,0.6074,15,Neither
538,0.606,0.06995,0.324,15,Loner
1080,0.665,0.03574,0.2993,15,Both
539,0.3699,0.05685,0.573,15,Neither
597,0.866,0.0774,0.0565,15,Defector
897,0.9614,0.02824,0.01025,15,Defector
898,0.7017,0.0688,0.2295,15,Loner
899,0.452,0.05936,0.4885,15,Neither
900,0.326,0.06335,0.611,15,Both
957,0.819,0.08813,0.0929,15,Defector
958,0.8545,0.04736,0.0983,15,Loner
840,0.4783,0.05444,0.4673,15,Both
959,0.514,0.04996,0.4358,15,Neither
1017,0.9375,0.02747,0.03497,15,Defector
1018,0.6333,0.06152,0.305,15,Loner
1019,0.3389,0.0583,0.603,15,Neither
1020,0.336,0.05734,0.607,15,Both
1077,0.886,0.05612,0.05746,15,Defector
1078,0.9336,0.06555,0.000725,15,Loner
960,0.3875,0.05646,0.556,15,Both
839,0.4915,0.05106,0.4575,15,Neither
838,0.9023,0.07166,0.02579,15,Loner
837,0.838,0.06122,0.101,15,Defector
598,0.8267,0.06155,0.1117,15,Loner
599,0.423,0.04916,0.528,15,Neither
1199,0.5264,0.0501,0.4236,15,Neither
657,0.9727,0.02716,0.0001961,15,Defector
658,0.8906,0.05173,0.0576,15,Loner
659,0.5044,0.05014,0.4456,15,Neither
660,0.635,0.0422,0.323,15,Both
717,0.7695,0.0634,0.167,15,Defector
718,0.8877,0.0488,0.0636,15,Loner
719,0.368,0.06207,0.57,15,Neither
720,0.3608,0.06204,0.577,15,Both
777,0.7417,0.07855,0.1799,15,Defector
778,0.6763,0.06915,0.2544,15,Loner
779,0.704,0.03302,0.263,15,Neither
780,0.3784,0.05298,0.569,15,Both
540,0.449,0.0578,0.4932,15,Both
1200,0.4182,0.05948,0.5225,15,Both
