,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.9237696531029999,0.031046852291,0.045155370826,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,8,0.1
1,0.209356150857,0.12791330713600002,0.662720446222,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,8,0.1
2,0.117861854346,0.0791896546543,0.8029359050360002,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,8,0.1
3,0.31381481440400005,0.061866116070000005,0.6243028051719999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,8,0.1
4,0.5978186518590001,0.124952004102,0.27721619084999993,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,8,0.1
5,0.17338619008599998,0.11987416128999999,0.7067213906800001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,8,0.1
6,0.10660482689999999,0.076212862691,0.81715841496,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,8,0.1
7,0.279063836872,0.086204579569,0.63471184142,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,8,0.1
8,0.6852229882999998,0.2830554899,0.03171382388,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,8,0.1
9,0.241923337256,0.16156681443300003,0.59649937416,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,8,0.1
10,0.15369504052,0.11606298639699998,0.7302326435900001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,8,0.1
11,0.223733732386,0.13115119658600002,0.6451043951700001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,8,0.1
12,0.48192408179999996,0.27410247376,0.243964327,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,8,0.1
13,0.24194923262,0.17936150937000003,0.57867849954,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,8,0.1
14,0.192398555295,0.13881235043,0.66877915429,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,8,0.1
15,0.20595248172,0.15075278519000002,0.6432825933399999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,8,0.1
16,0.25383126868999994,0.18248758772999998,0.5636683863999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,8,0.1
17,0.25443853808,0.18993950204,0.5556103917,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,8,0.1
18,0.20340630989,0.1608238454,0.63575757008,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,8,0.1
19,0.19930462482000003,0.16504444123,0.6356366556,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,8,0.1
20,0.21471220791000004,0.19323926964,0.5920357566,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,8,0.1
21,0.24559939267999997,0.19418578783,0.5602031499,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,8,0.1
22,0.21928759787000002,0.17291338807,0.6077889893999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,8,0.1
23,0.20804924844,0.17830882281000002,0.6136294296000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,8,0.1
24,0.20877830429000002,0.18882327085000006,0.6023858743999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,8,0.1
25,0.25185906917,0.20816882255,0.5399597887999998,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,8,0.1
26,0.22206721466000007,0.18761273308,0.5903082956000001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,8,0.1
27,0.21338763282,0.19495283360000001,0.5916479449000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,8,0.1
28,0.20754627360000003,0.19972352037999996,0.5927167168999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,8,0.1
29,0.24425816194000005,0.21373199719999997,0.5419969736000001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,8,0.1
30,0.22097398975999996,0.18801438459999997,0.5909986184,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,8,0.1
