,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
38,0.2532850787,0.2174219217,0.5292775315999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
39,0.2220471499,0.1865004593,0.5914370948999998,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
40,0.2546331811,0.21243868899999999,0.5329113719,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
41,0.244774057,0.2139637578,0.5412454241,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
42,0.251910524,0.22335029779999993,0.5247209038999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
43,0.22885370039999997,0.19622206109999998,0.5749070464,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
44,0.2467732159,0.21519875939999997,0.5380100736000001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
45,0.23418291789999998,0.22003579460000006,0.5457639321,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
46,0.24600094020000002,0.22412937230000002,0.5298486659,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
47,0.22384309359999996,0.2086206713,0.5675170960000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
48,0.2607096457,0.23318554139999997,0.5060885712,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
49,0.25109728159999994,0.23095947119999996,0.51792632,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
50,0.2444094524,0.2302477528,0.5253253828,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
51,0.22810763679999996,0.21499659240000002,0.5568783407000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.6,0,2,0.1
52,0.2525148911000001,0.23748379590000002,0.5099854347,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
53,0.2462609072,0.2338642287,0.519858784,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
54,0.2480516872,0.23802991669999998,0.5139003774,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
55,0.24193479799999998,0.233284765,0.524766057,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.65,0,2,0.1
56,0.25438173650000007,0.25246607509999996,0.49314011999999996,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
57,0.2487611242,0.24200156480000004,0.509225297,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
58,0.2448598645,0.2402546358,0.5148740669999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
59,0.24612743370000004,0.24039674649999998,0.513464696,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.7,0,2,0.1
60,0.2567086551,0.2608449544,0.48243837199999995,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
61,0.2544530913,0.2566829,0.488857814,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
62,0.250631369,0.2527686335,0.496592895,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
63,0.25523619090000005,0.25711526430000003,0.48764241999999997,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.75,0,2,0.1
64,0.2626587282,0.2802733485,0.45706060400000004,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
65,0.26455651650000006,0.2773659882,0.45807075799999997,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
66,0.2593230045,0.2641546546,0.476516728,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
67,0.2611234869,0.2741296702,0.46473965800000006,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.8,0,2,0.1
68,0.2750235987,0.30744387330000006,0.417523945,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
69,0.2750642116,0.29903280269999993,0.42589263099999997,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
70,0.27178672389999997,0.28700108480000003,0.44120244500000005,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
71,0.2729614834,0.30230851700000005,0.424719764,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.85,0,2,0.1
72,0.288501022,0.34038055400000006,0.37111131999999997,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
73,0.289472137,0.32777819900000005,0.38274135200000003,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
74,0.288445552,0.321462914,0.3900812269999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
75,0.288845811,0.328508232,0.38263894800000003,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.9,0,2,0.1
76,0.30692566200000004,0.3435651939999999,0.34950622800000003,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
77,0.30653958140000004,0.340589531,0.3528681000000001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
78,0.30520379270000003,0.34107793200000003,0.35371376500000007,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
79,0.30691414869999994,0.33649160499999997,0.356590814,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.95,0,2,0.1
80,0.32087057300000005,0.328035919,0.351096468,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
81,0.32080296700000005,0.327994675,0.351203191,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
82,0.320699065,0.327989193,0.351313823,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
83,0.320647985,0.32809255000000004,0.3512612279999999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,1.0,0,2,0.1
84,0.14417839246300002,0.081862937742,0.7739499702319999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
85,0.08693079263199999,0.060290814146,0.8527713048309998,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
86,0.125834105675,0.0857277034954,0.788422702413,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
87,0.03974050316899999,0.021724622996999995,0.9385312473589998,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
88,0.11052626448899999,0.07338260382100001,0.8160616383100001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
89,0.077868009321,0.057581364753,0.8645188021799999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
90,0.099536131938,0.086290555936,0.8141435922700001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
91,0.050110842717999995,0.03680791507399999,0.9130481928799999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
92,0.17207214652800001,0.128350369988,0.6995723702399999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
93,0.132514970882,0.09589598428100002,0.7715833412,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
94,0.17041921500700002,0.14524568458999998,0.6843273395499999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
95,0.08843404297400001,0.06526557884999999,0.8462955712900002,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
96,0.20787378340499998,0.15288994370000003,0.63922708782,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
97,0.16516083612000002,0.12157330138999999,0.71325567311,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
98,0.20497712377000005,0.17642103538,0.6185916462900001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
99,0.10607490075499999,0.08134444028,0.8125704110699999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
100,0.21072875161000004,0.15979818899999998,0.62946108684,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
101,0.17125054747,0.13147920335000002,0.6972577907999999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
102,0.23261728899,0.18946231424,0.5779066675400001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
103,0.13737341639999998,0.09891833239,0.7636949272200001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
104,0.22639145352999995,0.16770412946,0.6058932705999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
105,0.18853366406999997,0.1492907324,0.6621637704,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
106,0.24931485408000004,0.19934263713999997,0.55132925868,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
107,0.15583334092,0.11762132453000002,0.7265344928999999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
108,0.24384732463000003,0.18044915836,0.5756929326,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
109,0.20315650856,0.16045867658000001,0.6363730543999999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
110,0.24203384154999996,0.20910231787,0.54885406634,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
111,0.17602885842000005,0.13732264548,0.6866366882,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
112,0.24674030557999999,0.18620246842000002,0.5670448019000001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,2,0.1
113,0.21941661828000003,0.1750276305,0.6055402951,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,2,0.1
114,0.24992699923999992,0.21651728703999998,0.5335414413,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,2,0.1
115,0.1946432996,0.15999926032,0.6453428981,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.35,0,2,0.1
116,0.2511383533,0.19140307680000002,0.5574441657999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.4,0,2,0.1
117,0.22668562139999998,0.18998820993999999,0.5833111539999999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.4,0,2,0.1
118,0.25243525394,0.21948458400000004,0.5280654529999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.4,0,2,0.1
119,0.19973443793999998,0.1707549467,0.6294951735,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.4,0,2,0.1
120,0.257073386,0.20772108580000004,0.5351925055000001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
121,0.236614485,0.20146738874000003,0.5619036571,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
122,0.2530927522,0.218701168,0.5281904783999999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
123,0.20870865820000006,0.17910418439999998,0.6121713933,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.45,0,2,0.1
124,0.2578066194,0.2095501629,0.5326274122999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
125,0.2348531625,0.2074531644,0.5576767222,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
126,0.2509986744,0.22516968189999995,0.5238128308,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
127,0.22351859470000002,0.19171529649999997,0.5847485949,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.5,0,2,0.1
128,0.25876251510000003,0.21729827900000004,0.5239213476999999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.55,0,2,0.1
