,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50,Neither,6,0.01129,0.51292,10.42371,1036.81269,33.36796,6.61167,,,,,,,,,,,,,,
51,Both,6,601.11585,58.59904,1.46531,50.75502,28.29715,3.69488,,,,,,,,,,,,,,
52,Defector,8,3.77392,0.65228,12.70844,3.14091,9.37236,2.87753,18.07658,13.29278,,,,,,,,,,,,
53,Loner,8,583.87022,23.55718,70.23282,61.58246,132.56192,44.17231,73.27571,25.66909,,,,,,,,,,,,
54,Neither,8,3e-05,0.00927,0.44717,8.81652,845.2998,91.18397,79.47213,31.27796,,,,,,,,,,,,
55,Both,8,584.90739,6.00846,67.1043,1.65462,58.35256,0.97599,32.53616,3.55359,,,,,,,,,,,,
56,Defector,10,4.3331,0.28336,14.50329,0.88714,0.0,13.72315,1.57095,23.0472,12.46395,0.0,,,,,,,,,,
57,Loner,10,91.27409,2.88372,10.06715,9.73181,0.0,26.54759,12.74936,28.16349,16.81507,0.0,,,,,,,,,,
58,Neither,10,8e-05,0.00518,0.26235,5.06099,0.0,491.95043,65.84276,62.52705,32.61875,0.0,,,,,,,,,,
59,Both,10,484.02763,4.88274,56.36136,1.33361,0.0,47.74822,1.07151,28.53285,4.84726,0.0,,,,,,,,,,
60,Defector,12,11.07948,4.00358,0.0,24.78153,6.52636,0.0,95.42723,9.09057,0.0,35.75519,18.63987,0.0,,,,,,,,
61,Loner,12,207.4987,7.53049,0.0,21.46411,20.2878,0.0,46.9957,18.2404,0.0,35.63594,19.96255,0.0,,,,,,,,
62,Neither,12,9e-05,0.00694,0.0,0.32824,6.23242,0.0,602.56069,65.63477,0.0,58.75789,32.85323,0.0,,,,,,,,
63,Both,12,562.56994,5.69982,0.0,66.36826,1.6344,0.0,55.19328,1.05547,0.0,33.34634,3.76661,0.0,,,,,,,,
