,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
37,1.0,0.0,0.0,/tmpdir/job/1382628.38,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
38,1.0,0.0,0.0,/tmpdir/job/1382628.39,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
39,1.0,0.0,0.0,/tmpdir/job/1382628.40,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
40,1.0,0.0,0.0,/tmpdir/job/1382628.41,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
41,1.0,0.0,0.0,/tmpdir/job/1382628.42,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
42,1.0,0.0,0.0,/tmpdir/job/1382628.43,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
43,1.0,0.0,0.0,/tmpdir/job/1382628.44,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
44,1.0,0.0,0.0,/tmpdir/job/1382628.45,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
45,1.0,0.0,0.0,/tmpdir/job/1382628.46,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
46,1.0,0.0,0.0,/tmpdir/job/1382628.47,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
47,1.0,0.0,0.0,/tmpdir/job/1382628.48,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
48,0.7987014180000002,0.16649007210000002,0.0347694256,/tmpdir/job/1382628.49,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,1,0.1
49,0.7955123730000001,0.16725203100000002,0.03719674120000001,/tmpdir/job/1382628.50,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,1,0.1
50,0.8041897769999999,0.1611139069,0.0346571301,/tmpdir/job/1382628.51,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,1,0.1
51,0.8141152769999999,0.1533200176,0.0325283495,/tmpdir/job/1382628.52,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,1,0.1
52,0.973603123738,0.0127762392886,0.013625787517999999,/tmpdir/job/1382628.53,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,2,0.1
53,0.8330445967940002,0.080177902291,0.08676754264400001,/tmpdir/job/1382628.54,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,2,0.1
54,0.8755225160000001,0.10583932000970002,0.018620965166999997,/tmpdir/job/1382628.55,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,2,0.1
55,0.9303492951600001,0.0174049594634,0.052247875932,/tmpdir/job/1382628.56,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,2,0.1
56,0.935859256952,0.021356697069399997,0.042779622257,/tmpdir/job/1382628.57,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,3,0.1
57,0.863606972221,0.04807007573800001,0.08831122504539998,/tmpdir/job/1382628.58,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,3,0.1
58,0.725618698448,0.0284803880175,0.24589135216700003,/tmpdir/job/1382628.59,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,3,0.1
59,0.3418181852890001,0.009128907431999999,0.649048495765,/tmpdir/job/1382628.60,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,3,0.1
60,0.942014980764,0.019552592303999996,0.038428891986,/tmpdir/job/1382628.61,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,4,0.1
61,0.7639041622370001,0.0569045018396,0.1791761895606,/tmpdir/job/1382628.62,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,4,0.1
62,0.756812149744,0.0315959409545,0.21158140854500002,/tmpdir/job/1382628.63,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,4,0.1
63,0.318902473996,0.018802474073700004,0.662289890394,/tmpdir/job/1382628.64,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,4,0.1
64,0.548070948827,0.023790853916699998,0.4281341697679999,/tmpdir/job/1382628.65,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,5,0.1
65,0.606141766059,0.04033748050699999,0.3535143610980001,/tmpdir/job/1382628.66,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,5,0.1
66,0.20558874691700008,0.020292140684400002,0.7741125433649999,/tmpdir/job/1382628.67,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,5,0.1
67,0.14081517372799998,0.020642011206999995,0.8385374366479998,/tmpdir/job/1382628.68,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,5,0.1
68,0.6793614530200001,0.015498228037000001,0.30513457828630003,/tmpdir/job/1382628.69,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,6,0.1
69,0.6902759106970001,0.05309105300860001,0.2566252996006,/tmpdir/job/1382628.70,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,6,0.1
70,0.296795603573,0.0209563049164,0.6822430672940001,/tmpdir/job/1382628.71,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,6,0.1
71,0.138383230025,0.023631753130999997,0.8379785325519999,/tmpdir/job/1382628.72,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,6,0.1
72,0.8417244722599999,0.018430996133,0.13984034906499998,/tmpdir/job/1382628.73,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,7,0.1
73,0.6485623089340001,0.04337662883499999,0.30805508081200006,/tmpdir/job/1382628.74,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,7,0.1
74,0.286424682815,0.0191230656376,0.6944473381770001,/tmpdir/job/1382628.75,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,7,0.1
75,0.10401594166200001,0.020936910845400003,0.8750410365650001,/tmpdir/job/1382628.76,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,7,0.1
76,0.44364481196300004,0.022019696136299997,0.534330396321,/tmpdir/job/1382628.77,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,8,0.1
77,0.7106532604970001,0.044629301969500004,0.24470999390699996,/tmpdir/job/1382628.78,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,8,0.1
78,0.194059898076,0.021828634686000006,0.7841056306569999,/tmpdir/job/1382628.79,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,8,0.1
79,0.5023419255520001,0.0168701430836,0.48078150680500004,/tmpdir/job/1382628.80,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,8,0.1
80,0.550514408022,0.0159331215296,0.433548401094,/tmpdir/job/1382628.81,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,9,0.1
81,0.695620126306,0.0409537580025,0.263419970312,/tmpdir/job/1382628.82,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,9,0.1
82,0.184631277586,0.0165249978016,0.7988376436849999,/tmpdir/job/1382628.83,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,9,0.1
83,0.570450793307,0.012694011663000002,0.41685076219699996,/tmpdir/job/1382628.84,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,9,0.1
84,0.5302328406369999,0.022882884476599998,0.44687925941499995,/tmpdir/job/1382628.85,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,10,0.1
85,0.691060450623,0.038492215015000004,0.27044081364300004,/tmpdir/job/1382628.86,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,10,0.1
86,0.13026639086200004,0.015428482948000003,0.8542996004260001,/tmpdir/job/1382628.87,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,10,0.1
87,0.14596391421899998,0.020549159817,0.8334804933410002,/tmpdir/job/1382628.88,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,10,0.1
88,0.637896758436,0.017546910855100004,0.34455080896339996,/tmpdir/job/1382628.89,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,11,0.1
89,0.7011665667990001,0.042311198033,0.256516003098,/tmpdir/job/1382628.90,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,11,0.1
90,0.25547212396200003,0.022392253913000003,0.7221286684129999,/tmpdir/job/1382628.91,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,11,0.1
91,0.291496162066,0.0180812957713,0.690416807182,/tmpdir/job/1382628.92,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,11,0.1
92,0.502933843801,0.020558191107700005,0.476503423658,/tmpdir/job/1382628.93,Defector,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,12,0.1
93,0.7049853872769998,0.04017528146139999,0.254831869976,/tmpdir/job/1382628.94,Loner,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,12,0.1
94,0.259244556387,0.015152011348699996,0.725598206911,/tmpdir/job/1382628.95,Neither,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,12,0.1
95,0.12030555475839999,0.015277626825300001,0.8644111353069998,/tmpdir/job/1382628.96,Both,200000,1,3,1,3,99,0.1,1.0,0.9090909090909091,0,0,12,0.1
96,0.13185764819999998,0.0898517707,0.7782755717999998,/tmpdir/job/1382628.97,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
