,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
118,0.14677797033700002,0.15779222967599998,0.6954219632589999,119.0,/tmpdir/job/9944909.119,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
119,0.15016307886000002,0.165510778236,0.6843178165880002,120.0,/tmpdir/job/9944909.120,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
120,0.08186599002000002,0.0564523815067,0.8616747203030002,121.0,/tmpdir/job/9944909.121,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
121,0.128846271563,0.080688949347,0.7904572656380001,122.0,/tmpdir/job/9944909.122,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
122,0.193438690345,0.112616682612,0.6939339966230001,123.0,/tmpdir/job/9944909.123,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
123,0.203587772897,0.108816902405,0.6875849609550001,124.0,/tmpdir/job/9944909.124,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
124,0.8240036814840002,0.061417931670999994,0.11455205633099999,125.0,/tmpdir/job/9944909.125,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
125,0.8877255959000002,0.065139345866,0.047106179687999995,126.0,/tmpdir/job/9944909.126,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
126,0.08984395346799998,0.081958043633,0.8281878156270003,127.0,/tmpdir/job/9944909.127,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
127,0.111955793997,0.08962513717600001,0.7984115321059999,128.0,/tmpdir/job/9944909.128,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
128,0.11886146824299998,0.09824370498699998,0.7828863097360002,129.0,/tmpdir/job/9944909.129,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
129,0.13062725812200005,0.10926634601300002,0.760097775709,130.0,/tmpdir/job/9944909.130,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
130,0.12187694647600003,0.11011559382500001,0.7679995016459998,131.0,/tmpdir/job/9944909.131,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
131,0.135418230158,0.12574037348999997,0.7388307558050002,132.0,/tmpdir/job/9944909.132,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
132,0.11985983722600002,0.10724950641499997,0.7728806984490002,133.0,/tmpdir/job/9944909.133,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
133,0.10573172445299998,0.101839770509,0.7924195793390001,134.0,/tmpdir/job/9944909.134,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
134,0.11937364563599996,0.11952044961600003,0.7610976499020001,135.0,/tmpdir/job/9944909.135,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
135,0.13067315083599998,0.13545982490650002,0.733857463521,136.0,/tmpdir/job/9944909.136,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
136,0.122524523993,0.13054085062,0.7469251709670001,137.0,/tmpdir/job/9944909.137,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
137,0.12871637091699997,0.15232709302300002,0.718946829658,138.0,/tmpdir/job/9944909.138,Loner,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
138,0.129799162718,0.117873576697,0.752317233054,139.0,/tmpdir/job/9944909.139,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
139,0.13764241574,0.11935766122900002,0.742989378493,140.0,/tmpdir/job/9944909.140,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
140,0.128144360368,0.121177074348,0.7506687036109999,141.0,/tmpdir/job/9944909.141,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
141,0.142801857538,0.141264715862,0.7159246292720001,142.0,/tmpdir/job/9944909.142,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
142,0.135452878331,0.146717197434,0.7178206557210001,143.0,/tmpdir/job/9944909.143,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
143,0.13594699556,0.15515704741699998,0.7088869362610001,144.0,/tmpdir/job/9944909.144,Loner,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
144,0.12297108751099997,0.084663945331,0.7923510183660001,145.0,/tmpdir/job/9944909.145,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
