,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.000517056631,0.6361876439999999,0.363294675,1.0,/tmpdir/job/9972258.1,Defector,200000,1,3,0.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
1,0.000225354486,0.65966064,0.34011192200000007,2.0,/tmpdir/job/9972258.2,Loner,200000,1,3,0.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
2,0.000364770696,0.6552828399999999,0.344353493,3.0,/tmpdir/job/9972258.3,Neither,200000,1,3,0.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
3,0.000440796674,0.636315012,0.3632434239999999,4.0,/tmpdir/job/9972258.4,Both,200000,1,3,0.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
4,0.17245254271500002,0.18115234783399994,0.646383540629,5.0,/tmpdir/job/9972258.5,Defector,200000,1,3,0.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
5,0.12718301364,0.160994774353,0.71180565094,6.0,/tmpdir/job/9972258.6,Loner,200000,1,3,0.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
6,0.15711424654699999,0.1694526822,0.673410902013,7.0,/tmpdir/job/9972258.7,Neither,200000,1,3,0.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
7,0.05326114789800001,0.063443967419,0.883275727132,8.0,/tmpdir/job/9972258.8,Both,200000,1,3,0.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
8,0.14298721248899995,0.08129237823299999,0.7757122377809998,9.0,/tmpdir/job/9972258.9,Defector,200000,1,3,1.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
9,0.08698539513499998,0.056046616488,0.8569607767440002,10.0,/tmpdir/job/9972258.10,Loner,200000,1,3,1.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
10,0.12266318048300001,0.08859498307139999,0.7887267058970001,11.0,/tmpdir/job/9972258.11,Neither,200000,1,3,1.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
11,0.04171184788199999,0.022532563732000004,0.935751123394,12.0,/tmpdir/job/9972258.12,Both,200000,1,3,1.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
12,0.13378442330700002,0.055491480212000004,0.810715117059,13.0,/tmpdir/job/9972258.13,Defector,200000,1,3,1.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
13,0.019233001379,0.007322997795,0.973439836814,14.0,/tmpdir/job/9972258.14,Loner,200000,1,3,1.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
14,0.111897004625,0.061809799262,0.8262823342960001,15.0,/tmpdir/job/9972258.15,Neither,200000,1,3,1.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
15,0.009985319004999998,0.0029525048199999997,0.9870588231040001,16.0,/tmpdir/job/9972258.16,Both,200000,1,3,1.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
16,0.002923540068,1.0842057e-05,0.997048234,17.0,/tmpdir/job/9972258.17,Defector,200000,1,3,2.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
17,0.000726787486,3.6560513e-05,0.9992319960000001,18.0,/tmpdir/job/9972258.18,Loner,200000,1,3,2.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
18,0.0029626139914000005,9.478792e-06,0.9970098350000002,19.0,/tmpdir/job/9972258.19,Neither,200000,1,3,2.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
19,0.000685590866,3.335658599999999e-05,0.9992765450000001,20.0,/tmpdir/job/9972258.20,Both,200000,1,3,2.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
20,0.0,0.0,1.0,21.0,/tmpdir/job/9972258.21,Defector,200000,1,3,2.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
21,0.0,0.0,1.0,22.0,/tmpdir/job/9972258.22,Loner,200000,1,3,2.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
22,0.0,0.0,1.0,23.0,/tmpdir/job/9972258.23,Neither,200000,1,3,2.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
23,0.0,0.0,1.0,24.0,/tmpdir/job/9972258.24,Both,200000,1,3,2.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
24,0.0,0.0,1.0,25.0,/tmpdir/job/9972258.25,Defector,200000,1,3,3.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
25,0.0,0.0,1.0,26.0,/tmpdir/job/9972258.26,Loner,200000,1,3,3.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
26,0.0,0.0,1.0,27.0,/tmpdir/job/9972258.27,Neither,200000,1,3,3.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
27,0.0,0.0,1.0,28.0,/tmpdir/job/9972258.28,Both,200000,1,3,3.0,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
28,0.0,0.0,1.0,29.0,/tmpdir/job/9972258.29,Defector,200000,1,3,3.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
29,0.0,0.0,1.0,30.0,/tmpdir/job/9972258.30,Loner,200000,1,3,3.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
30,0.0,0.0,1.0,31.0,/tmpdir/job/9972258.31,Neither,200000,1,3,3.5,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
