,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.14641400711199998,0.08589539823699999,0.767682249161,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.0,2,0.1
1,0.083151922218,0.052691753921,0.864150222055,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.0,2,0.1
2,0.12568773317200002,0.09228425613399999,0.7820136887870002,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.0,2,0.1
3,0.040332652325,0.021122678443,0.9385405464229999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.0,2,0.1
4,0.13719081075200001,0.079925546592,0.7828782661229999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.05,2,0.1
5,0.109678672229,0.08024028016210001,0.8100752882560001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.05,2,0.1
6,0.133377917145,0.101456156787,0.76515756815,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.05,2,0.1
7,0.08377275024100002,0.0542247727955,0.861996144702,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.05,2,0.1
8,0.143735668623,0.08970577002300001,0.7665526185230002,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.1,2,0.1
9,0.126741051928,0.090176400419,0.7830760202359999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.1,2,0.1
10,0.136397841741,0.09344654860599999,0.7701485805989999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.1,2,0.1
11,0.095143191174,0.069390252973,0.8354584470609999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.1,2,0.1
12,0.14818126220599998,0.08634261902599999,0.7654700125680001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.15,2,0.1
13,0.12538935242100002,0.09107649920099999,0.7835285664920002,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.15,2,0.1
14,0.117185734887,0.082107089036,0.8007002271800001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.15,2,0.1
15,0.10362831022800001,0.07184284472199999,0.824521659298,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.15,2,0.1
16,0.139589345413,0.08085849913899999,0.7795458537800001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.2,2,0.1
17,0.117782031396,0.08558968459899999,0.7966234999139999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.2,2,0.1
18,0.126326829937,0.08502203257899998,0.788644060328,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.2,2,0.1
19,0.104522644952,0.079656944208,0.815813991991,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.2,2,0.1
20,0.145371066233,0.08913673716699999,0.7654856378350001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.25,2,0.1
21,0.11772208258700001,0.08721085389899999,0.795061242797,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.25,2,0.1
22,0.135267103698,0.08994523593199999,0.7747803487219999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.25,2,0.1
23,0.105299165581,0.09039096650899998,0.804304606117,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.25,2,0.1
24,0.161504427322,0.09840253235400001,0.740085962743,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.3,2,0.1
25,0.11653063973899999,0.082150041116,0.8013141996269999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.3,2,0.1
26,0.13466360076300002,0.094901706896,0.7704284364530001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.3,2,0.1
27,0.09795715754399999,0.08282298803099998,0.8192141683629999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.3,2,0.1
28,0.153499050356,0.08733260382600001,0.7591621677929999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.35,2,0.1
29,0.124381328108,0.09496833844,0.7806452840840001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.35,2,0.1
30,0.13448733082800002,0.101066094797,0.7644399727260002,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.35,2,0.1
31,0.109345045822,0.08119374386,0.8094553306080001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.35,2,0.1
32,0.14052093310899996,0.09691585453800002,0.7625572072780001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.4,2,0.1
33,0.12337588367,0.08646007457,0.790159342165,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.4,2,0.1
34,0.137434480303,0.09383927548799999,0.768720125731,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.4,2,0.1
35,0.13160396348700001,0.09452797384100001,0.7738621219790001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0.4,2,0.1
